2 r 14.9744; phi 1.0470; x 0.3745; y 0.6484; t_rel 1.0000;
2 r 14.9841; phi 1.0468; x 0.3749; y 0.6487; t_rel 1.0000;
2 r 14.9544; phi 1.0461; x 0.3746; y 0.6471; t_rel 0.9989;
2 r 14.9117; phi 1.0453; x 0.3740; y 0.6450; t_rel 0.9965;
2 r 14.8766; phi 1.0446; x 0.3736; y 0.6432; t_rel 0.9946;
2 r 14.8596; phi 1.0439; x 0.3736; y 0.6422; t_rel 0.9936;
2 r 14.8343; phi 1.0431; x 0.3735; y 0.6408; t_rel 0.9922;
2 r 14.7998; phi 1.0424; x 0.3731; y 0.6391; t_rel 0.9903;
2 r 14.7656; phi 1.0417; x 0.3727; y 0.6373; t_rel 0.9884;
2 r 14.7316; phi 1.0410; x 0.3723; y 0.6356; t_rel 0.9866;
2 r 14.7144; phi 1.0402; x 0.3723; y 0.6346; t_rel 0.9856;
2 r 14.6904; phi 1.0395; x 0.3722; y 0.6333; t_rel 0.9843;
2 r 14.6569; phi 1.0388; x 0.3718; y 0.6315; t_rel 0.9824;
2 r 14.6238; phi 1.0380; x 0.3714; y 0.6298; t_rel 0.9806;
2 r 14.5906; phi 1.0373; x 0.3710; y 0.6281; t_rel 0.9787;
2 r 14.5697; phi 1.0366; x 0.3709; y 0.6270; t_rel 0.9776;
2 r 14.5506; phi 1.0358; x 0.3709; y 0.6259; t_rel 0.9765;
2 r 14.5180; phi 1.0351; x 0.3705; y 0.6242; t_rel 0.9747;
2 r 14.4856; phi 1.0344; x 0.3702; y 0.6225; t_rel 0.9729;
2 r 14.4535; phi 1.0336; x 0.3698; y 0.6209; t_rel 0.9711;
2 r 14.4251; phi 1.0329; x 0.3695; y 0.6194; t_rel 0.9695;
2 r 14.4088; phi 1.0322; x 0.3696; y 0.6184; t_rel 0.9686;
2 r 14.3827; phi 1.0314; x 0.3693; y 0.6170; t_rel 0.9672;
2 r 14.3513; phi 1.0307; x 0.3690; y 0.6154; t_rel 0.9654;
2 r 14.3199; phi 1.0300; x 0.3686; y 0.6138; t_rel 0.9637;
2 r 14.2888; phi 1.0292; x 0.3683; y 0.6122; t_rel 0.9619;
2 r 14.2647; phi 1.0285; x 0.3681; y 0.6109; t_rel 0.9606;
2 r 14.2483; phi 1.0278; x 0.3681; y 0.6099; t_rel 0.9597;
2 r 14.2203; phi 1.0270; x 0.3678; y 0.6085; t_rel 0.9581;
2 r 14.1898; phi 1.0263; x 0.3675; y 0.6069; t_rel 0.9564;
2 r 14.1596; phi 1.0256; x 0.3672; y 0.6053; t_rel 0.9547;
2 r 14.1294; phi 1.0248; x 0.3668; y 0.6038; t_rel 0.9530;
2 r 14.1048; phi 1.0241; x 0.3666; y 0.6025; t_rel 0.9517;
2 r 14.0881; phi 1.0234; x 0.3666; y 0.6015; t_rel 0.9507;
2 r 14.0630; phi 1.0227; x 0.3664; y 0.6001; t_rel 0.9493;
2 r 14.0335; phi 1.0219; x 0.3661; y 0.5986; t_rel 0.9477;
2 r 14.0041; phi 1.0212; x 0.3658; y 0.5971; t_rel 0.9461;
2 r 13.9750; phi 1.0205; x 0.3654; y 0.5956; t_rel 0.9444;
2 r 13.9459; phi 1.0197; x 0.3651; y 0.5941; t_rel 0.9428;
2 r 13.9288; phi 1.0190; x 0.3651; y 0.5931; t_rel 0.9418;
2 r 13.9106; phi 1.0183; x 0.3650; y 0.5920; t_rel 0.9408;
2 r 13.8819; phi 1.0175; x 0.3647; y 0.5905; t_rel 0.9392;
2 r 13.8534; phi 1.0168; x 0.3644; y 0.5891; t_rel 0.9376;
2 r 13.8251; phi 1.0161; x 0.3641; y 0.5876; t_rel 0.9360;
2 r 13.7970; phi 1.0153; x 0.3638; y 0.5861; t_rel 0.9345;
2 r 13.7695; phi 1.0146; x 0.3635; y 0.5847; t_rel 0.9329;
2 r 13.7532; phi 1.0139; x 0.3635; y 0.5837; t_rel 0.9320;
2 r 13.7350; phi 1.0131; x 0.3634; y 0.5827; t_rel 0.9310;
2 r 13.7073; phi 1.0124; x 0.3631; y 0.5813; t_rel 0.9294;
2 r 13.6798; phi 1.0117; x 0.3628; y 0.5798; t_rel 0.9279;
2 r 13.6525; phi 1.0109; x 0.3625; y 0.5784; t_rel 0.9263;
2 r 13.6253; phi 1.0102; x 0.3622; y 0.5770; t_rel 0.9248;
2 r 13.5982; phi 1.0095; x 0.3619; y 0.5756; t_rel 0.9233;
2 r 13.5781; phi 1.0087; x 0.3618; y 0.5745; t_rel 0.9222;
2 r 13.5616; phi 1.0080; x 0.3618; y 0.5735; t_rel 0.9212;
2 r 13.5386; phi 1.0073; x 0.3616; y 0.5723; t_rel 0.9200;
2 r 13.5121; phi 1.0065; x 0.3613; y 0.5709; t_rel 0.9185;
2 r 13.4857; phi 1.0058; x 0.3610; y 0.5695; t_rel 0.9170;
2 r 13.4595; phi 1.0051; x 0.3607; y 0.5681; t_rel 0.9155;
2 r 13.4333; phi 1.0044; x 0.3604; y 0.5668; t_rel 0.9140;
2 r 13.4073; phi 1.0036; x 0.3602; y 0.5654; t_rel 0.9126;
2 r 13.3869; phi 1.0029; x 0.3600; y 0.5643; t_rel 0.9114;
2 r 13.3707; phi 1.0022; x 0.3600; y 0.5633; t_rel 0.9105;
2 r 13.3500; phi 1.0014; x 0.3599; y 0.5622; t_rel 0.9093;
2 r 13.3245; phi 1.0007; x 0.3596; y 0.5609; t_rel 0.9079;
2 r 13.2992; phi 1.0000; x 0.3593; y 0.5595; t_rel 0.9065;
2 r 13.2739; phi 0.9992; x 0.3590; y 0.5582; t_rel 0.9050;
2 r 13.2487; phi 0.9985; x 0.3588; y 0.5569; t_rel 0.9036;
2 r 13.2238; phi 0.9978; x 0.3585; y 0.5556; t_rel 0.9022;
2 r 13.1990; phi 0.9970; x 0.3582; y 0.5543; t_rel 0.9008;
2 r 13.1801; phi 0.9963; x 0.3581; y 0.5532; t_rel 0.8997;
2 r 13.1640; phi 0.9956; x 0.3581; y 0.5523; t_rel 0.8988;
2 r 13.1441; phi 0.9948; x 0.3579; y 0.5512; t_rel 0.8977;
2 r 13.1196; phi 0.9941; x 0.3577; y 0.5499; t_rel 0.8963;
2 r 13.0952; phi 0.9934; x 0.3574; y 0.5486; t_rel 0.8949;
2 r 13.0711; phi 0.9926; x 0.3572; y 0.5473; t_rel 0.8936;
2 r 13.0471; phi 0.9919; x 0.3569; y 0.5461; t_rel 0.8922;
2 r 13.0231; phi 0.9912; x 0.3566; y 0.5448; t_rel 0.8909;
2 r 12.9992; phi 0.9904; x 0.3564; y 0.5435; t_rel 0.8895;
2 r 12.9755; phi 0.9897; x 0.3561; y 0.5423; t_rel 0.8882;
2 r 12.9572; phi 0.9890; x 0.3560; y 0.5413; t_rel 0.8871;
2 r 12.9413; phi 0.9882; x 0.3560; y 0.5403; t_rel 0.8862;
2 r 12.9231; phi 0.9875; x 0.3559; y 0.5393; t_rel 0.8852;
2 r 12.8999; phi 0.9868; x 0.3556; y 0.5381; t_rel 0.8839;
2 r 12.8766; phi 0.9861; x 0.3554; y 0.5369; t_rel 0.8826;
2 r 12.8535; phi 0.9853; x 0.3551; y 0.5356; t_rel 0.8813;
2 r 12.8306; phi 0.9846; x 0.3549; y 0.5344; t_rel 0.8799;
2 r 12.8078; phi 0.9839; x 0.3547; y 0.5332; t_rel 0.8787;
2 r 12.7849; phi 0.9831; x 0.3544; y 0.5320; t_rel 0.8774;
2 r 12.7623; phi 0.9824; x 0.3542; y 0.5308; t_rel 0.8761;
2 r 12.7398; phi 0.9817; x 0.3539; y 0.5296; t_rel 0.8748;
2 r 12.7184; phi 0.9809; x 0.3537; y 0.5285; t_rel 0.8736;
2 r 12.7025; phi 0.9802; x 0.3537; y 0.5275; t_rel 0.8727;
2 r 12.6864; phi 0.9795; x 0.3536; y 0.5266; t_rel 0.8718;
2 r 12.6678; phi 0.9787; x 0.3535; y 0.5256; t_rel 0.8707;
2 r 12.6457; phi 0.9780; x 0.3532; y 0.5244; t_rel 0.8694;
2 r 12.6237; phi 0.9773; x 0.3530; y 0.5232; t_rel 0.8682;
2 r 12.6019; phi 0.9765; x 0.3528; y 0.5221; t_rel 0.8669;
2 r 12.5802; phi 0.9758; x 0.3526; y 0.5209; t_rel 0.8657;
2 r 12.5585; phi 0.9751; x 0.3523; y 0.5198; t_rel 0.8645;
2 r 12.5369; phi 0.9743; x 0.3521; y 0.5186; t_rel 0.8632;
2 r 12.5155; phi 0.9736; x 0.3519; y 0.5175; t_rel 0.8620;
2 r 12.4942; phi 0.9729; x 0.3517; y 0.5163; t_rel 0.8608;
2 r 12.4729; phi 0.9721; x 0.3514; y 0.5152; t_rel 0.8596;
2 r 12.4517; phi 0.9714; x 0.3512; y 0.5141; t_rel 0.8584;
2 r 12.4314; phi 0.9707; x 0.3510; y 0.5130; t_rel 0.8572;
2 r 12.4152; phi 0.9699; x 0.3509; y 0.5120; t_rel 0.8563;
2 r 12.3993; phi 0.9692; x 0.3509; y 0.5111; t_rel 0.8554;
2 r 12.3832; phi 0.9685; x 0.3508; y 0.5102; t_rel 0.8545;
2 r 12.3634; phi 0.9677; x 0.3506; y 0.5091; t_rel 0.8533;
2 r 12.3427; phi 0.9670; x 0.3504; y 0.5080; t_rel 0.8521;
2 r 12.3221; phi 0.9663; x 0.3502; y 0.5069; t_rel 0.8510;
2 r 12.3017; phi 0.9656; x 0.3500; y 0.5058; t_rel 0.8498;
2 r 12.2813; phi 0.9648; x 0.3498; y 0.5047; t_rel 0.8486;
2 r 12.2610; phi 0.9641; x 0.3495; y 0.5036; t_rel 0.8475;
2 r 12.2408; phi 0.9634; x 0.3493; y 0.5026; t_rel 0.8463;
2 r 12.2207; phi 0.9626; x 0.3491; y 0.5015; t_rel 0.8452;
2 r 12.2008; phi 0.9619; x 0.3489; y 0.5004; t_rel 0.8440;
2 r 12.1808; phi 0.9612; x 0.3487; y 0.4993; t_rel 0.8429;
2 r 12.1610; phi 0.9604; x 0.3485; y 0.4983; t_rel 0.8417;
2 r 12.1413; phi 0.9597; x 0.3483; y 0.4972; t_rel 0.8406;
2 r 12.1217; phi 0.9590; x 0.3481; y 0.4961; t_rel 0.8395;
2 r 12.1020; phi 0.9582; x 0.3479; y 0.4951; t_rel 0.8384;
2 r 12.0825; phi 0.9575; x 0.3477; y 0.4940; t_rel 0.8372;
2 r 12.0632; phi 0.9568; x 0.3475; y 0.4930; t_rel 0.8361;
2 r 12.0468; phi 0.9560; x 0.3474; y 0.4921; t_rel 0.8352;
2 r 12.0309; phi 0.9553; x 0.3473; y 0.4912; t_rel 0.8343;
2 r 12.0148; phi 0.9546; x 0.3472; y 0.4902; t_rel 0.8333;
2 r 11.9985; phi 0.9538; x 0.3471; y 0.4893; t_rel 0.8324;
2 r 11.9820; phi 0.9531; x 0.3470; y 0.4884; t_rel 0.8315;
2 r 11.9630; phi 0.9524; x 0.3468; y 0.4874; t_rel 0.8304;
2 r 11.9442; phi 0.9516; x 0.3466; y 0.4864; t_rel 0.8293;
2 r 11.9254; phi 0.9509; x 0.3464; y 0.4853; t_rel 0.8282;
2 r 11.9067; phi 0.9502; x 0.3462; y 0.4843; t_rel 0.8271;
2 r 11.8880; phi 0.9494; x 0.3460; y 0.4833; t_rel 0.8261;
2 r 11.8695; phi 0.9487; x 0.3458; y 0.4823; t_rel 0.8250;
2 r 11.8511; phi 0.9480; x 0.3456; y 0.4813; t_rel 0.8239;
2 r 11.8326; phi 0.9473; x 0.3455; y 0.4803; t_rel 0.8229;
2 r 11.8143; phi 0.9465; x 0.3453; y 0.4793; t_rel 0.8218;
2 r 11.7960; phi 0.9458; x 0.3451; y 0.4783; t_rel 0.8207;
2 r 11.7779; phi 0.9451; x 0.3449; y 0.4773; t_rel 0.8197;
2 r 11.7598; phi 0.9443; x 0.3447; y 0.4763; t_rel 0.8187;
2 r 11.7417; phi 0.9436; x 0.3446; y 0.4753; t_rel 0.8176;
2 r 11.7238; phi 0.9429; x 0.3444; y 0.4744; t_rel 0.8166;
2 r 11.7060; phi 0.9421; x 0.3442; y 0.4734; t_rel 0.8155;
2 r 11.6882; phi 0.9414; x 0.3440; y 0.4724; t_rel 0.8145;
2 r 11.6704; phi 0.9407; x 0.3438; y 0.4715; t_rel 0.8135;
2 r 11.6528; phi 0.9399; x 0.3437; y 0.4705; t_rel 0.8125;
2 r 11.6352; phi 0.9392; x 0.3435; y 0.4695; t_rel 0.8115;
2 r 11.6177; phi 0.9385; x 0.3433; y 0.4686; t_rel 0.8104;
2 r 11.6002; phi 0.9377; x 0.3431; y 0.4676; t_rel 0.8094;
2 r 11.5829; phi 0.9370; x 0.3430; y 0.4667; t_rel 0.8084;
2 r 11.5656; phi 0.9363; x 0.3428; y 0.4657; t_rel 0.8074;
2 r 11.5484; phi 0.9355; x 0.3426; y 0.4648; t_rel 0.8064;
2 r 11.5312; phi 0.9348; x 0.3425; y 0.4638; t_rel 0.8054;
2 r 11.5141; phi 0.9341; x 0.3423; y 0.4629; t_rel 0.8044;
2 r 11.4971; phi 0.9333; x 0.3421; y 0.4620; t_rel 0.8035;
2 r 11.4801; phi 0.9326; x 0.3420; y 0.4610; t_rel 0.8025;
2 r 11.4632; phi 0.9319; x 0.3418; y 0.4601; t_rel 0.8015;
2 r 11.4464; phi 0.9311; x 0.3416; y 0.4592; t_rel 0.8005;
3 r 11.4297; phi 0.9304; x 0.3415; y 0.4583; t_rel 0.7995;
3 r 11.4130; phi 0.9297; x 0.3413; y 0.4573; t_rel 0.7986;
3 r 11.3964; phi 0.9290; x 0.3411; y 0.4564; t_rel 0.7976;
3 r 11.3798; phi 0.9282; x 0.3410; y 0.4555; t_rel 0.7966;
3 r 11.3634; phi 0.9275; x 0.3408; y 0.4546; t_rel 0.7957;
3 r 11.3469; phi 0.9268; x 0.3407; y 0.4537; t_rel 0.7947;
3 r 11.3305; phi 0.9260; x 0.3405; y 0.4528; t_rel 0.7938;
3 r 11.3142; phi 0.9253; x 0.3403; y 0.4519; t_rel 0.7928;
3 r 11.2980; phi 0.9246; x 0.3402; y 0.4510; t_rel 0.7919;
3 r 11.2818; phi 0.9238; x 0.3400; y 0.4501; t_rel 0.7909;
3 r 11.2657; phi 0.9231; x 0.3399; y 0.4492; t_rel 0.7900;
3 r 11.2497; phi 0.9224; x 0.3397; y 0.4483; t_rel 0.7891;
3 r 11.2337; phi 0.9216; x 0.3396; y 0.4474; t_rel 0.7881;
3 r 11.2178; phi 0.9209; x 0.3394; y 0.4465; t_rel 0.7872;
3 r 11.2019; phi 0.9202; x 0.3392; y 0.4457; t_rel 0.7863;
3 r 11.1861; phi 0.9194; x 0.3391; y 0.4448; t_rel 0.7854;
3 r 11.1704; phi 0.9187; x 0.3389; y 0.4439; t_rel 0.7844;
3 r 11.1546; phi 0.9180; x 0.3388; y 0.4430; t_rel 0.7835;
3 r 11.1390; phi 0.9172; x 0.3386; y 0.4422; t_rel 0.7826;
3 r 11.1234; phi 0.9165; x 0.3385; y 0.4413; t_rel 0.7817;
3 r 11.1080; phi 0.9158; x 0.3383; y 0.4405; t_rel 0.7808;
3 r 11.0925; phi 0.9150; x 0.3382; y 0.4396; t_rel 0.7799;
