2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9727; phi -0.0006; x 0.7486; y -0.0005; t_rel 0.9991;
2 r 14.9463; phi -0.0013; x 0.7473; y -0.0010; t_rel 0.9981;
2 r 14.9199; phi -0.0019; x 0.7460; y -0.0014; t_rel 0.9972;
2 r 14.8937; phi -0.0025; x 0.7447; y -0.0019; t_rel 0.9963;
2 r 14.8675; phi -0.0032; x 0.7434; y -0.0023; t_rel 0.9954;
2 r 14.8415; phi -0.0038; x 0.7421; y -0.0028; t_rel 0.9945;
2 r 14.8155; phi -0.0044; x 0.7408; y -0.0033; t_rel 0.9936;
2 r 14.7896; phi -0.0050; x 0.7395; y -0.0037; t_rel 0.9927;
2 r 14.7639; phi -0.0057; x 0.7382; y -0.0042; t_rel 0.9918;
2 r 14.7382; phi -0.0063; x 0.7369; y -0.0046; t_rel 0.9909;
2 r 14.7126; phi -0.0069; x 0.7356; y -0.0051; t_rel 0.9900;
2 r 14.6871; phi -0.0076; x 0.7343; y -0.0056; t_rel 0.9892;
2 r 14.6617; phi -0.0082; x 0.7331; y -0.0060; t_rel 0.9883;
2 r 14.6364; phi -0.0088; x 0.7318; y -0.0065; t_rel 0.9874;
2 r 14.6112; phi -0.0094; x 0.7305; y -0.0069; t_rel 0.9865;
2 r 14.5861; phi -0.0101; x 0.7293; y -0.0073; t_rel 0.9856;
2 r 14.5610; phi -0.0107; x 0.7280; y -0.0078; t_rel 0.9848;
2 r 14.5361; phi -0.0113; x 0.7268; y -0.0082; t_rel 0.9839;
2 r 14.5112; phi -0.0120; x 0.7255; y -0.0087; t_rel 0.9830;
2 r 14.4865; phi -0.0126; x 0.7243; y -0.0091; t_rel 0.9822;
2 r 14.4618; phi -0.0132; x 0.7230; y -0.0096; t_rel 0.9813;
2 r 14.4372; phi -0.0138; x 0.7218; y -0.0100; t_rel 0.9805;
2 r 14.4127; phi -0.0145; x 0.7206; y -0.0104; t_rel 0.9796;
2 r 14.3883; phi -0.0151; x 0.7193; y -0.0109; t_rel 0.9788;
2 r 14.3640; phi -0.0157; x 0.7181; y -0.0113; t_rel 0.9779;
