2 r 14.9768; phi 0.0001; x 0.7488; y 0.0001; t_rel 1.0000;
2 r 14.9644; phi 0.0005; x 0.7482; y 0.0004; t_rel 0.9994;
2 r 14.9427; phi 0.0011; x 0.7471; y 0.0008; t_rel 0.9983;
2 r 14.9210; phi 0.0017; x 0.7461; y 0.0013; t_rel 0.9973;
2 r 14.8994; phi 0.0024; x 0.7450; y 0.0018; t_rel 0.9962;
2 r 14.8779; phi 0.0030; x 0.7439; y 0.0022; t_rel 0.9952;
2 r 14.8565; phi 0.0036; x 0.7428; y 0.0027; t_rel 0.9941;
2 r 14.8351; phi 0.0043; x 0.7417; y 0.0032; t_rel 0.9931;
2 r 14.8137; phi 0.0049; x 0.7407; y 0.0036; t_rel 0.9920;
2 r 14.7925; phi 0.0055; x 0.7396; y 0.0041; t_rel 0.9910;
2 r 14.7713; phi 0.0061; x 0.7386; y 0.0045; t_rel 0.9899;
2 r 14.7502; phi 0.0068; x 0.7375; y 0.0050; t_rel 0.9889;
2 r 14.7291; phi 0.0074; x 0.7364; y 0.0054; t_rel 0.9879;
2 r 14.7081; phi 0.0080; x 0.7354; y 0.0059; t_rel 0.9868;
2 r 14.6872; phi 0.0087; x 0.7343; y 0.0064; t_rel 0.9858;
2 r 14.6663; phi 0.0093; x 0.7333; y 0.0068; t_rel 0.9848;
2 r 14.6455; phi 0.0099; x 0.7322; y 0.0073; t_rel 0.9838;
2 r 14.6248; phi 0.0105; x 0.7312; y 0.0077; t_rel 0.9827;
2 r 14.6041; phi 0.0112; x 0.7302; y 0.0082; t_rel 0.9817;
2 r 14.5835; phi 0.0118; x 0.7291; y 0.0086; t_rel 0.9807;
2 r 14.5629; phi 0.0124; x 0.7281; y 0.0090; t_rel 0.9797;
2 r 14.5424; phi 0.0131; x 0.7271; y 0.0095; t_rel 0.9787;
2 r 14.5220; phi 0.0137; x 0.7260; y 0.0099; t_rel 0.9777;
2 r 14.5016; phi 0.0143; x 0.7250; y 0.0104; t_rel 0.9767;
2 r 14.4813; phi 0.0149; x 0.7240; y 0.0108; t_rel 0.9757;
2 r 14.4611; phi 0.0156; x 0.7230; y 0.0113; t_rel 0.9747;
2 r 14.4409; phi 0.0162; x 0.7220; y 0.0117; t_rel 0.9737;
2 r 14.4208; phi 0.0168; x 0.7209; y 0.0121; t_rel 0.9727;
2 r 14.4007; phi 0.0175; x 0.7199; y 0.0126; t_rel 0.9717;
2 r 14.3807; phi 0.0181; x 0.7189; y 0.0130; t_rel 0.9707;
2 r 14.3608; phi 0.0187; x 0.7179; y 0.0134; t_rel 0.9698;
2 r 14.3409; phi 0.0193; x 0.7169; y 0.0139; t_rel 0.9688;
2 r 14.3211; phi 0.0200; x 0.7159; y 0.0143; t_rel 0.9678;
2 r 14.3013; phi 0.0206; x 0.7149; y 0.0147; t_rel 0.9668;
2 r 14.2816; phi 0.0212; x 0.7139; y 0.0152; t_rel 0.9658;
2 r 14.2620; phi 0.0219; x 0.7129; y 0.0156; t_rel 0.9649;
2 r 14.2424; phi 0.0225; x 0.7119; y 0.0160; t_rel 0.9639;
2 r 14.2229; phi 0.0231; x 0.7110; y 0.0164; t_rel 0.9629;
2 r 14.2034; phi 0.0237; x 0.7100; y 0.0169; t_rel 0.9620;
2 r 14.1840; phi 0.0244; x 0.7090; y 0.0173; t_rel 0.9610;
2 r 14.1646; phi 0.0250; x 0.7080; y 0.0177; t_rel 0.9601;
2 r 14.1453; phi 0.0256; x 0.7070; y 0.0181; t_rel 0.9591;
2 r 14.1261; phi 0.0262; x 0.7061; y 0.0185; t_rel 0.9582;
2 r 14.1069; phi 0.0269; x 0.7051; y 0.0190; t_rel 0.9572;
2 r 14.0878; phi 0.0275; x 0.7041; y 0.0194; t_rel 0.9563;
2 r 14.0687; phi 0.0281; x 0.7032; y 0.0198; t_rel 0.9553;
2 r 14.0497; phi 0.0288; x 0.7022; y 0.0202; t_rel 0.9544;
2 r 14.0307; phi 0.0294; x 0.7012; y 0.0206; t_rel 0.9535;
2 r 14.0118; phi 0.0300; x 0.7003; y 0.0210; t_rel 0.9525;
2 r 13.9930; phi 0.0306; x 0.6993; y 0.0214; t_rel 0.9516;
2 r 13.9742; phi 0.0313; x 0.6984; y 0.0219; t_rel 0.9507;
2 r 13.9554; phi 0.0319; x 0.6974; y 0.0223; t_rel 0.9497;
2 r 13.9367; phi 0.0325; x 0.6965; y 0.0227; t_rel 0.9488;
2 r 13.9181; phi 0.0332; x 0.6955; y 0.0231; t_rel 0.9479;
2 r 13.8995; phi 0.0338; x 0.6946; y 0.0235; t_rel 0.9470;
2 r 13.8810; phi 0.0344; x 0.6936; y 0.0239; t_rel 0.9460;
2 r 13.8625; phi 0.0350; x 0.6927; y 0.0243; t_rel 0.9451;
2 r 13.8441; phi 0.0357; x 0.6918; y 0.0247; t_rel 0.9442;
2 r 13.8258; phi 0.0363; x 0.6908; y 0.0251; t_rel 0.9433;
2 r 13.8074; phi 0.0369; x 0.6899; y 0.0255; t_rel 0.9424;
2 r 13.7892; phi 0.0376; x 0.6890; y 0.0259; t_rel 0.9415;
2 r 13.7710; phi 0.0382; x 0.6880; y 0.0263; t_rel 0.9406;
2 r 13.7528; phi 0.0388; x 0.6871; y 0.0267; t_rel 0.9397;
2 r 13.7347; phi 0.0394; x 0.6862; y 0.0271; t_rel 0.9388;
2 r 13.7167; phi 0.0401; x 0.6853; y 0.0275; t_rel 0.9379;
2 r 13.6987; phi 0.0407; x 0.6844; y 0.0279; t_rel 0.9370;
2 r 13.6807; phi 0.0413; x 0.6835; y 0.0283; t_rel 0.9361;
