2 r 14.9993; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9987; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9568; phi -0.0007; x 0.7478; y -0.0005; t_rel 0.9977;
2 r 14.9337; phi -0.0013; x 0.7467; y -0.0010; t_rel 0.9965;
2 r 14.9106; phi -0.0019; x 0.7455; y -0.0014; t_rel 0.9953;
2 r 14.8877; phi -0.0025; x 0.7444; y -0.0019; t_rel 0.9940;
2 r 14.8650; phi -0.0032; x 0.7432; y -0.0024; t_rel 0.9928;
2 r 14.8423; phi -0.0038; x 0.7421; y -0.0028; t_rel 0.9916;
2 r 14.8198; phi -0.0044; x 0.7410; y -0.0033; t_rel 0.9904;
2 r 14.7973; phi -0.0051; x 0.7399; y -0.0037; t_rel 0.9892;
2 r 14.7750; phi -0.0057; x 0.7387; y -0.0042; t_rel 0.9880;
2 r 14.7528; phi -0.0063; x 0.7376; y -0.0047; t_rel 0.9868;
2 r 14.7107; phi -0.0069; x 0.7355; y -0.0051; t_rel 0.9846;
2 r 14.6889; phi -0.0076; x 0.7344; y -0.0056; t_rel 0.9834;
2 r 14.6671; phi -0.0082; x 0.7333; y -0.0060; t_rel 0.9822;
2 r 14.6454; phi -0.0088; x 0.7322; y -0.0065; t_rel 0.9811;
2 r 14.6239; phi -0.0095; x 0.7312; y -0.0069; t_rel 0.9799;
2 r 14.6024; phi -0.0101; x 0.7301; y -0.0074; t_rel 0.9788;
2 r 14.5811; phi -0.0107; x 0.7290; y -0.0078; t_rel 0.9776;
2 r 14.5598; phi -0.0113; x 0.7279; y -0.0083; t_rel 0.9765;
2 r 14.5387; phi -0.0120; x 0.7269; y -0.0087; t_rel 0.9754;
2 r 14.4986; phi -0.0126; x 0.7249; y -0.0091; t_rel 0.9732;
2 r 14.4778; phi -0.0132; x 0.7238; y -0.0096; t_rel 0.9721;
2 r 14.4570; phi -0.0139; x 0.7228; y -0.0100; t_rel 0.9710;
2 r 14.4364; phi -0.0145; x 0.7217; y -0.0105; t_rel 0.9699;
2 r 14.4158; phi -0.0151; x 0.7207; y -0.0109; t_rel 0.9688;
2 r 14.3953; phi -0.0157; x 0.7197; y -0.0113; t_rel 0.9677;
2 r 14.3750; phi -0.0164; x 0.7187; y -0.0118; t_rel 0.9666;
2 r 14.3547; phi -0.0170; x 0.7176; y -0.0122; t_rel 0.9655;
2 r 14.3162; phi -0.0176; x 0.7157; y -0.0126; t_rel 0.9634;
2 r 14.2962; phi -0.0183; x 0.7147; y -0.0131; t_rel 0.9624;
2 r 14.2763; phi -0.0189; x 0.7137; y -0.0135; t_rel 0.9613;
2 r 14.2565; phi -0.0195; x 0.7127; y -0.0139; t_rel 0.9602;
2 r 14.2368; phi -0.0201; x 0.7117; y -0.0143; t_rel 0.9592;
2 r 14.2171; phi -0.0208; x 0.7107; y -0.0148; t_rel 0.9581;
2 r 14.1887; phi -0.0214; x 0.7093; y -0.0152; t_rel 0.9566;
2 r 14.1605; phi -0.0220; x 0.7079; y -0.0156; t_rel 0.9551;
2 r 14.1412; phi -0.0227; x 0.7069; y -0.0160; t_rel 0.9540;
2 r 14.1220; phi -0.0233; x 0.7059; y -0.0164; t_rel 0.9530;
2 r 14.1029; phi -0.0239; x 0.7049; y -0.0169; t_rel 0.9520;
2 r 14.0838; phi -0.0245; x 0.7040; y -0.0173; t_rel 0.9509;
2 r 14.0648; phi -0.0252; x 0.7030; y -0.0177; t_rel 0.9499;
2 r 14.0289; phi -0.0258; x 0.7012; y -0.0181; t_rel 0.9480;
2 r 14.0102; phi -0.0264; x 0.7003; y -0.0185; t_rel 0.9470;
2 r 13.9915; phi -0.0271; x 0.6993; y -0.0189; t_rel 0.9460;
2 r 13.9730; phi -0.0277; x 0.6984; y -0.0193; t_rel 0.9450;
2 r 13.9545; phi -0.0283; x 0.6974; y -0.0198; t_rel 0.9440;
2 r 13.9194; phi -0.0289; x 0.6957; y -0.0201; t_rel 0.9421;
2 r 13.9012; phi -0.0296; x 0.6948; y -0.0206; t_rel 0.9411;
2 r 13.8830; phi -0.0302; x 0.6938; y -0.0210; t_rel 0.9401;
2 r 13.8649; phi -0.0308; x 0.6929; y -0.0214; t_rel 0.9391;
2 r 13.8469; phi -0.0315; x 0.6920; y -0.0218; t_rel 0.9381;
2 r 13.8289; phi -0.0321; x 0.6911; y -0.0222; t_rel 0.9372;
2 r 13.7948; phi -0.0327; x 0.6894; y -0.0226; t_rel 0.9353;
2 r 13.7771; phi -0.0333; x 0.6885; y -0.0230; t_rel 0.9344;
2 r 13.7595; phi -0.0340; x 0.6876; y -0.0234; t_rel 0.9334;
2 r 13.7419; phi -0.0346; x 0.6867; y -0.0238; t_rel 0.9325;
2 r 13.7243; phi -0.0352; x 0.6858; y -0.0242; t_rel 0.9315;
2 r 13.6911; phi -0.0359; x 0.6841; y -0.0245; t_rel 0.9297;
2 r 13.6841; phi -0.0365; x 0.6837; y -0.0250; t_rel 0.9293;
2 r 13.6635; phi -0.0371; x 0.6827; y -0.0253; t_rel 0.9282;
2 r 13.6312; phi -0.0377; x 0.6811; y -0.0257; t_rel 0.9265;
2 r 13.6075; phi -0.0384; x 0.6799; y -0.0261; t_rel 0.9252;
2 r 13.5995; phi -0.0390; x 0.6795; y -0.0265; t_rel 0.9248;
2 r 13.5758; phi -0.0396; x 0.6783; y -0.0269; t_rel 0.9235;
2 r 13.5523; phi -0.0403; x 0.6771; y -0.0273; t_rel 0.9222;
2 r 13.5287; phi -0.0409; x 0.6759; y -0.0276; t_rel 0.9209;
2 r 13.5208; phi -0.0415; x 0.6755; y -0.0281; t_rel 0.9205;
2 r 13.4973; phi -0.0421; x 0.6743; y -0.0284; t_rel 0.9192;
2 r 13.4739; phi -0.0428; x 0.6731; y -0.0288; t_rel 0.9179;
2 r 13.4505; phi -0.0434; x 0.6719; y -0.0292; t_rel 0.9167;
2 r 13.4272; phi -0.0440; x 0.6707; y -0.0295; t_rel 0.9154;
2 r 13.4193; phi -0.0447; x 0.6703; y -0.0300; t_rel 0.9150;
2 r 13.3960; phi -0.0453; x 0.6691; y -0.0303; t_rel 0.9137;
2 r 13.3727; phi -0.0459; x 0.6679; y -0.0307; t_rel 0.9125;
2 r 13.3495; phi -0.0465; x 0.6668; y -0.0311; t_rel 0.9112;
2 r 13.3415; phi -0.0472; x 0.6663; y -0.0315; t_rel 0.9108;
2 r 13.3182; phi -0.0478; x 0.6651; y -0.0318; t_rel 0.9095;
2 r 13.2948; phi -0.0484; x 0.6640; y -0.0322; t_rel 0.9082;
2 r 13.2715; phi -0.0491; x 0.6628; y -0.0325; t_rel 0.9069;
2 r 13.2632; phi -0.0497; x 0.6623; y -0.0329; t_rel 0.9065;
2 r 13.2398; phi -0.0503; x 0.6611; y -0.0333; t_rel 0.9052;
2 r 13.2163; phi -0.0509; x 0.6600; y -0.0336; t_rel 0.9039;
2 r 13.2079; phi -0.0516; x 0.6595; y -0.0340; t_rel 0.9035;
2 r 13.1843; phi -0.0522; x 0.6583; y -0.0344; t_rel 0.9022;
2 r 13.1608; phi -0.0528; x 0.6571; y -0.0347; t_rel 0.9009;
2 r 13.1468; phi -0.0535; x 0.6564; y -0.0351; t_rel 0.9002;
2 r 13.1286; phi -0.0541; x 0.6555; y -0.0355; t_rel 0.8992;
2 r 13.1050; phi -0.0547; x 0.6543; y -0.0358; t_rel 0.8979;
2 r 13.0814; phi -0.0553; x 0.6531; y -0.0362; t_rel 0.8966;
2 r 13.0727; phi -0.0560; x 0.6526; y -0.0366; t_rel 0.8961;
2 r 13.0490; phi -0.0566; x 0.6514; y -0.0369; t_rel 0.8948;
