2 r 15.0000; phi 1.0472; x 0.3750; y 0.6495; t_rel 1.0000;
2 r 14.9669; phi 1.0470; x 0.3743; y 0.6480; t_rel 0.9987;
2 r 14.8035; phi 1.0459; x 0.3709; y 0.6405; t_rel 0.9924;
2 r 14.6435; phi 1.0448; x 0.3676; y 0.6332; t_rel 0.9862;
2 r 14.4870; phi 1.0436; x 0.3644; y 0.6260; t_rel 0.9801;
2 r 14.3339; phi 1.0425; x 0.3612; y 0.6190; t_rel 0.9741;
2 r 14.1839; phi 1.0414; x 0.3581; y 0.6121; t_rel 0.9682;
2 r 14.0371; phi 1.0403; x 0.3551; y 0.6054; t_rel 0.9625;
2 r 13.8933; phi 1.0392; x 0.3521; y 0.5988; t_rel 0.9568;
2 r 13.7524; phi 1.0381; x 0.3492; y 0.5923; t_rel 0.9513;
2 r 13.6143; phi 1.0370; x 0.3464; y 0.5860; t_rel 0.9459;
2 r 13.4790; phi 1.0359; x 0.3436; y 0.5798; t_rel 0.9405;
2 r 13.3464; phi 1.0347; x 0.3408; y 0.5737; t_rel 0.9353;
2 r 13.2164; phi 1.0336; x 0.3381; y 0.5678; t_rel 0.9302;
2 r 13.0889; phi 1.0325; x 0.3355; y 0.5619; t_rel 0.9251;
2 r 12.9639; phi 1.0314; x 0.3329; y 0.5562; t_rel 0.9201;
2 r 12.8412; phi 1.0303; x 0.3304; y 0.5505; t_rel 0.9153;
2 r 12.7209; phi 1.0292; x 0.3279; y 0.5450; t_rel 0.9105;
2 r 12.6027; phi 1.0281; x 0.3254; y 0.5396; t_rel 0.9058;
2 r 12.4868; phi 1.0270; x 0.3230; y 0.5343; t_rel 0.9011;
2 r 12.3730; phi 1.0259; x 0.3207; y 0.5290; t_rel 0.8966;
2 r 12.2613; phi 1.0247; x 0.3184; y 0.5239; t_rel 0.8921;
2 r 12.1516; phi 1.0236; x 0.3161; y 0.5189; t_rel 0.8877;
2 r 12.0438; phi 1.0225; x 0.3139; y 0.5139; t_rel 0.8834;
2 r 11.9379; phi 1.0214; x 0.3117; y 0.5091; t_rel 0.8791;
2 r 11.8339; phi 1.0203; x 0.3095; y 0.5043; t_rel 0.8749;
2 r 11.7318; phi 1.0192; x 0.3074; y 0.4996; t_rel 0.8707;
2 r 11.6313; phi 1.0181; x 0.3053; y 0.4950; t_rel 0.8667;
2 r 11.5326; phi 1.0170; x 0.3033; y 0.4904; t_rel 0.8627;
2 r 11.4356; phi 1.0158; x 0.3013; y 0.4860; t_rel 0.8587;
2 r 11.3401; phi 1.0147; x 0.2993; y 0.4816; t_rel 0.8548;
2 r 11.2463; phi 1.0136; x 0.2973; y 0.4773; t_rel 0.8510;
2 r 11.1540; phi 1.0125; x 0.2954; y 0.4730; t_rel 0.8472;
2 r 11.0633; phi 1.0114; x 0.2935; y 0.4688; t_rel 0.8435;
2 r 10.9740; phi 1.0103; x 0.2917; y 0.4647; t_rel 0.8398;
2 r 10.8861; phi 1.0092; x 0.2899; y 0.4607; t_rel 0.8362;
2 r 10.7997; phi 1.0081; x 0.2881; y 0.4567; t_rel 0.8327;
2 r 10.7146; phi 1.0070; x 0.2863; y 0.4528; t_rel 0.8292;
2 r 10.6309; phi 1.0058; x 0.2846; y 0.4489; t_rel 0.8257;
2 r 10.5484; phi 1.0047; x 0.2829; y 0.4452; t_rel 0.8223;
2 r 10.4673; phi 1.0036; x 0.2812; y 0.4414; t_rel 0.8189;
2 r 10.3874; phi 1.0025; x 0.2795; y 0.4377; t_rel 0.8156;
2 r 10.3087; phi 1.0014; x 0.2779; y 0.4341; t_rel 0.8123;
2 r 10.2312; phi 1.0003; x 0.2763; y 0.4305; t_rel 0.8091;
2 r 10.1549; phi 0.9992; x 0.2747; y 0.4270; t_rel 0.8059;
2 r 10.0797; phi 0.9981; x 0.2731; y 0.4236; t_rel 0.8027;
3 r 10.0056; phi 0.9970; x 0.2716; y 0.4201; t_rel 0.7996;
3 r 9.9326; phi 0.9958; x 0.2701; y 0.4168; t_rel 0.7966;
3 r 9.8607; phi 0.9947; x 0.2686; y 0.4135; t_rel 0.7935;
3 r 9.7899; phi 0.9936; x 0.2671; y 0.4102; t_rel 0.7906;
3 r 9.7200; phi 0.9925; x 0.2656; y 0.4070; t_rel 0.7876;
3 r 9.6511; phi 0.9914; x 0.2642; y 0.4038; t_rel 0.7847;
3 r 9.5833; phi 0.9903; x 0.2628; y 0.4007; t_rel 0.7818;
3 r 9.5163; phi 0.9892; x 0.2614; y 0.3976; t_rel 0.7790;
3 r 9.4503; phi 0.9881; x 0.2600; y 0.3945; t_rel 0.7762;
3 r 9.3853; phi 0.9869; x 0.2587; y 0.3915; t_rel 0.7734;
3 r 9.3211; phi 0.9858; x 0.2573; y 0.3886; t_rel 0.7706;
3 r 9.2578; phi 0.9847; x 0.2560; y 0.3856; t_rel 0.7679;
3 r 9.1954; phi 0.9836; x 0.2547; y 0.3828; t_rel 0.7652;
3 r 9.1338; phi 0.9825; x 0.2534; y 0.3799; t_rel 0.7626;
3 r 9.0730; phi 0.9814; x 0.2522; y 0.3771; t_rel 0.7600;
3 r 9.0131; phi 0.9803; x 0.2509; y 0.3743; t_rel 0.7574;
3 r 8.9539; phi 0.9792; x 0.2497; y 0.3716; t_rel 0.7548;
3 r 8.8955; phi 0.9781; x 0.2485; y 0.3689; t_rel 0.7523;
3 r 8.8379; phi 0.9769; x 0.2473; y 0.3662; t_rel 0.7498;
3 r 8.7811; phi 0.9758; x 0.2461; y 0.3636; t_rel 0.7473;
3 r 8.7249; phi 0.9747; x 0.2449; y 0.3610; t_rel 0.7449;
3 r 8.6695; phi 0.9736; x 0.2438; y 0.3584; t_rel 0.7425;
3 r 8.6148; phi 0.9725; x 0.2426; y 0.3559; t_rel 0.7401;
3 r 8.5608; phi 0.9714; x 0.2415; y 0.3534; t_rel 0.7377;
3 r 8.5075; phi 0.9703; x 0.2404; y 0.3509; t_rel 0.7354;
3 r 8.4548; phi 0.9692; x 0.2393; y 0.3485; t_rel 0.7331;
3 r 8.4028; phi 0.9680; x 0.2382; y 0.3461; t_rel 0.7308;
3 r 8.3514; phi 0.9669; x 0.2371; y 0.3437; t_rel 0.7285;
3 r 8.3007; phi 0.9658; x 0.2360; y 0.3414; t_rel 0.7263;
3 r 8.2506; phi 0.9647; x 0.2350; y 0.3391; t_rel 0.7240;
3 r 8.2010; phi 0.9636; x 0.2340; y 0.3368; t_rel 0.7219;
3 r 8.1521; phi 0.9625; x 0.2329; y 0.3345; t_rel 0.7197;
3 r 8.1038; phi 0.9614; x 0.2319; y 0.3322; t_rel 0.7175;
3 r 8.0561; phi 0.9603; x 0.2309; y 0.3300; t_rel 0.7154;
3 r 8.0089; phi 0.9592; x 0.2299; y 0.3278; t_rel 0.7133;
3 r 7.9622; phi 0.9580; x 0.2290; y 0.3257; t_rel 0.7112;
3 r 7.9162; phi 0.9569; x 0.2280; y 0.3235; t_rel 0.7091;
3 r 7.8706; phi 0.9558; x 0.2270; y 0.3214; t_rel 0.7071;
3 r 7.8256; phi 0.9547; x 0.2261; y 0.3193; t_rel 0.7050;
3 r 7.7811; phi 0.9536; x 0.2252; y 0.3173; t_rel 0.7030;
3 r 7.7371; phi 0.9525; x 0.2242; y 0.3152; t_rel 0.7010;
3 r 7.6936; phi 0.9514; x 0.2233; y 0.3132; t_rel 0.6991;
3 r 7.6506; phi 0.9503; x 0.2224; y 0.3112; t_rel 0.6971;
3 r 7.6081; phi 0.9491; x 0.2215; y 0.3092; t_rel 0.6952;
3 r 7.5660; phi 0.9480; x 0.2207; y 0.3073; t_rel 0.6933;
3 r 7.5245; phi 0.9469; x 0.2198; y 0.3054; t_rel 0.6914;
3 r 7.4833; phi 0.9458; x 0.2189; y 0.3034; t_rel 0.6895;
3 r 7.4427; phi 0.9447; x 0.2181; y 0.3015; t_rel 0.6876;
3 r 7.4025; phi 0.9436; x 0.2172; y 0.2997; t_rel 0.6858;
3 r 7.3627; phi 0.9425; x 0.2164; y 0.2978; t_rel 0.6839;
3 r 7.3233; phi 0.9414; x 0.2156; y 0.2960; t_rel 0.6821;
3 r 7.2844; phi 0.9403; x 0.2147; y 0.2942; t_rel 0.6803;
3 r 7.2459; phi 0.9391; x 0.2139; y 0.2924; t_rel 0.6785;
3 r 7.2078; phi 0.9380; x 0.2131; y 0.2906; t_rel 0.6768;
3 r 7.1701; phi 0.9369; x 0.2123; y 0.2889; t_rel 0.6750;
3 r 7.1328; phi 0.9358; x 0.2115; y 0.2871; t_rel 0.6733;
3 r 7.0959; phi 0.9347; x 0.2108; y 0.2854; t_rel 0.6715;
3 r 7.0594; phi 0.9336; x 0.2100; y 0.2837; t_rel 0.6698;
3 r 7.0233; phi 0.9325; x 0.2092; y 0.2820; t_rel 0.6681;
