2 r 15.0000; phi 1.0472; x 0.3750; y 0.6495; t_rel 1.0000;
2 r 14.9813; phi 1.0468; x 0.3748; y 0.6486; t_rel 0.9993;
2 r 14.9344; phi 1.0458; x 0.3742; y 0.6462; t_rel 0.9977;
2 r 14.8878; phi 1.0448; x 0.3737; y 0.6438; t_rel 0.9960;
2 r 14.8415; phi 1.0439; x 0.3732; y 0.6414; t_rel 0.9943;
2 r 14.7955; phi 1.0429; x 0.3727; y 0.6391; t_rel 0.9927;
2 r 14.7498; phi 1.0419; x 0.3721; y 0.6367; t_rel 0.9910;
2 r 14.7044; phi 1.0409; x 0.3716; y 0.6344; t_rel 0.9894;
2 r 14.6593; phi 1.0399; x 0.3711; y 0.6321; t_rel 0.9878;
2 r 14.6145; phi 1.0389; x 0.3706; y 0.6298; t_rel 0.9862;
2 r 14.5699; phi 1.0380; x 0.3701; y 0.6275; t_rel 0.9846;
2 r 14.5257; phi 1.0370; x 0.3695; y 0.6252; t_rel 0.9830;
2 r 14.4817; phi 1.0360; x 0.3690; y 0.6230; t_rel 0.9814;
2 r 14.4380; phi 1.0350; x 0.3685; y 0.6207; t_rel 0.9798;
2 r 14.3946; phi 1.0340; x 0.3680; y 0.6185; t_rel 0.9782;
2 r 14.3514; phi 1.0331; x 0.3675; y 0.6163; t_rel 0.9767;
2 r 14.3085; phi 1.0321; x 0.3670; y 0.6141; t_rel 0.9751;
2 r 14.2659; phi 1.0311; x 0.3666; y 0.6119; t_rel 0.9736;
2 r 14.2235; phi 1.0301; x 0.3661; y 0.6097; t_rel 0.9721;
2 r 14.1814; phi 1.0291; x 0.3656; y 0.6076; t_rel 0.9706;
2 r 14.1396; phi 1.0281; x 0.3651; y 0.6054; t_rel 0.9690;
2 r 14.0980; phi 1.0272; x 0.3646; y 0.6033; t_rel 0.9675;
2 r 14.0567; phi 1.0262; x 0.3641; y 0.6012; t_rel 0.9660;
2 r 14.0156; phi 1.0252; x 0.3637; y 0.5990; t_rel 0.9646;
2 r 13.9748; phi 1.0242; x 0.3632; y 0.5969; t_rel 0.9631;
2 r 13.9342; phi 1.0232; x 0.3627; y 0.5948; t_rel 0.9616;
2 r 13.8939; phi 1.0222; x 0.3622; y 0.5928; t_rel 0.9601;
2 r 13.8538; phi 1.0213; x 0.3618; y 0.5907; t_rel 0.9587;
2 r 13.8139; phi 1.0203; x 0.3613; y 0.5886; t_rel 0.9572;
2 r 13.7743; phi 1.0193; x 0.3609; y 0.5866; t_rel 0.9558;
2 r 13.7349; phi 1.0183; x 0.3604; y 0.5846; t_rel 0.9544;
2 r 13.6958; phi 1.0173; x 0.3600; y 0.5826; t_rel 0.9530;
2 r 13.6569; phi 1.0163; x 0.3595; y 0.5805; t_rel 0.9515;
2 r 13.6182; phi 1.0154; x 0.3591; y 0.5786; t_rel 0.9501;
2 r 13.5798; phi 1.0144; x 0.3586; y 0.5766; t_rel 0.9487;
2 r 13.5416; phi 1.0134; x 0.3582; y 0.5746; t_rel 0.9473;
2 r 13.5036; phi 1.0124; x 0.3577; y 0.5726; t_rel 0.9460;
