2 r 14.9995; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9991; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9665; phi -0.0007; x 0.7483; y -0.0005; t_rel 0.9985;
2 r 14.9614; phi -0.0013; x 0.7481; y -0.0010; t_rel 0.9983;
2 r 14.9319; phi -0.0019; x 0.7466; y -0.0014; t_rel 0.9970;
2 r 14.9268; phi -0.0025; x 0.7463; y -0.0019; t_rel 0.9968;
2 r 14.8977; phi -0.0032; x 0.7449; y -0.0024; t_rel 0.9955;
2 r 14.8926; phi -0.0038; x 0.7446; y -0.0028; t_rel 0.9953;
2 r 14.8638; phi -0.0044; x 0.7432; y -0.0033; t_rel 0.9940;
2 r 14.8587; phi -0.0051; x 0.7429; y -0.0038; t_rel 0.9938;
2 r 14.8316; phi -0.0057; x 0.7416; y -0.0042; t_rel 0.9926;
2 r 14.8251; phi -0.0063; x 0.7412; y -0.0047; t_rel 0.9923;
2 r 14.7996; phi -0.0069; x 0.7400; y -0.0051; t_rel 0.9912;
2 r 14.7919; phi -0.0076; x 0.7396; y -0.0056; t_rel 0.9908;
2 r 14.7674; phi -0.0082; x 0.7383; y -0.0061; t_rel 0.9898;
2 r 14.7588; phi -0.0088; x 0.7379; y -0.0065; t_rel 0.9894;
2 r 14.7350; phi -0.0095; x 0.7367; y -0.0070; t_rel 0.9883;
2 r 14.7261; phi -0.0101; x 0.7363; y -0.0074; t_rel 0.9879;
2 r 14.7026; phi -0.0107; x 0.7351; y -0.0079; t_rel 0.9869;
2 r 14.6936; phi -0.0113; x 0.7346; y -0.0083; t_rel 0.9865;
2 r 14.6700; phi -0.0120; x 0.7334; y -0.0088; t_rel 0.9855;
2 r 14.6614; phi -0.0126; x 0.7330; y -0.0092; t_rel 0.9851;
2 r 14.6371; phi -0.0132; x 0.7318; y -0.0097; t_rel 0.9840;
2 r 14.6294; phi -0.0139; x 0.7314; y -0.0101; t_rel 0.9837;
2 r 14.6040; phi -0.0145; x 0.7301; y -0.0106; t_rel 0.9826;
2 r 14.5977; phi -0.0151; x 0.7298; y -0.0110; t_rel 0.9823;
2 r 14.5709; phi -0.0157; x 0.7285; y -0.0115; t_rel 0.9811;
2 r 14.5663; phi -0.0164; x 0.7282; y -0.0119; t_rel 0.9809;
2 r 14.5397; phi -0.0170; x 0.7269; y -0.0124; t_rel 0.9797;
2 r 14.5351; phi -0.0176; x 0.7266; y -0.0128; t_rel 0.9795;
2 r 14.5087; phi -0.0183; x 0.7253; y -0.0132; t_rel 0.9783;
2 r 14.5042; phi -0.0189; x 0.7251; y -0.0137; t_rel 0.9781;
2 r 14.4780; phi -0.0195; x 0.7238; y -0.0141; t_rel 0.9770;
2 r 14.4734; phi -0.0201; x 0.7235; y -0.0146; t_rel 0.9768;
2 r 14.4475; phi -0.0208; x 0.7222; y -0.0150; t_rel 0.9756;
2 r 14.4430; phi -0.0214; x 0.7220; y -0.0155; t_rel 0.9754;
2 r 14.4172; phi -0.0220; x 0.7207; y -0.0159; t_rel 0.9743;
2 r 14.4128; phi -0.0227; x 0.7205; y -0.0163; t_rel 0.9741;
2 r 14.3872; phi -0.0233; x 0.7192; y -0.0168; t_rel 0.9730;
2 r 14.3828; phi -0.0239; x 0.7189; y -0.0172; t_rel 0.9728;
2 r 14.3574; phi -0.0245; x 0.7177; y -0.0176; t_rel 0.9716;
2 r 14.3530; phi -0.0252; x 0.7174; y -0.0181; t_rel 0.9714;
2 r 14.3278; phi -0.0258; x 0.7162; y -0.0185; t_rel 0.9703;
2 r 14.3183; phi -0.0264; x 0.7157; y -0.0189; t_rel 0.9699;
2 r 14.2985; phi -0.0271; x 0.7147; y -0.0193; t_rel 0.9690;
2 r 14.2834; phi -0.0277; x 0.7139; y -0.0198; t_rel 0.9684;
2 r 14.2693; phi -0.0283; x 0.7132; y -0.0202; t_rel 0.9677;
2 r 14.2482; phi -0.0289; x 0.7121; y -0.0206; t_rel 0.9668;
2 r 14.2404; phi -0.0296; x 0.7117; y -0.0211; t_rel 0.9665;
2 r 14.2160; phi -0.0302; x 0.7105; y -0.0215; t_rel 0.9654;
2 r 14.2117; phi -0.0308; x 0.7102; y -0.0219; t_rel 0.9652;
2 r 14.1875; phi -0.0315; x 0.7090; y -0.0223; t_rel 0.9641;
2 r 14.1832; phi -0.0321; x 0.7088; y -0.0228; t_rel 0.9639;
2 r 14.1591; phi -0.0327; x 0.7076; y -0.0232; t_rel 0.9628;
2 r 14.1549; phi -0.0333; x 0.7074; y -0.0236; t_rel 0.9627;
2 r 14.1310; phi -0.0340; x 0.7061; y -0.0240; t_rel 0.9616;
2 r 14.1257; phi -0.0346; x 0.7059; y -0.0244; t_rel 0.9614;
2 r 14.1031; phi -0.0352; x 0.7047; y -0.0248; t_rel 0.9603;
2 r 14.0893; phi -0.0359; x 0.7040; y -0.0253; t_rel 0.9597;
2 r 14.0754; phi -0.0365; x 0.7033; y -0.0257; t_rel 0.9591;
2 r 14.0526; phi -0.0371; x 0.7021; y -0.0261; t_rel 0.9581;
2 r 14.0479; phi -0.0377; x 0.7019; y -0.0265; t_rel 0.9579;
2 r 14.0246; phi -0.0384; x 0.7007; y -0.0269; t_rel 0.9569;
2 r 14.0205; phi -0.0390; x 0.7005; y -0.0273; t_rel 0.9567;
2 r 13.9974; phi -0.0396; x 0.6993; y -0.0277; t_rel 0.9556;
2 r 13.9934; phi -0.0403; x 0.6991; y -0.0282; t_rel 0.9555;
2 r 13.9704; phi -0.0409; x 0.6979; y -0.0286; t_rel 0.9544;
2 r 13.9624; phi -0.0415; x 0.6975; y -0.0290; t_rel 0.9541;
2 r 13.9437; phi -0.0421; x 0.6966; y -0.0294; t_rel 0.9533;
2 r 13.9247; phi -0.0428; x 0.6956; y -0.0298; t_rel 0.9524;
2 r 13.9171; phi -0.0434; x 0.6952; y -0.0302; t_rel 0.9521;
2 r 13.8945; phi -0.0440; x 0.6941; y -0.0306; t_rel 0.9511;
2 r 13.8907; phi -0.0447; x 0.6938; y -0.0310; t_rel 0.9509;
2 r 13.8683; phi -0.0453; x 0.6927; y -0.0314; t_rel 0.9499;
2 r 13.8644; phi -0.0459; x 0.6925; y -0.0318; t_rel 0.9497;
2 r 13.8423; phi -0.0465; x 0.6914; y -0.0322; t_rel 0.9487;
2 r 13.8308; phi -0.0472; x 0.6908; y -0.0326; t_rel 0.9482;
2 r 13.8166; phi -0.0478; x 0.6900; y -0.0330; t_rel 0.9476;
2 r 13.7949; phi -0.0484; x 0.6889; y -0.0334; t_rel 0.9466;
2 r 13.7914; phi -0.0491; x 0.6887; y -0.0338; t_rel 0.9465;
