2 r 15.0000; phi 1.0472; x 0.3750; y 0.6495; t_rel 1.0000;
2 r 14.9713; phi 1.0468; x 0.3745; y 0.6481; t_rel 0.9989;
2 r 14.8136; phi 1.0446; x 0.3720; y 0.6405; t_rel 0.9928;
2 r 14.6592; phi 1.0425; x 0.3695; y 0.6330; t_rel 0.9868;
2 r 14.5081; phi 1.0403; x 0.3670; y 0.6257; t_rel 0.9809;
2 r 14.3601; phi 1.0381; x 0.3646; y 0.6185; t_rel 0.9752;
2 r 14.2151; phi 1.0359; x 0.3623; y 0.6115; t_rel 0.9695;
2 r 14.0731; phi 1.0338; x 0.3600; y 0.6046; t_rel 0.9640;
2 r 13.9340; phi 1.0316; x 0.3577; y 0.5979; t_rel 0.9585;
2 r 13.7976; phi 1.0294; x 0.3555; y 0.5912; t_rel 0.9532;
2 r 13.6639; phi 1.0273; x 0.3533; y 0.5847; t_rel 0.9479;
2 r 13.5329; phi 1.0251; x 0.3512; y 0.5784; t_rel 0.9428;
2 r 13.4043; phi 1.0229; x 0.3491; y 0.5721; t_rel 0.9377;
2 r 13.2783; phi 1.0207; x 0.3470; y 0.5660; t_rel 0.9327;
2 r 13.1546; phi 1.0186; x 0.3450; y 0.5600; t_rel 0.9278;
2 r 13.0333; phi 1.0164; x 0.3431; y 0.5541; t_rel 0.9230;
2 r 12.9142; phi 1.0142; x 0.3411; y 0.5483; t_rel 0.9183;
2 r 12.7974; phi 1.0121; x 0.3392; y 0.5426; t_rel 0.9137;
2 r 12.6826; phi 1.0099; x 0.3373; y 0.5370; t_rel 0.9091;
2 r 12.5700; phi 1.0077; x 0.3355; y 0.5315; t_rel 0.9046;
2 r 12.4594; phi 1.0055; x 0.3337; y 0.5261; t_rel 0.9002;
2 r 12.3507; phi 1.0034; x 0.3319; y 0.5208; t_rel 0.8959;
2 r 12.2440; phi 1.0012; x 0.3302; y 0.5155; t_rel 0.8916;
2 r 12.1392; phi 0.9990; x 0.3284; y 0.5104; t_rel 0.8874;
2 r 12.0361; phi 0.9969; x 0.3267; y 0.5054; t_rel 0.8832;
2 r 11.9349; phi 0.9947; x 0.3251; y 0.5004; t_rel 0.8792;
