2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9728; phi 0.0006; x 0.7486; y 0.0005; t_rel 0.9991;
2 r 14.9463; phi 0.0013; x 0.7473; y 0.0010; t_rel 0.9981;
2 r 14.9200; phi 0.0019; x 0.7460; y 0.0014; t_rel 0.9972;
2 r 14.8937; phi 0.0025; x 0.7447; y 0.0019; t_rel 0.9963;
2 r 14.8676; phi 0.0032; x 0.7434; y 0.0023; t_rel 0.9954;
2 r 14.8415; phi 0.0038; x 0.7421; y 0.0028; t_rel 0.9945;
2 r 14.8155; phi 0.0044; x 0.7408; y 0.0033; t_rel 0.9936;
2 r 14.7897; phi 0.0050; x 0.7395; y 0.0037; t_rel 0.9927;
2 r 14.7639; phi 0.0057; x 0.7382; y 0.0042; t_rel 0.9918;
2 r 14.7382; phi 0.0063; x 0.7369; y 0.0046; t_rel 0.9909;
2 r 14.7126; phi 0.0069; x 0.7356; y 0.0051; t_rel 0.9900;
2 r 14.6872; phi 0.0076; x 0.7343; y 0.0056; t_rel 0.9892;
2 r 14.6618; phi 0.0082; x 0.7331; y 0.0060; t_rel 0.9883;
2 r 14.6365; phi 0.0088; x 0.7318; y 0.0065; t_rel 0.9874;
2 r 14.6112; phi 0.0094; x 0.7305; y 0.0069; t_rel 0.9865;
2 r 14.5861; phi 0.0101; x 0.7293; y 0.0073; t_rel 0.9856;
2 r 14.5611; phi 0.0107; x 0.7280; y 0.0078; t_rel 0.9848;
2 r 14.5362; phi 0.0113; x 0.7268; y 0.0082; t_rel 0.9839;
2 r 14.5113; phi 0.0120; x 0.7255; y 0.0087; t_rel 0.9830;
2 r 14.4865; phi 0.0126; x 0.7243; y 0.0091; t_rel 0.9822;
2 r 14.4619; phi 0.0132; x 0.7230; y 0.0096; t_rel 0.9813;
2 r 14.4373; phi 0.0138; x 0.7218; y 0.0100; t_rel 0.9805;
2 r 14.4128; phi 0.0145; x 0.7206; y 0.0104; t_rel 0.9796;
2 r 14.3884; phi 0.0151; x 0.7193; y 0.0109; t_rel 0.9788;
2 r 14.3641; phi 0.0157; x 0.7181; y 0.0113; t_rel 0.9779;
2 r 14.3398; phi 0.0164; x 0.7169; y 0.0117; t_rel 0.9771;
2 r 14.3157; phi 0.0170; x 0.7157; y 0.0122; t_rel 0.9762;
2 r 14.2916; phi 0.0176; x 0.7145; y 0.0126; t_rel 0.9754;
2 r 14.2676; phi 0.0182; x 0.7133; y 0.0130; t_rel 0.9746;
2 r 14.2438; phi 0.0189; x 0.7121; y 0.0134; t_rel 0.9737;
2 r 14.2199; phi 0.0195; x 0.7109; y 0.0139; t_rel 0.9729;
2 r 14.1962; phi 0.0201; x 0.7097; y 0.0143; t_rel 0.9721;
2 r 14.1726; phi 0.0208; x 0.7085; y 0.0147; t_rel 0.9712;
2 r 14.1490; phi 0.0214; x 0.7073; y 0.0151; t_rel 0.9704;
2 r 14.1255; phi 0.0220; x 0.7061; y 0.0155; t_rel 0.9696;
2 r 14.1022; phi 0.0226; x 0.7049; y 0.0160; t_rel 0.9688;
2 r 14.0788; phi 0.0233; x 0.7038; y 0.0164; t_rel 0.9680;
2 r 14.0556; phi 0.0239; x 0.7026; y 0.0168; t_rel 0.9671;
2 r 14.0325; phi 0.0245; x 0.7014; y 0.0172; t_rel 0.9663;
2 r 14.0094; phi 0.0252; x 0.7002; y 0.0176; t_rel 0.9655;
2 r 13.9864; phi 0.0258; x 0.6991; y 0.0180; t_rel 0.9647;
2 r 13.9635; phi 0.0264; x 0.6979; y 0.0184; t_rel 0.9639;
2 r 13.9407; phi 0.0270; x 0.6968; y 0.0188; t_rel 0.9631;
2 r 13.9179; phi 0.0277; x 0.6956; y 0.0193; t_rel 0.9623;
2 r 13.8952; phi 0.0283; x 0.6945; y 0.0197; t_rel 0.9615;
2 r 13.8726; phi 0.0289; x 0.6933; y 0.0201; t_rel 0.9607;
2 r 13.8501; phi 0.0296; x 0.6922; y 0.0205; t_rel 0.9600;
2 r 13.8277; phi 0.0302; x 0.6911; y 0.0209; t_rel 0.9592;
2 r 13.8053; phi 0.0308; x 0.6899; y 0.0213; t_rel 0.9584;
2 r 13.7830; phi 0.0314; x 0.6888; y 0.0217; t_rel 0.9576;
2 r 13.7608; phi 0.0321; x 0.6877; y 0.0221; t_rel 0.9568;
2 r 13.7387; phi 0.0327; x 0.6866; y 0.0225; t_rel 0.9560;
2 r 13.7166; phi 0.0333; x 0.6855; y 0.0229; t_rel 0.9553;
2 r 13.6947; phi 0.0340; x 0.6843; y 0.0232; t_rel 0.9545;
2 r 13.6727; phi 0.0346; x 0.6832; y 0.0236; t_rel 0.9537;
2 r 13.6509; phi 0.0352; x 0.6821; y 0.0240; t_rel 0.9530;
2 r 13.6291; phi 0.0358; x 0.6810; y 0.0244; t_rel 0.9522;
2 r 13.6075; phi 0.0365; x 0.6799; y 0.0248; t_rel 0.9514;
2 r 13.5858; phi 0.0371; x 0.6788; y 0.0252; t_rel 0.9507;
2 r 13.5643; phi 0.0377; x 0.6777; y 0.0256; t_rel 0.9499;
2 r 13.5428; phi 0.0384; x 0.6766; y 0.0260; t_rel 0.9492;
2 r 13.5214; phi 0.0390; x 0.6756; y 0.0263; t_rel 0.9484;
2 r 13.5001; phi 0.0396; x 0.6745; y 0.0267; t_rel 0.9477;
2 r 13.4789; phi 0.0402; x 0.6734; y 0.0271; t_rel 0.9469;
2 r 13.4577; phi 0.0409; x 0.6723; y 0.0275; t_rel 0.9462;
2 r 13.4366; phi 0.0415; x 0.6712; y 0.0279; t_rel 0.9454;
2 r 13.4155; phi 0.0421; x 0.6702; y 0.0282; t_rel 0.9447;
2 r 13.3945; phi 0.0428; x 0.6691; y 0.0286; t_rel 0.9439;
2 r 13.3736; phi 0.0434; x 0.6681; y 0.0290; t_rel 0.9432;
2 r 13.3528; phi 0.0440; x 0.6670; y 0.0294; t_rel 0.9425;
2 r 13.3320; phi 0.0446; x 0.6659; y 0.0297; t_rel 0.9417;
2 r 13.3113; phi 0.0453; x 0.6649; y 0.0301; t_rel 0.9410;
2 r 13.2907; phi 0.0459; x 0.6638; y 0.0305; t_rel 0.9403;
2 r 13.2701; phi 0.0465; x 0.6628; y 0.0309; t_rel 0.9395;
2 r 13.2497; phi 0.0472; x 0.6617; y 0.0312; t_rel 0.9388;
2 r 13.2292; phi 0.0478; x 0.6607; y 0.0316; t_rel 0.9381;
2 r 13.2089; phi 0.0484; x 0.6597; y 0.0320; t_rel 0.9374;
2 r 13.1886; phi 0.0490; x 0.6586; y 0.0323; t_rel 0.9367;
2 r 13.1684; phi 0.0497; x 0.6576; y 0.0327; t_rel 0.9360;
2 r 13.1482; phi 0.0503; x 0.6566; y 0.0330; t_rel 0.9352;
2 r 13.1281; phi 0.0509; x 0.6556; y 0.0334; t_rel 0.9345;
2 r 13.1081; phi 0.0515; x 0.6545; y 0.0338; t_rel 0.9338;
2 r 13.0881; phi 0.0522; x 0.6535; y 0.0341; t_rel 0.9331;
2 r 13.0682; phi 0.0528; x 0.6525; y 0.0345; t_rel 0.9324;
2 r 13.0484; phi 0.0534; x 0.6515; y 0.0348; t_rel 0.9317;
2 r 13.0286; phi 0.0541; x 0.6505; y 0.0352; t_rel 0.9310;
2 r 13.0089; phi 0.0547; x 0.6495; y 0.0356; t_rel 0.9303;
2 r 12.9892; phi 0.0553; x 0.6485; y 0.0359; t_rel 0.9296;
2 r 12.9697; phi 0.0559; x 0.6475; y 0.0363; t_rel 0.9289;
2 r 12.9501; phi 0.0566; x 0.6465; y 0.0366; t_rel 0.9282;
2 r 12.9307; phi 0.0572; x 0.6455; y 0.0370; t_rel 0.9275;
2 r 12.9113; phi 0.0578; x 0.6445; y 0.0373; t_rel 0.9268;
2 r 12.8920; phi 0.0585; x 0.6435; y 0.0377; t_rel 0.9262;
2 r 12.8727; phi 0.0591; x 0.6425; y 0.0380; t_rel 0.9255;
2 r 12.8535; phi 0.0597; x 0.6415; y 0.0384; t_rel 0.9248;
2 r 12.8343; phi 0.0603; x 0.6405; y 0.0387; t_rel 0.9241;
2 r 12.8153; phi 0.0610; x 0.6396; y 0.0390; t_rel 0.9234;
2 r 12.7962; phi 0.0616; x 0.6386; y 0.0394; t_rel 0.9228;
2 r 12.7773; phi 0.0622; x 0.6376; y 0.0397; t_rel 0.9221;
2 r 12.7584; phi 0.0629; x 0.6367; y 0.0401; t_rel 0.9214;
2 r 12.7395; phi 0.0635; x 0.6357; y 0.0404; t_rel 0.9207;
2 r 12.7207; phi 0.0641; x 0.6347; y 0.0408; t_rel 0.9201;
2 r 12.7020; phi 0.0647; x 0.6338; y 0.0411; t_rel 0.9194;
2 r 12.6833; phi 0.0654; x 0.6328; y 0.0414; t_rel 0.9187;
2 r 12.6647; phi 0.0660; x 0.6319; y 0.0418; t_rel 0.9181;
