2 r 14.9816; phi -0.0000; x 0.7491; y -0.0000; t_rel 1.0000;
2 r 14.9995; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9742; phi -0.0006; x 0.7487; y -0.0005; t_rel 0.9997;
2 r 14.9484; phi -0.0013; x 0.7474; y -0.0010; t_rel 0.9985;
2 r 14.9408; phi -0.0019; x 0.7470; y -0.0014; t_rel 0.9982;
2 r 14.9150; phi -0.0025; x 0.7457; y -0.0019; t_rel 0.9970;
2 r 14.9075; phi -0.0032; x 0.7454; y -0.0024; t_rel 0.9966;
2 r 14.8818; phi -0.0038; x 0.7441; y -0.0028; t_rel 0.9955;
2 r 14.8562; phi -0.0044; x 0.7428; y -0.0033; t_rel 0.9943;
2 r 14.8486; phi -0.0050; x 0.7424; y -0.0037; t_rel 0.9940;
2 r 14.8231; phi -0.0057; x 0.7411; y -0.0042; t_rel 0.9928;
2 r 14.8156; phi -0.0063; x 0.7408; y -0.0047; t_rel 0.9925;
2 r 14.7900; phi -0.0069; x 0.7395; y -0.0051; t_rel 0.9913;
2 r 14.7826; phi -0.0076; x 0.7391; y -0.0056; t_rel 0.9910;
2 r 14.7571; phi -0.0082; x 0.7378; y -0.0060; t_rel 0.9898;
2 r 14.7412; phi -0.0088; x 0.7370; y -0.0065; t_rel 0.9891;
2 r 14.7242; phi -0.0094; x 0.7362; y -0.0070; t_rel 0.9883;
2 r 14.6988; phi -0.0101; x 0.7349; y -0.0074; t_rel 0.9872;
2 r 14.6914; phi -0.0107; x 0.7345; y -0.0079; t_rel 0.9869;
2 r 14.6661; phi -0.0113; x 0.7333; y -0.0083; t_rel 0.9857;
2 r 14.6587; phi -0.0120; x 0.7329; y -0.0088; t_rel 0.9854;
2 r 14.6335; phi -0.0126; x 0.7316; y -0.0092; t_rel 0.9842;
2 r 14.6261; phi -0.0132; x 0.7312; y -0.0097; t_rel 0.9839;
2 r 14.6009; phi -0.0138; x 0.7300; y -0.0101; t_rel 0.9828;
2 r 14.5925; phi -0.0145; x 0.7295; y -0.0106; t_rel 0.9824;
2 r 14.5684; phi -0.0151; x 0.7283; y -0.0110; t_rel 0.9813;
2 r 14.5434; phi -0.0157; x 0.7271; y -0.0114; t_rel 0.9801;
2 r 14.5360; phi -0.0164; x 0.7267; y -0.0119; t_rel 0.9798;
2 r 14.5110; phi -0.0170; x 0.7254; y -0.0123; t_rel 0.9787;
