2 r 14.9994; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9987; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9661; phi -0.0007; x 0.7483; y -0.0005; t_rel 0.9983;
2 r 14.9369; phi -0.0013; x 0.7468; y -0.0010; t_rel 0.9968;
2 r 14.9108; phi -0.0019; x 0.7455; y -0.0014; t_rel 0.9955;
2 r 14.8930; phi -0.0025; x 0.7446; y -0.0019; t_rel 0.9946;
2 r 14.8753; phi -0.0032; x 0.7438; y -0.0024; t_rel 0.9937;
2 r 14.8576; phi -0.0038; x 0.7429; y -0.0028; t_rel 0.9927;
2 r 14.8294; phi -0.0044; x 0.7415; y -0.0033; t_rel 0.9913;
2 r 14.8003; phi -0.0051; x 0.7400; y -0.0037; t_rel 0.9898;
2 r 14.7710; phi -0.0057; x 0.7385; y -0.0042; t_rel 0.9883;
2 r 14.7527; phi -0.0063; x 0.7376; y -0.0047; t_rel 0.9874;
2 r 14.7357; phi -0.0069; x 0.7368; y -0.0051; t_rel 0.9865;
2 r 14.7187; phi -0.0076; x 0.7359; y -0.0056; t_rel 0.9856;
2 r 14.6927; phi -0.0082; x 0.7346; y -0.0060; t_rel 0.9843;
2 r 14.6634; phi -0.0088; x 0.7331; y -0.0065; t_rel 0.9828;
2 r 14.6344; phi -0.0095; x 0.7317; y -0.0069; t_rel 0.9813;
2 r 14.6180; phi -0.0101; x 0.7309; y -0.0074; t_rel 0.9805;
2 r 14.6016; phi -0.0107; x 0.7300; y -0.0078; t_rel 0.9796;
2 r 14.5848; phi -0.0113; x 0.7292; y -0.0083; t_rel 0.9788;
2 r 14.5556; phi -0.0120; x 0.7277; y -0.0087; t_rel 0.9773;
2 r 14.5261; phi -0.0126; x 0.7262; y -0.0092; t_rel 0.9758;
2 r 14.5041; phi -0.0132; x 0.7251; y -0.0096; t_rel 0.9746;
