2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.1902; phi -0.0157; x 0.7094; y -0.0112; t_rel 0.9715;
2 r 14.1597; phi -0.0164; x 0.7079; y -0.0116; t_rel 0.9704;
2 r 14.1294; phi -0.0170; x 0.7064; y -0.0120; t_rel 0.9693;
2 r 14.0991; phi -0.0176; x 0.7048; y -0.0124; t_rel 0.9682;
2 r 14.0691; phi -0.0183; x 0.7033; y -0.0128; t_rel 0.9672;
2 r 14.0391; phi -0.0189; x 0.7018; y -0.0133; t_rel 0.9661;
2 r 14.0093; phi -0.0195; x 0.7003; y -0.0137; t_rel 0.9650;
2 r 13.9796; phi -0.0201; x 0.6988; y -0.0141; t_rel 0.9640;
2 r 13.9500; phi -0.0208; x 0.6974; y -0.0145; t_rel 0.9629;
2 r 13.9206; phi -0.0214; x 0.6959; y -0.0149; t_rel 0.9619;
2 r 13.8913; phi -0.0220; x 0.6944; y -0.0153; t_rel 0.9608;
2 r 13.8621; phi -0.0227; x 0.6929; y -0.0157; t_rel 0.9598;
2 r 13.8331; phi -0.0233; x 0.6915; y -0.0161; t_rel 0.9588;
2 r 13.8041; phi -0.0239; x 0.6900; y -0.0165; t_rel 0.9578;
2 r 13.7754; phi -0.0245; x 0.6886; y -0.0169; t_rel 0.9567;
2 r 13.7467; phi -0.0252; x 0.6871; y -0.0173; t_rel 0.9557;
2 r 13.7181; phi -0.0258; x 0.6857; y -0.0177; t_rel 0.9547;
2 r 13.6897; phi -0.0264; x 0.6842; y -0.0181; t_rel 0.9537;
2 r 13.6614; phi -0.0271; x 0.6828; y -0.0185; t_rel 0.9527;
2 r 13.6332; phi -0.0277; x 0.6814; y -0.0189; t_rel 0.9517;
2 r 13.6051; phi -0.0283; x 0.6800; y -0.0193; t_rel 0.9507;
2 r 13.5772; phi -0.0289; x 0.6786; y -0.0196; t_rel 0.9497;
2 r 13.5494; phi -0.0296; x 0.6772; y -0.0200; t_rel 0.9487;
2 r 13.5217; phi -0.0302; x 0.6758; y -0.0204; t_rel 0.9477;
2 r 13.4941; phi -0.0308; x 0.6744; y -0.0208; t_rel 0.9467;
2 r 13.4666; phi -0.0315; x 0.6730; y -0.0212; t_rel 0.9457;
2 r 13.4392; phi -0.0321; x 0.6716; y -0.0216; t_rel 0.9447;
2 r 13.4120; phi -0.0327; x 0.6702; y -0.0219; t_rel 0.9438;
2 r 13.3849; phi -0.0333; x 0.6689; y -0.0223; t_rel 0.9428;
2 r 13.3578; phi -0.0340; x 0.6675; y -0.0227; t_rel 0.9418;
2 r 13.3309; phi -0.0346; x 0.6661; y -0.0231; t_rel 0.9409;
2 r 13.3041; phi -0.0352; x 0.6648; y -0.0234; t_rel 0.9399;
2 r 13.2775; phi -0.0359; x 0.6634; y -0.0238; t_rel 0.9390;
2 r 13.2509; phi -0.0365; x 0.6621; y -0.0242; t_rel 0.9380;
2 r 13.2244; phi -0.0371; x 0.6608; y -0.0245; t_rel 0.9371;
2 r 13.1981; phi -0.0377; x 0.6594; y -0.0249; t_rel 0.9361;
2 r 13.1718; phi -0.0384; x 0.6581; y -0.0253; t_rel 0.9352;
2 r 13.1457; phi -0.0390; x 0.6568; y -0.0256; t_rel 0.9342;
2 r 13.1197; phi -0.0396; x 0.6555; y -0.0260; t_rel 0.9333;
2 r 13.0938; phi -0.0403; x 0.6542; y -0.0264; t_rel 0.9324;
2 r 13.0680; phi -0.0409; x 0.6529; y -0.0267; t_rel 0.9314;
2 r 13.0422; phi -0.0415; x 0.6516; y -0.0271; t_rel 0.9305;
2 r 13.0166; phi -0.0421; x 0.6503; y -0.0274; t_rel 0.9296;
2 r 12.9911; phi -0.0428; x 0.6490; y -0.0278; t_rel 0.9287;
2 r 12.9658; phi -0.0434; x 0.6477; y -0.0281; t_rel 0.9278;
2 r 12.9405; phi -0.0440; x 0.6464; y -0.0285; t_rel 0.9269;
2 r 12.9153; phi -0.0447; x 0.6451; y -0.0288; t_rel 0.9259;
2 r 12.8902; phi -0.0453; x 0.6438; y -0.0292; t_rel 0.9250;
2 r 12.8652; phi -0.0459; x 0.6426; y -0.0295; t_rel 0.9241;
2 r 12.8403; phi -0.0465; x 0.6413; y -0.0299; t_rel 0.9232;
2 r 12.8155; phi -0.0472; x 0.6401; y -0.0302; t_rel 0.9224;
2 r 12.7908; phi -0.0478; x 0.6388; y -0.0306; t_rel 0.9215;
2 r 12.7663; phi -0.0484; x 0.6376; y -0.0309; t_rel 0.9206;
2 r 12.7418; phi -0.0491; x 0.6363; y -0.0312; t_rel 0.9197;
2 r 12.7174; phi -0.0497; x 0.6351; y -0.0316; t_rel 0.9188;
2 r 12.6931; phi -0.0503; x 0.6339; y -0.0319; t_rel 0.9179;
2 r 12.6689; phi -0.0510; x 0.6326; y -0.0323; t_rel 0.9171;
2 r 12.6448; phi -0.0516; x 0.6314; y -0.0326; t_rel 0.9162;
2 r 12.6208; phi -0.0522; x 0.6302; y -0.0329; t_rel 0.9153;
2 r 12.5969; phi -0.0528; x 0.6290; y -0.0333; t_rel 0.9145;
2 r 12.5731; phi -0.0535; x 0.6278; y -0.0336; t_rel 0.9136;
2 r 12.5493; phi -0.0541; x 0.6265; y -0.0339; t_rel 0.9127;
2 r 12.5257; phi -0.0547; x 0.6253; y -0.0343; t_rel 0.9119;
2 r 12.5022; phi -0.0554; x 0.6242; y -0.0346; t_rel 0.9110;
2 r 12.4787; phi -0.0560; x 0.6230; y -0.0349; t_rel 0.9102;
2 r 12.4554; phi -0.0566; x 0.6218; y -0.0352; t_rel 0.9093;
2 r 12.4321; phi -0.0572; x 0.6206; y -0.0356; t_rel 0.9085;
2 r 12.4089; phi -0.0579; x 0.6194; y -0.0359; t_rel 0.9077;
2 r 12.3858; phi -0.0585; x 0.6182; y -0.0362; t_rel 0.9068;
2 r 12.3628; phi -0.0591; x 0.6171; y -0.0365; t_rel 0.9060;
2 r 12.3399; phi -0.0598; x 0.6159; y -0.0368; t_rel 0.9052;
2 r 12.3171; phi -0.0604; x 0.6147; y -0.0372; t_rel 0.9043;
2 r 12.2944; phi -0.0610; x 0.6136; y -0.0375; t_rel 0.9035;
2 r 12.2718; phi -0.0616; x 0.6124; y -0.0378; t_rel 0.9027;
2 r 12.2492; phi -0.0623; x 0.6113; y -0.0381; t_rel 0.9019;
2 r 12.2267; phi -0.0629; x 0.6101; y -0.0384; t_rel 0.9010;
2 r 12.2044; phi -0.0635; x 0.6090; y -0.0387; t_rel 0.9002;
2 r 12.1821; phi -0.0642; x 0.6078; y -0.0391; t_rel 0.8994;
2 r 12.1598; phi -0.0648; x 0.6067; y -0.0394; t_rel 0.8986;
2 r 12.1377; phi -0.0654; x 0.6056; y -0.0397; t_rel 0.8978;
2 r 12.1157; phi -0.0660; x 0.6045; y -0.0400; t_rel 0.8970;
2 r 12.0937; phi -0.0667; x 0.6033; y -0.0403; t_rel 0.8962;
2 r 12.0718; phi -0.0673; x 0.6022; y -0.0406; t_rel 0.8954;
2 r 12.0500; phi -0.0679; x 0.6011; y -0.0409; t_rel 0.8946;
2 r 12.0283; phi -0.0686; x 0.6000; y -0.0412; t_rel 0.8938;
2 r 12.0067; phi -0.0692; x 0.5989; y -0.0415; t_rel 0.8930;
2 r 11.9852; phi -0.0698; x 0.5978; y -0.0418; t_rel 0.8922;
2 r 11.9637; phi -0.0704; x 0.5967; y -0.0421; t_rel 0.8915;
2 r 11.9423; phi -0.0711; x 0.5956; y -0.0424; t_rel 0.8907;
2 r 11.9210; phi -0.0717; x 0.5945; y -0.0427; t_rel 0.8899;
2 r 11.8998; phi -0.0723; x 0.5934; y -0.0430; t_rel 0.8891;
2 r 11.8786; phi -0.0730; x 0.5924; y -0.0433; t_rel 0.8883;
2 r 11.8575; phi -0.0736; x 0.5913; y -0.0436; t_rel 0.8876;
2 r 11.8365; phi -0.0742; x 0.5902; y -0.0439; t_rel 0.8868;
2 r 11.8156; phi -0.0748; x 0.5891; y -0.0442; t_rel 0.8860;
2 r 11.7948; phi -0.0755; x 0.5881; y -0.0445; t_rel 0.8853;
2 r 11.7740; phi -0.0761; x 0.5870; y -0.0448; t_rel 0.8845;
2 r 11.7533; phi -0.0767; x 0.5859; y -0.0450; t_rel 0.8838;
2 r 11.7327; phi -0.0774; x 0.5849; y -0.0453; t_rel 0.8830;
2 r 11.7122; phi -0.0780; x 0.5838; y -0.0456; t_rel 0.8822;
2 r 11.6918; phi -0.0786; x 0.5828; y -0.0459; t_rel 0.8815;
2 r 11.6714; phi -0.0792; x 0.5817; y -0.0462; t_rel 0.8807;
2 r 11.6511; phi -0.0799; x 0.5807; y -0.0465; t_rel 0.8800;
2 r 11.6308; phi -0.0805; x 0.5797; y -0.0468; t_rel 0.8793;
2 r 11.6107; phi -0.0811; x 0.5786; y -0.0471; t_rel 0.8785;
2 r 11.5906; phi -0.0818; x 0.5776; y -0.0473; t_rel 0.8778;
2 r 11.5706; phi -0.0824; x 0.5766; y -0.0476; t_rel 0.8770;
2 r 11.5506; phi -0.0830; x 0.5755; y -0.0479; t_rel 0.8763;
2 r 11.5307; phi -0.0837; x 0.5745; y -0.0482; t_rel 0.8756;
2 r 11.5109; phi -0.0843; x 0.5735; y -0.0484; t_rel 0.8748;
2 r 11.4912; phi -0.0849; x 0.5725; y -0.0487; t_rel 0.8741;
2 r 11.4716; phi -0.0855; x 0.5715; y -0.0490; t_rel 0.8734;
2 r 11.4520; phi -0.0862; x 0.5705; y -0.0493; t_rel 0.8727;
2 r 11.4325; phi -0.0868; x 0.5695; y -0.0496; t_rel 0.8720;
2 r 11.4130; phi -0.0874; x 0.5685; y -0.0498; t_rel 0.8712;
2 r 11.3936; phi -0.0881; x 0.5675; y -0.0501; t_rel 0.8705;
2 r 11.3743; phi -0.0887; x 0.5665; y -0.0504; t_rel 0.8698;
2 r 11.3551; phi -0.0893; x 0.5655; y -0.0506; t_rel 0.8691;
2 r 11.3359; phi -0.0899; x 0.5645; y -0.0509; t_rel 0.8684;
2 r 11.3168; phi -0.0906; x 0.5635; y -0.0512; t_rel 0.8677;
2 r 11.2978; phi -0.0912; x 0.5625; y -0.0514; t_rel 0.8670;
2 r 11.2788; phi -0.0918; x 0.5616; y -0.0517; t_rel 0.8663;
2 r 11.2599; phi -0.0925; x 0.5606; y -0.0520; t_rel 0.8656;
2 r 11.2411; phi -0.0931; x 0.5596; y -0.0522; t_rel 0.8649;
2 r 11.2223; phi -0.0937; x 0.5587; y -0.0525; t_rel 0.8642;
2 r 11.2036; phi -0.0943; x 0.5577; y -0.0528; t_rel 0.8635;
2 r 11.1850; phi -0.0950; x 0.5567; y -0.0530; t_rel 0.8628;
2 r 11.1664; phi -0.0956; x 0.5558; y -0.0533; t_rel 0.8621;
2 r 11.1479; phi -0.0962; x 0.5548; y -0.0536; t_rel 0.8614;
2 r 11.1294; phi -0.0969; x 0.5539; y -0.0538; t_rel 0.8608;
2 r 11.1110; phi -0.0975; x 0.5529; y -0.0541; t_rel 0.8601;
2 r 11.0927; phi -0.0981; x 0.5520; y -0.0543; t_rel 0.8594;
2 r 11.0745; phi -0.0987; x 0.5510; y -0.0546; t_rel 0.8587;
2 r 11.0563; phi -0.0994; x 0.5501; y -0.0548; t_rel 0.8580;
2 r 11.0382; phi -0.1000; x 0.5492; y -0.0551; t_rel 0.8574;
2 r 11.0201; phi -0.1006; x 0.5482; y -0.0554; t_rel 0.8567;
2 r 11.0021; phi -0.1013; x 0.5473; y -0.0556; t_rel 0.8560;
2 r 10.9842; phi -0.1019; x 0.5464; y -0.0559; t_rel 0.8554;
2 r 10.9663; phi -0.1025; x 0.5454; y -0.0561; t_rel 0.8547;
2 r 10.9485; phi -0.1031; x 0.5445; y -0.0564; t_rel 0.8540;
2 r 10.9307; phi -0.1038; x 0.5436; y -0.0566; t_rel 0.8534;
2 r 10.9130; phi -0.1044; x 0.5427; y -0.0569; t_rel 0.8527;
2 r 10.8954; phi -0.1050; x 0.5418; y -0.0571; t_rel 0.8521;
2 r 10.8778; phi -0.1057; x 0.5409; y -0.0574; t_rel 0.8514;
2 r 10.8603; phi -0.1063; x 0.5399; y -0.0576; t_rel 0.8507;
2 r 10.8428; phi -0.1069; x 0.5390; y -0.0579; t_rel 0.8501;
2 r 10.8254; phi -0.1075; x 0.5381; y -0.0581; t_rel 0.8494;
2 r 10.8081; phi -0.1082; x 0.5372; y -0.0583; t_rel 0.8488;
2 r 10.7908; phi -0.1088; x 0.5364; y -0.0586; t_rel 0.8482;
2 r 10.7736; phi -0.1094; x 0.5355; y -0.0588; t_rel 0.8475;
2 r 10.7564; phi -0.1101; x 0.5346; y -0.0591; t_rel 0.8469;
2 r 10.7393; phi -0.1107; x 0.5337; y -0.0593; t_rel 0.8462;
2 r 10.7223; phi -0.1113; x 0.5328; y -0.0596; t_rel 0.8456;
2 r 10.7053; phi -0.1119; x 0.5319; y -0.0598; t_rel 0.8450;
2 r 10.6883; phi -0.1126; x 0.5310; y -0.0600; t_rel 0.8443;
2 r 10.6715; phi -0.1132; x 0.5302; y -0.0603; t_rel 0.8437;
2 r 10.6546; phi -0.1138; x 0.5293; y -0.0605; t_rel 0.8431;
2 r 10.6379; phi -0.1145; x 0.5284; y -0.0607; t_rel 0.8424;
2 r 10.6212; phi -0.1151; x 0.5275; y -0.0610; t_rel 0.8418;
2 r 10.6045; phi -0.1157; x 0.5267; y -0.0612; t_rel 0.8412;
2 r 10.5879; phi -0.1163; x 0.5258; y -0.0615; t_rel 0.8406;
2 r 10.5714; phi -0.1170; x 0.5250; y -0.0617; t_rel 0.8399;
2 r 10.5549; phi -0.1176; x 0.5241; y -0.0619; t_rel 0.8393;
2 r 10.5384; phi -0.1182; x 0.5232; y -0.0622; t_rel 0.8387;
2 r 10.5221; phi -0.1189; x 0.5224; y -0.0624; t_rel 0.8381;
2 r 10.5057; phi -0.1195; x 0.5215; y -0.0626; t_rel 0.8375;
2 r 10.4895; phi -0.1201; x 0.5207; y -0.0628; t_rel 0.8369;
2 r 10.4732; phi -0.1208; x 0.5198; y -0.0631; t_rel 0.8363;
2 r 10.4571; phi -0.1214; x 0.5190; y -0.0633; t_rel 0.8356;
2 r 10.4410; phi -0.1220; x 0.5182; y -0.0635; t_rel 0.8350;
2 r 10.4249; phi -0.1226; x 0.5173; y -0.0638; t_rel 0.8344;
2 r 10.4089; phi -0.1233; x 0.5165; y -0.0640; t_rel 0.8338;
2 r 10.3929; phi -0.1239; x 0.5157; y -0.0642; t_rel 0.8332;
2 r 10.3770; phi -0.1245; x 0.5148; y -0.0644; t_rel 0.8326;
2 r 10.3612; phi -0.1252; x 0.5140; y -0.0647; t_rel 0.8320;
2 r 10.3454; phi -0.1258; x 0.5132; y -0.0649; t_rel 0.8314;
2 r 10.3296; phi -0.1264; x 0.5124; y -0.0651; t_rel 0.8308;
2 r 10.3139; phi -0.1270; x 0.5115; y -0.0653; t_rel 0.8302;
2 r 10.2983; phi -0.1277; x 0.5107; y -0.0656; t_rel 0.8297;
2 r 10.2827; phi -0.1283; x 0.5099; y -0.0658; t_rel 0.8291;
2 r 10.2671; phi -0.1289; x 0.5091; y -0.0660; t_rel 0.8285;
2 r 10.2516; phi -0.1296; x 0.5083; y -0.0662; t_rel 0.8279;
2 r 10.2362; phi -0.1302; x 0.5075; y -0.0664; t_rel 0.8273;
2 r 10.2208; phi -0.1308; x 0.5067; y -0.0667; t_rel 0.8267;
2 r 10.2054; phi -0.1314; x 0.5059; y -0.0669; t_rel 0.8261;
2 r 10.1901; phi -0.1321; x 0.5051; y -0.0671; t_rel 0.8256;
2 r 10.1748; phi -0.1327; x 0.5043; y -0.0673; t_rel 0.8250;
2 r 10.1596; phi -0.1333; x 0.5035; y -0.0675; t_rel 0.8244;
2 r 10.1445; phi -0.1340; x 0.5027; y -0.0677; t_rel 0.8238;
2 r 10.1294; phi -0.1346; x 0.5019; y -0.0680; t_rel 0.8233;
2 r 10.1143; phi -0.1352; x 0.5011; y -0.0682; t_rel 0.8227;
2 r 10.0993; phi -0.1358; x 0.5003; y -0.0684; t_rel 0.8221;
2 r 10.0843; phi -0.1365; x 0.4995; y -0.0686; t_rel 0.8216;
2 r 10.0694; phi -0.1371; x 0.4987; y -0.0688; t_rel 0.8210;
2 r 10.0545; phi -0.1377; x 0.4980; y -0.0690; t_rel 0.8204;
2 r 10.0397; phi -0.1384; x 0.4972; y -0.0692; t_rel 0.8199;
2 r 10.0249; phi -0.1390; x 0.4964; y -0.0694; t_rel 0.8193;
2 r 10.0102; phi -0.1396; x 0.4956; y -0.0697; t_rel 0.8187;
2 r 9.9955; phi -0.1402; x 0.4949; y -0.0699; t_rel 0.8182;
2 r 9.9808; phi -0.1409; x 0.4941; y -0.0701; t_rel 0.8176;
2 r 9.9662; phi -0.1415; x 0.4933; y -0.0703; t_rel 0.8171;
2 r 9.9517; phi -0.1421; x 0.4926; y -0.0705; t_rel 0.8165;
2 r 9.9372; phi -0.1428; x 0.4918; y -0.0707; t_rel 0.8160;
2 r 9.9227; phi -0.1434; x 0.4910; y -0.0709; t_rel 0.8154;
2 r 9.9083; phi -0.1440; x 0.4903; y -0.0711; t_rel 0.8149;
2 r 9.8939; phi -0.1446; x 0.4895; y -0.0713; t_rel 0.8143;
2 r 9.8796; phi -0.1453; x 0.4888; y -0.0715; t_rel 0.8138;
2 r 9.8653; phi -0.1459; x 0.4880; y -0.0717; t_rel 0.8132;
2 r 9.8511; phi -0.1465; x 0.4873; y -0.0719; t_rel 0.8127;
2 r 9.8369; phi -0.1472; x 0.4865; y -0.0721; t_rel 0.8121;
2 r 9.8227; phi -0.1478; x 0.4858; y -0.0723; t_rel 0.8116;
2 r 9.8086; phi -0.1484; x 0.4850; y -0.0725; t_rel 0.8111;
2 r 9.7946; phi -0.1490; x 0.4843; y -0.0727; t_rel 0.8105;
2 r 9.7805; phi -0.1497; x 0.4836; y -0.0729; t_rel 0.8100;
2 r 9.7666; phi -0.1503; x 0.4828; y -0.0731; t_rel 0.8095;
2 r 9.7526; phi -0.1509; x 0.4821; y -0.0733; t_rel 0.8089;
2 r 9.7387; phi -0.1516; x 0.4814; y -0.0735; t_rel 0.8084;
2 r 9.7249; phi -0.1522; x 0.4806; y -0.0737; t_rel 0.8079;
2 r 9.7111; phi -0.1528; x 0.4799; y -0.0739; t_rel 0.8073;
2 r 9.6973; phi -0.1535; x 0.4792; y -0.0741; t_rel 0.8068;
2 r 9.6836; phi -0.1541; x 0.4784; y -0.0743; t_rel 0.8063;
2 r 9.6699; phi -0.1547; x 0.4777; y -0.0745; t_rel 0.8058;
2 r 9.6562; phi -0.1553; x 0.4770; y -0.0747; t_rel 0.8052;
2 r 9.6426; phi -0.1560; x 0.4763; y -0.0749; t_rel 0.8047;
2 r 9.6291; phi -0.1566; x 0.4756; y -0.0751; t_rel 0.8042;
2 r 9.6155; phi -0.1572; x 0.4748; y -0.0753; t_rel 0.8037;
2 r 9.6021; phi -0.1579; x 0.4741; y -0.0755; t_rel 0.8031;
2 r 9.5886; phi -0.1585; x 0.4734; y -0.0757; t_rel 0.8026;
2 r 9.5752; phi -0.1591; x 0.4727; y -0.0759; t_rel 0.8021;
2 r 9.5618; phi -0.1597; x 0.4720; y -0.0760; t_rel 0.8016;
2 r 9.5485; phi -0.1604; x 0.4713; y -0.0762; t_rel 0.8011;
2 r 9.5352; phi -0.1610; x 0.4706; y -0.0764; t_rel 0.8006;
2 r 9.5220; phi -0.1616; x 0.4699; y -0.0766; t_rel 0.8001;
3 r 9.5088; phi -0.1623; x 0.4692; y -0.0768; t_rel 0.7996;
3 r 9.4956; phi -0.1629; x 0.4685; y -0.0770; t_rel 0.7991;
3 r 9.4825; phi -0.1635; x 0.4678; y -0.0772; t_rel 0.7985;
3 r 9.4694; phi -0.1641; x 0.4671; y -0.0774; t_rel 0.7980;
3 r 9.4564; phi -0.1648; x 0.4664; y -0.0776; t_rel 0.7975;
3 r 9.4434; phi -0.1654; x 0.4657; y -0.0777; t_rel 0.7970;
3 r 9.4304; phi -0.1660; x 0.4650; y -0.0779; t_rel 0.7965;
3 r 9.4175; phi -0.1667; x 0.4643; y -0.0781; t_rel 0.7960;
3 r 9.4046; phi -0.1673; x 0.4637; y -0.0783; t_rel 0.7955;
3 r 9.3917; phi -0.1679; x 0.4630; y -0.0785; t_rel 0.7950;
3 r 9.3789; phi -0.1685; x 0.4623; y -0.0787; t_rel 0.7945;
3 r 9.3661; phi -0.1692; x 0.4616; y -0.0788; t_rel 0.7941;
3 r 9.3534; phi -0.1698; x 0.4609; y -0.0790; t_rel 0.7936;
3 r 9.3407; phi -0.1704; x 0.4603; y -0.0792; t_rel 0.7931;
3 r 9.3280; phi -0.1711; x 0.4596; y -0.0794; t_rel 0.7926;
3 r 9.3153; phi -0.1717; x 0.4589; y -0.0796; t_rel 0.7921;
3 r 9.3027; phi -0.1723; x 0.4582; y -0.0798; t_rel 0.7916;
3 r 9.2902; phi -0.1729; x 0.4576; y -0.0799; t_rel 0.7911;
3 r 9.2777; phi -0.1736; x 0.4569; y -0.0801; t_rel 0.7906;
3 r 9.2652; phi -0.1742; x 0.4562; y -0.0803; t_rel 0.7901;
3 r 9.2527; phi -0.1748; x 0.4556; y -0.0805; t_rel 0.7897;
3 r 9.2403; phi -0.1755; x 0.4549; y -0.0806; t_rel 0.7892;
3 r 9.2279; phi -0.1761; x 0.4543; y -0.0808; t_rel 0.7887;
3 r 9.2156; phi -0.1767; x 0.4536; y -0.0810; t_rel 0.7882;
3 r 9.2033; phi -0.1773; x 0.4529; y -0.0812; t_rel 0.7877;
3 r 9.1910; phi -0.1780; x 0.4523; y -0.0814; t_rel 0.7873;
3 r 9.1788; phi -0.1786; x 0.4516; y -0.0815; t_rel 0.7868;
3 r 9.1666; phi -0.1792; x 0.4510; y -0.0817; t_rel 0.7863;
3 r 9.1544; phi -0.1799; x 0.4503; y -0.0819; t_rel 0.7858;
3 r 9.1423; phi -0.1805; x 0.4497; y -0.0821; t_rel 0.7854;
3 r 9.1302; phi -0.1811; x 0.4490; y -0.0822; t_rel 0.7849;
3 r 9.1181; phi -0.1817; x 0.4484; y -0.0824; t_rel 0.7844;
3 r 9.1061; phi -0.1824; x 0.4478; y -0.0826; t_rel 0.7840;
3 r 9.0941; phi -0.1830; x 0.4471; y -0.0827; t_rel 0.7835;
3 r 9.0821; phi -0.1836; x 0.4465; y -0.0829; t_rel 0.7830;
3 r 9.0702; phi -0.1843; x 0.4458; y -0.0831; t_rel 0.7826;
3 r 9.0583; phi -0.1849; x 0.4452; y -0.0833; t_rel 0.7821;
3 r 9.0464; phi -0.1855; x 0.4446; y -0.0834; t_rel 0.7816;
3 r 9.0346; phi -0.1861; x 0.4439; y -0.0836; t_rel 0.7812;
3 r 9.0228; phi -0.1868; x 0.4433; y -0.0838; t_rel 0.7807;
3 r 9.0110; phi -0.1874; x 0.4427; y -0.0839; t_rel 0.7802;
3 r 8.9993; phi -0.1880; x 0.4420; y -0.0841; t_rel 0.7798;
3 r 8.9876; phi -0.1887; x 0.4414; y -0.0843; t_rel 0.7793;
3 r 8.9759; phi -0.1893; x 0.4408; y -0.0844; t_rel 0.7789;
3 r 8.9643; phi -0.1899; x 0.4402; y -0.0846; t_rel 0.7784;
3 r 8.9527; phi -0.1906; x 0.4395; y -0.0848; t_rel 0.7780;
3 r 8.9411; phi -0.1912; x 0.4389; y -0.0849; t_rel 0.7775;
3 r 8.9296; phi -0.1918; x 0.4383; y -0.0851; t_rel 0.7771;
3 r 8.9181; phi -0.1924; x 0.4377; y -0.0853; t_rel 0.7766;
3 r 8.9066; phi -0.1931; x 0.4371; y -0.0854; t_rel 0.7762;
3 r 8.8952; phi -0.1937; x 0.4364; y -0.0856; t_rel 0.7757;
3 r 8.8838; phi -0.1943; x 0.4358; y -0.0858; t_rel 0.7753;
3 r 8.8724; phi -0.1950; x 0.4352; y -0.0859; t_rel 0.7748;
3 r 8.8611; phi -0.1956; x 0.4346; y -0.0861; t_rel 0.7744;
3 r 8.8498; phi -0.1962; x 0.4340; y -0.0863; t_rel 0.7739;
3 r 8.8385; phi -0.1968; x 0.4334; y -0.0864; t_rel 0.7735;
3 r 8.8272; phi -0.1975; x 0.4328; y -0.0866; t_rel 0.7730;
3 r 8.8160; phi -0.1981; x 0.4322; y -0.0868; t_rel 0.7726;
3 r 8.8048; phi -0.1987; x 0.4316; y -0.0869; t_rel 0.7722;
3 r 8.7937; phi -0.1994; x 0.4310; y -0.0871; t_rel 0.7717;
3 r 8.7825; phi -0.2000; x 0.4304; y -0.0872; t_rel 0.7713;
3 r 8.7714; phi -0.2006; x 0.4298; y -0.0874; t_rel 0.7708;
3 r 8.7604; phi -0.2012; x 0.4292; y -0.0876; t_rel 0.7704;
3 r 8.7493; phi -0.2019; x 0.4286; y -0.0877; t_rel 0.7700;
3 r 8.7383; phi -0.2025; x 0.4280; y -0.0879; t_rel 0.7695;
3 r 8.7273; phi -0.2031; x 0.4274; y -0.0880; t_rel 0.7691;
3 r 8.7164; phi -0.2038; x 0.4268; y -0.0882; t_rel 0.7687;
3 r 8.7055; phi -0.2044; x 0.4262; y -0.0883; t_rel 0.7682;
3 r 8.6946; phi -0.2050; x 0.4256; y -0.0885; t_rel 0.7678;
3 r 8.6837; phi -0.2056; x 0.4250; y -0.0887; t_rel 0.7674;
3 r 8.6729; phi -0.2063; x 0.4245; y -0.0888; t_rel 0.7670;
3 r 8.6621; phi -0.2069; x 0.4239; y -0.0890; t_rel 0.7665;
3 r 8.6513; phi -0.2075; x 0.4233; y -0.0891; t_rel 0.7661;
