2 r 14.9726; phi 0.0002; x 0.7486; y 0.0002; t_rel 1.0000;
2 r 14.9595; phi 0.0005; x 0.7480; y 0.0004; t_rel 0.9993;
2 r 14.9341; phi 0.0012; x 0.7467; y 0.0009; t_rel 0.9979;
2 r 14.9088; phi 0.0018; x 0.7454; y 0.0013; t_rel 0.9965;
2 r 14.8836; phi 0.0024; x 0.7442; y 0.0018; t_rel 0.9951;
2 r 14.8584; phi 0.0030; x 0.7429; y 0.0023; t_rel 0.9937;
2 r 14.8334; phi 0.0037; x 0.7417; y 0.0027; t_rel 0.9923;
2 r 14.8084; phi 0.0043; x 0.7404; y 0.0032; t_rel 0.9909;
2 r 14.7835; phi 0.0049; x 0.7392; y 0.0036; t_rel 0.9895;
2 r 14.7587; phi 0.0056; x 0.7379; y 0.0041; t_rel 0.9882;
2 r 14.7340; phi 0.0062; x 0.7367; y 0.0046; t_rel 0.9868;
2 r 14.7094; phi 0.0068; x 0.7355; y 0.0050; t_rel 0.9854;
2 r 14.6849; phi 0.0074; x 0.7342; y 0.0055; t_rel 0.9841;
2 r 14.6605; phi 0.0081; x 0.7330; y 0.0059; t_rel 0.9827;
2 r 14.6361; phi 0.0087; x 0.7318; y 0.0064; t_rel 0.9814;
2 r 14.6118; phi 0.0093; x 0.7306; y 0.0068; t_rel 0.9800;
2 r 14.5876; phi 0.0100; x 0.7293; y 0.0073; t_rel 0.9787;
2 r 14.5635; phi 0.0106; x 0.7281; y 0.0077; t_rel 0.9773;
2 r 14.5395; phi 0.0112; x 0.7269; y 0.0081; t_rel 0.9760;
2 r 14.5156; phi 0.0118; x 0.7257; y 0.0086; t_rel 0.9747;
2 r 14.4917; phi 0.0125; x 0.7245; y 0.0090; t_rel 0.9733;
2 r 14.4680; phi 0.0131; x 0.7233; y 0.0095; t_rel 0.9720;
2 r 14.4443; phi 0.0137; x 0.7221; y 0.0099; t_rel 0.9707;
2 r 14.4207; phi 0.0143; x 0.7210; y 0.0103; t_rel 0.9694;
2 r 14.3972; phi 0.0150; x 0.7198; y 0.0108; t_rel 0.9681;
2 r 14.3737; phi 0.0156; x 0.7186; y 0.0112; t_rel 0.9668;
2 r 14.3504; phi 0.0162; x 0.7174; y 0.0116; t_rel 0.9655;
2 r 14.3271; phi 0.0169; x 0.7163; y 0.0121; t_rel 0.9642;
2 r 14.3039; phi 0.0175; x 0.7151; y 0.0125; t_rel 0.9629;
2 r 14.2808; phi 0.0181; x 0.7139; y 0.0129; t_rel 0.9616;
2 r 14.2577; phi 0.0187; x 0.7128; y 0.0134; t_rel 0.9603;
2 r 14.2347; phi 0.0194; x 0.7116; y 0.0138; t_rel 0.9590;
2 r 14.2119; phi 0.0200; x 0.7105; y 0.0142; t_rel 0.9577;
2 r 14.1891; phi 0.0206; x 0.7093; y 0.0146; t_rel 0.9565;
2 r 14.1663; phi 0.0213; x 0.7082; y 0.0151; t_rel 0.9552;
2 r 14.1437; phi 0.0219; x 0.7070; y 0.0155; t_rel 0.9539;
2 r 14.1211; phi 0.0225; x 0.7059; y 0.0159; t_rel 0.9527;
2 r 14.0986; phi 0.0231; x 0.7047; y 0.0163; t_rel 0.9514;
2 r 14.0762; phi 0.0238; x 0.7036; y 0.0167; t_rel 0.9502;
2 r 14.0538; phi 0.0244; x 0.7025; y 0.0171; t_rel 0.9489;
2 r 14.0316; phi 0.0250; x 0.7014; y 0.0176; t_rel 0.9477;
2 r 14.0094; phi 0.0257; x 0.7002; y 0.0180; t_rel 0.9464;
2 r 13.9872; phi 0.0263; x 0.6991; y 0.0184; t_rel 0.9452;
2 r 13.9652; phi 0.0269; x 0.6980; y 0.0188; t_rel 0.9440;
2 r 13.9432; phi 0.0275; x 0.6969; y 0.0192; t_rel 0.9427;
2 r 13.9213; phi 0.0282; x 0.6958; y 0.0196; t_rel 0.9415;
2 r 13.8995; phi 0.0288; x 0.6947; y 0.0200; t_rel 0.9403;
2 r 13.8777; phi 0.0294; x 0.6936; y 0.0204; t_rel 0.9391;
2 r 13.8560; phi 0.0301; x 0.6925; y 0.0208; t_rel 0.9379;
2 r 13.8344; phi 0.0307; x 0.6914; y 0.0212; t_rel 0.9366;
2 r 13.8129; phi 0.0313; x 0.6903; y 0.0216; t_rel 0.9354;
2 r 13.7914; phi 0.0319; x 0.6892; y 0.0220; t_rel 0.9342;
2 r 13.7700; phi 0.0326; x 0.6881; y 0.0224; t_rel 0.9330;
2 r 13.7487; phi 0.0332; x 0.6871; y 0.0228; t_rel 0.9318;
2 r 13.7274; phi 0.0338; x 0.6860; y 0.0232; t_rel 0.9306;
2 r 13.7062; phi 0.0345; x 0.6849; y 0.0236; t_rel 0.9295;
2 r 13.6851; phi 0.0351; x 0.6838; y 0.0240; t_rel 0.9283;
2 r 13.6641; phi 0.0357; x 0.6828; y 0.0244; t_rel 0.9271;
2 r 13.6431; phi 0.0363; x 0.6817; y 0.0248; t_rel 0.9259;
2 r 13.6222; phi 0.0370; x 0.6806; y 0.0252; t_rel 0.9247;
2 r 13.6013; phi 0.0376; x 0.6796; y 0.0256; t_rel 0.9236;
2 r 13.5806; phi 0.0382; x 0.6785; y 0.0260; t_rel 0.9224;
2 r 13.5599; phi 0.0389; x 0.6775; y 0.0263; t_rel 0.9212;
