2 r 14.9995; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9990; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9658; phi -0.0007; x 0.7483; y -0.0005; t_rel 0.9984;
2 r 14.9535; phi -0.0013; x 0.7477; y -0.0010; t_rel 0.9979;
2 r 14.9329; phi -0.0019; x 0.7466; y -0.0014; t_rel 0.9969;
2 r 14.9092; phi -0.0025; x 0.7455; y -0.0019; t_rel 0.9958;
2 r 14.8970; phi -0.0032; x 0.7448; y -0.0024; t_rel 0.9952;
2 r 14.8654; phi -0.0038; x 0.7433; y -0.0028; t_rel 0.9938;
2 r 14.8533; phi -0.0044; x 0.7427; y -0.0033; t_rel 0.9932;
2 r 14.8413; phi -0.0051; x 0.7421; y -0.0038; t_rel 0.9926;
2 r 14.8101; phi -0.0057; x 0.7405; y -0.0042; t_rel 0.9912;
2 r 14.7981; phi -0.0063; x 0.7399; y -0.0047; t_rel 0.9906;
2 r 14.7863; phi -0.0069; x 0.7393; y -0.0051; t_rel 0.9901;
2 r 14.7554; phi -0.0076; x 0.7377; y -0.0056; t_rel 0.9886;
2 r 14.7437; phi -0.0082; x 0.7372; y -0.0060; t_rel 0.9881;
2 r 14.7131; phi -0.0088; x 0.7356; y -0.0065; t_rel 0.9867;
2 r 14.7014; phi -0.0095; x 0.7350; y -0.0070; t_rel 0.9861;
2 r 14.6898; phi -0.0101; x 0.7345; y -0.0074; t_rel 0.9856;
2 r 14.6596; phi -0.0107; x 0.7329; y -0.0079; t_rel 0.9842;
2 r 14.6482; phi -0.0113; x 0.7324; y -0.0083; t_rel 0.9836;
2 r 14.6367; phi -0.0120; x 0.7318; y -0.0088; t_rel 0.9831;
2 r 14.6069; phi -0.0126; x 0.7303; y -0.0092; t_rel 0.9817;
2 r 14.5955; phi -0.0132; x 0.7297; y -0.0097; t_rel 0.9812;
2 r 14.5659; phi -0.0139; x 0.7282; y -0.0101; t_rel 0.9798;
2 r 14.5547; phi -0.0145; x 0.7277; y -0.0105; t_rel 0.9793;
2 r 14.5435; phi -0.0151; x 0.7271; y -0.0110; t_rel 0.9788;
2 r 14.5143; phi -0.0157; x 0.7256; y -0.0114; t_rel 0.9774;
2 r 14.5032; phi -0.0164; x 0.7251; y -0.0119; t_rel 0.9769;
2 r 14.4743; phi -0.0170; x 0.7236; y -0.0123; t_rel 0.9755;
2 r 14.4633; phi -0.0176; x 0.7231; y -0.0128; t_rel 0.9750;
2 r 14.4523; phi -0.0183; x 0.7225; y -0.0132; t_rel 0.9745;
2 r 14.4237; phi -0.0189; x 0.7211; y -0.0136; t_rel 0.9732;
2 r 14.4128; phi -0.0195; x 0.7205; y -0.0141; t_rel 0.9727;
2 r 14.3845; phi -0.0201; x 0.7191; y -0.0145; t_rel 0.9713;
2 r 14.3737; phi -0.0208; x 0.7185; y -0.0149; t_rel 0.9708;
2 r 14.3630; phi -0.0214; x 0.7180; y -0.0154; t_rel 0.9703;
2 r 14.3350; phi -0.0220; x 0.7166; y -0.0158; t_rel 0.9690;
2 r 14.3243; phi -0.0227; x 0.7160; y -0.0162; t_rel 0.9685;
2 r 14.2966; phi -0.0233; x 0.7146; y -0.0166; t_rel 0.9672;
2 r 14.2860; phi -0.0239; x 0.7141; y -0.0171; t_rel 0.9667;
2 r 14.2755; phi -0.0245; x 0.7136; y -0.0175; t_rel 0.9662;
2 r 14.2481; phi -0.0252; x 0.7122; y -0.0179; t_rel 0.9649;
2 r 14.2376; phi -0.0258; x 0.7116; y -0.0184; t_rel 0.9645;
2 r 14.2104; phi -0.0264; x 0.7103; y -0.0188; t_rel 0.9632;
2 r 14.2001; phi -0.0271; x 0.7097; y -0.0192; t_rel 0.9627;
2 r 14.1897; phi -0.0277; x 0.7092; y -0.0196; t_rel 0.9622;
2 r 14.1629; phi -0.0283; x 0.7079; y -0.0201; t_rel 0.9609;
2 r 14.1526; phi -0.0289; x 0.7073; y -0.0205; t_rel 0.9605;
2 r 14.1260; phi -0.0296; x 0.7060; y -0.0209; t_rel 0.9592;
2 r 14.1159; phi -0.0302; x 0.7055; y -0.0213; t_rel 0.9587;
2 r 14.0894; phi -0.0308; x 0.7041; y -0.0217; t_rel 0.9575;
2 r 14.0794; phi -0.0315; x 0.7036; y -0.0221; t_rel 0.9570;
2 r 14.0693; phi -0.0321; x 0.7031; y -0.0226; t_rel 0.9566;
2 r 14.0432; phi -0.0327; x 0.7018; y -0.0230; t_rel 0.9553;
2 r 14.0332; phi -0.0333; x 0.7013; y -0.0234; t_rel 0.9549;
2 r 14.0073; phi -0.0340; x 0.7000; y -0.0238; t_rel 0.9536;
2 r 13.9974; phi -0.0346; x 0.6995; y -0.0242; t_rel 0.9532;
2 r 13.9717; phi -0.0352; x 0.6982; y -0.0246; t_rel 0.9520;
2 r 13.9597; phi -0.0359; x 0.6975; y -0.0250; t_rel 0.9514;
2 r 13.9363; phi -0.0365; x 0.6964; y -0.0254; t_rel 0.9503;
2 r 13.9284; phi -0.0371; x 0.6959; y -0.0258; t_rel 0.9499;
2 r 13.9048; phi -0.0377; x 0.6947; y -0.0262; t_rel 0.9488;
2 r 13.8970; phi -0.0384; x 0.6943; y -0.0267; t_rel 0.9485;
2 r 13.8736; phi -0.0390; x 0.6932; y -0.0270; t_rel 0.9474;
2 r 13.8658; phi -0.0396; x 0.6927; y -0.0275; t_rel 0.9470;
