2 r 14.9715; phi 0.0003; x 0.7486; y 0.0002; t_rel 1.0000;
2 r 14.9594; phi 0.0007; x 0.7480; y 0.0005; t_rel 0.9994;
2 r 14.9393; phi 0.0013; x 0.7470; y 0.0010; t_rel 0.9985;
2 r 14.9192; phi 0.0019; x 0.7460; y 0.0014; t_rel 0.9975;
2 r 14.8992; phi 0.0026; x 0.7450; y 0.0019; t_rel 0.9966;
2 r 14.8793; phi 0.0032; x 0.7440; y 0.0024; t_rel 0.9956;
2 r 14.8594; phi 0.0038; x 0.7430; y 0.0028; t_rel 0.9947;
2 r 14.8396; phi 0.0045; x 0.7420; y 0.0033; t_rel 0.9938;
2 r 14.8198; phi 0.0051; x 0.7410; y 0.0038; t_rel 0.9928;
2 r 14.8001; phi 0.0057; x 0.7400; y 0.0042; t_rel 0.9919;
2 r 14.7804; phi 0.0063; x 0.7390; y 0.0047; t_rel 0.9910;
2 r 14.7608; phi 0.0070; x 0.7380; y 0.0051; t_rel 0.9900;
2 r 14.7412; phi 0.0076; x 0.7370; y 0.0056; t_rel 0.9891;
2 r 14.7218; phi 0.0082; x 0.7361; y 0.0061; t_rel 0.9882;
2 r 14.7023; phi 0.0089; x 0.7351; y 0.0065; t_rel 0.9873;
2 r 14.6829; phi 0.0095; x 0.7341; y 0.0070; t_rel 0.9863;
2 r 14.6636; phi 0.0101; x 0.7331; y 0.0074; t_rel 0.9854;
2 r 14.6443; phi 0.0107; x 0.7322; y 0.0079; t_rel 0.9845;
2 r 14.6251; phi 0.0114; x 0.7312; y 0.0083; t_rel 0.9836;
2 r 14.6060; phi 0.0120; x 0.7302; y 0.0088; t_rel 0.9827;
2 r 14.5869; phi 0.0126; x 0.7293; y 0.0092; t_rel 0.9818;
2 r 14.5678; phi 0.0133; x 0.7283; y 0.0097; t_rel 0.9809;
2 r 14.5488; phi 0.0139; x 0.7274; y 0.0101; t_rel 0.9800;
2 r 14.5299; phi 0.0145; x 0.7264; y 0.0105; t_rel 0.9791;
2 r 14.5110; phi 0.0151; x 0.7255; y 0.0110; t_rel 0.9782;
2 r 14.4922; phi 0.0158; x 0.7245; y 0.0114; t_rel 0.9773;
2 r 14.4734; phi 0.0164; x 0.7236; y 0.0119; t_rel 0.9764;
2 r 14.4547; phi 0.0170; x 0.7226; y 0.0123; t_rel 0.9755;
2 r 14.4360; phi 0.0177; x 0.7217; y 0.0127; t_rel 0.9746;
2 r 14.4174; phi 0.0183; x 0.7207; y 0.0132; t_rel 0.9737;
2 r 14.3988; phi 0.0189; x 0.7198; y 0.0136; t_rel 0.9728;
2 r 14.3803; phi 0.0195; x 0.7189; y 0.0140; t_rel 0.9720;
2 r 14.3618; phi 0.0202; x 0.7179; y 0.0145; t_rel 0.9711;
2 r 14.3434; phi 0.0208; x 0.7170; y 0.0149; t_rel 0.9702;
2 r 14.3250; phi 0.0214; x 0.7161; y 0.0153; t_rel 0.9693;
2 r 14.3067; phi 0.0220; x 0.7152; y 0.0158; t_rel 0.9685;
2 r 14.2885; phi 0.0227; x 0.7142; y 0.0162; t_rel 0.9676;
2 r 14.2703; phi 0.0233; x 0.7133; y 0.0166; t_rel 0.9667;
2 r 14.2521; phi 0.0239; x 0.7124; y 0.0171; t_rel 0.9659;
2 r 14.2340; phi 0.0246; x 0.7115; y 0.0175; t_rel 0.9650;
2 r 14.2159; phi 0.0252; x 0.7106; y 0.0179; t_rel 0.9641;
2 r 14.1979; phi 0.0258; x 0.7097; y 0.0183; t_rel 0.9633;
2 r 14.1800; phi 0.0264; x 0.7088; y 0.0187; t_rel 0.9624;
2 r 14.1621; phi 0.0271; x 0.7078; y 0.0192; t_rel 0.9616;
2 r 14.1442; phi 0.0277; x 0.7069; y 0.0196; t_rel 0.9607;
2 r 14.1264; phi 0.0283; x 0.7060; y 0.0200; t_rel 0.9599;
2 r 14.1086; phi 0.0290; x 0.7051; y 0.0204; t_rel 0.9590;
2 r 14.0909; phi 0.0296; x 0.7042; y 0.0208; t_rel 0.9582;
2 r 14.0733; phi 0.0302; x 0.7033; y 0.0213; t_rel 0.9573;
2 r 14.0557; phi 0.0308; x 0.7024; y 0.0217; t_rel 0.9565;
2 r 14.0381; phi 0.0315; x 0.7016; y 0.0221; t_rel 0.9557;
2 r 14.0206; phi 0.0321; x 0.7007; y 0.0225; t_rel 0.9548;
2 r 14.0031; phi 0.0327; x 0.6998; y 0.0229; t_rel 0.9540;
2 r 13.9857; phi 0.0334; x 0.6989; y 0.0233; t_rel 0.9531;
2 r 13.9683; phi 0.0340; x 0.6980; y 0.0237; t_rel 0.9523;
2 r 13.9510; phi 0.0346; x 0.6971; y 0.0241; t_rel 0.9515;
2 r 13.9337; phi 0.0352; x 0.6963; y 0.0245; t_rel 0.9507;
2 r 13.9165; phi 0.0359; x 0.6954; y 0.0250; t_rel 0.9498;
