2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9729; phi 0.0006; x 0.7486; y 0.0005; t_rel 0.9991;
2 r 14.9466; phi 0.0013; x 0.7473; y 0.0010; t_rel 0.9982;
2 r 14.9205; phi 0.0019; x 0.7460; y 0.0014; t_rel 0.9972;
2 r 14.8944; phi 0.0025; x 0.7447; y 0.0019; t_rel 0.9963;
2 r 14.8684; phi 0.0032; x 0.7434; y 0.0023; t_rel 0.9954;
2 r 14.8425; phi 0.0038; x 0.7421; y 0.0028; t_rel 0.9945;
2 r 14.8167; phi 0.0044; x 0.7408; y 0.0033; t_rel 0.9937;
2 r 14.7910; phi 0.0050; x 0.7395; y 0.0037; t_rel 0.9928;
2 r 14.7654; phi 0.0057; x 0.7383; y 0.0042; t_rel 0.9919;
2 r 14.7399; phi 0.0063; x 0.7370; y 0.0046; t_rel 0.9910;
2 r 14.7144; phi 0.0069; x 0.7357; y 0.0051; t_rel 0.9901;
2 r 14.6891; phi 0.0076; x 0.7344; y 0.0056; t_rel 0.9892;
2 r 14.6639; phi 0.0082; x 0.7332; y 0.0060; t_rel 0.9884;
2 r 14.6387; phi 0.0088; x 0.7319; y 0.0065; t_rel 0.9875;
2 r 14.6136; phi 0.0094; x 0.7306; y 0.0069; t_rel 0.9866;
2 r 14.5887; phi 0.0101; x 0.7294; y 0.0073; t_rel 0.9857;
2 r 14.5638; phi 0.0107; x 0.7281; y 0.0078; t_rel 0.9849;
2 r 14.5390; phi 0.0113; x 0.7269; y 0.0082; t_rel 0.9840;
2 r 14.5143; phi 0.0120; x 0.7257; y 0.0087; t_rel 0.9832;
2 r 14.4897; phi 0.0126; x 0.7244; y 0.0091; t_rel 0.9823;
2 r 14.4652; phi 0.0132; x 0.7232; y 0.0096; t_rel 0.9814;
2 r 14.4407; phi 0.0138; x 0.7220; y 0.0100; t_rel 0.9806;
2 r 14.4164; phi 0.0145; x 0.7207; y 0.0104; t_rel 0.9797;
2 r 14.3921; phi 0.0151; x 0.7195; y 0.0109; t_rel 0.9789;
2 r 14.3679; phi 0.0157; x 0.7183; y 0.0113; t_rel 0.9781;
2 r 14.3438; phi 0.0164; x 0.7171; y 0.0117; t_rel 0.9772;
2 r 14.3198; phi 0.0170; x 0.7159; y 0.0122; t_rel 0.9764;
2 r 14.2959; phi 0.0176; x 0.7147; y 0.0126; t_rel 0.9756;
2 r 14.2721; phi 0.0182; x 0.7135; y 0.0130; t_rel 0.9747;
2 r 14.2483; phi 0.0189; x 0.7123; y 0.0134; t_rel 0.9739;
2 r 14.2246; phi 0.0195; x 0.7111; y 0.0139; t_rel 0.9731;
2 r 14.2011; phi 0.0201; x 0.7099; y 0.0143; t_rel 0.9722;
2 r 14.1775; phi 0.0208; x 0.7087; y 0.0147; t_rel 0.9714;
2 r 14.1541; phi 0.0214; x 0.7075; y 0.0151; t_rel 0.9706;
2 r 14.1308; phi 0.0220; x 0.7064; y 0.0156; t_rel 0.9698;
2 r 14.1075; phi 0.0226; x 0.7052; y 0.0160; t_rel 0.9690;
2 r 14.0843; phi 0.0233; x 0.7040; y 0.0164; t_rel 0.9682;
2 r 14.0612; phi 0.0239; x 0.7029; y 0.0168; t_rel 0.9674;
2 r 14.0382; phi 0.0245; x 0.7017; y 0.0172; t_rel 0.9666;
2 r 14.0153; phi 0.0252; x 0.7005; y 0.0176; t_rel 0.9658;
2 r 13.9924; phi 0.0258; x 0.6994; y 0.0180; t_rel 0.9650;
2 r 13.9696; phi 0.0264; x 0.6982; y 0.0184; t_rel 0.9642;
2 r 13.9469; phi 0.0270; x 0.6971; y 0.0189; t_rel 0.9634;
2 r 13.9243; phi 0.0277; x 0.6959; y 0.0193; t_rel 0.9626;
2 r 13.9018; phi 0.0283; x 0.6948; y 0.0197; t_rel 0.9618;
2 r 13.8793; phi 0.0289; x 0.6937; y 0.0201; t_rel 0.9610;
2 r 13.8569; phi 0.0296; x 0.6925; y 0.0205; t_rel 0.9602;
2 r 13.8346; phi 0.0302; x 0.6914; y 0.0209; t_rel 0.9594;
2 r 13.8123; phi 0.0308; x 0.6903; y 0.0213; t_rel 0.9586;
2 r 13.7902; phi 0.0314; x 0.6892; y 0.0217; t_rel 0.9579;
2 r 13.7681; phi 0.0321; x 0.6880; y 0.0221; t_rel 0.9571;
2 r 13.7461; phi 0.0327; x 0.6869; y 0.0225; t_rel 0.9563;
2 r 13.7241; phi 0.0333; x 0.6858; y 0.0229; t_rel 0.9556;
2 r 13.7022; phi 0.0340; x 0.6847; y 0.0233; t_rel 0.9548;
2 r 13.6804; phi 0.0346; x 0.6836; y 0.0236; t_rel 0.9540;
2 r 13.6587; phi 0.0352; x 0.6825; y 0.0240; t_rel 0.9533;
2 r 13.6371; phi 0.0358; x 0.6814; y 0.0244; t_rel 0.9525;
2 r 13.6155; phi 0.0365; x 0.6803; y 0.0248; t_rel 0.9517;
2 r 13.5940; phi 0.0371; x 0.6792; y 0.0252; t_rel 0.9510;
2 r 13.5726; phi 0.0377; x 0.6781; y 0.0256; t_rel 0.9502;
2 r 13.5512; phi 0.0384; x 0.6771; y 0.0260; t_rel 0.9495;
2 r 13.5299; phi 0.0390; x 0.6760; y 0.0264; t_rel 0.9487;
2 r 13.5087; phi 0.0396; x 0.6749; y 0.0267; t_rel 0.9480;
2 r 13.4876; phi 0.0402; x 0.6738; y 0.0271; t_rel 0.9472;
2 r 13.4665; phi 0.0409; x 0.6728; y 0.0275; t_rel 0.9465;
2 r 13.4455; phi 0.0415; x 0.6717; y 0.0279; t_rel 0.9458;
2 r 13.4245; phi 0.0421; x 0.6706; y 0.0283; t_rel 0.9450;
2 r 13.4037; phi 0.0428; x 0.6696; y 0.0286; t_rel 0.9443;
2 r 13.3829; phi 0.0434; x 0.6685; y 0.0290; t_rel 0.9435;
2 r 13.3622; phi 0.0440; x 0.6675; y 0.0294; t_rel 0.9428;
2 r 13.3415; phi 0.0446; x 0.6664; y 0.0298; t_rel 0.9421;
2 r 13.3209; phi 0.0453; x 0.6654; y 0.0301; t_rel 0.9414;
2 r 13.3004; phi 0.0459; x 0.6643; y 0.0305; t_rel 0.9406;
2 r 13.2799; phi 0.0465; x 0.6633; y 0.0309; t_rel 0.9399;
2 r 13.2595; phi 0.0472; x 0.6622; y 0.0312; t_rel 0.9392;
2 r 13.2392; phi 0.0478; x 0.6612; y 0.0316; t_rel 0.9385;
2 r 13.2189; phi 0.0484; x 0.6602; y 0.0320; t_rel 0.9378;
2 r 13.1987; phi 0.0490; x 0.6591; y 0.0323; t_rel 0.9371;
2 r 13.1786; phi 0.0497; x 0.6581; y 0.0327; t_rel 0.9363;
2 r 13.1586; phi 0.0503; x 0.6571; y 0.0331; t_rel 0.9356;
2 r 13.1386; phi 0.0509; x 0.6561; y 0.0334; t_rel 0.9349;
2 r 13.1186; phi 0.0515; x 0.6551; y 0.0338; t_rel 0.9342;
2 r 13.0988; phi 0.0522; x 0.6540; y 0.0342; t_rel 0.9335;
2 r 13.0789; phi 0.0528; x 0.6530; y 0.0345; t_rel 0.9328;
2 r 13.0592; phi 0.0534; x 0.6520; y 0.0349; t_rel 0.9321;
2 r 13.0395; phi 0.0541; x 0.6510; y 0.0352; t_rel 0.9314;
2 r 13.0199; phi 0.0547; x 0.6500; y 0.0356; t_rel 0.9307;
2 r 13.0004; phi 0.0553; x 0.6490; y 0.0359; t_rel 0.9300;
2 r 12.9809; phi 0.0559; x 0.6480; y 0.0363; t_rel 0.9293;
2 r 12.9614; phi 0.0566; x 0.6470; y 0.0366; t_rel 0.9287;
2 r 12.9421; phi 0.0572; x 0.6460; y 0.0370; t_rel 0.9280;
2 r 12.9228; phi 0.0578; x 0.6451; y 0.0373; t_rel 0.9273;
2 r 12.9035; phi 0.0585; x 0.6441; y 0.0377; t_rel 0.9266;
2 r 12.8844; phi 0.0591; x 0.6431; y 0.0380; t_rel 0.9259;
2 r 12.8652; phi 0.0597; x 0.6421; y 0.0384; t_rel 0.9252;
2 r 12.8462; phi 0.0603; x 0.6411; y 0.0387; t_rel 0.9246;
