2 r 13.3759; phi -0.0472; x 0.6681; y -0.0315; t_rel 0.9149;
2 r 13.3672; phi -0.0478; x 0.6676; y -0.0319; t_rel 0.9144;
2 r 13.3454; phi -0.0484; x 0.6665; y -0.0323; t_rel 0.9133;
2 r 13.3214; phi -0.0491; x 0.6653; y -0.0327; t_rel 0.9120;
2 r 13.3002; phi -0.0497; x 0.6642; y -0.0330; t_rel 0.9109;
2 r 13.2905; phi -0.0503; x 0.6637; y -0.0334; t_rel 0.9104;
2 r 13.2663; phi -0.0509; x 0.6625; y -0.0338; t_rel 0.9091;
2 r 13.2421; phi -0.0516; x 0.6612; y -0.0341; t_rel 0.9078;
2 r 13.2352; phi -0.0522; x 0.6609; y -0.0345; t_rel 0.9074;
2 r 13.2109; phi -0.0528; x 0.6596; y -0.0349; t_rel 0.9061;
2 r 13.1866; phi -0.0535; x 0.6584; y -0.0352; t_rel 0.9048;
2 r 13.1795; phi -0.0541; x 0.6580; y -0.0356; t_rel 0.9045;
2 r 13.1551; phi -0.0547; x 0.6568; y -0.0360; t_rel 0.9032;
2 r 13.1347; phi -0.0553; x 0.6557; y -0.0363; t_rel 0.9021;
2 r 13.1234; phi -0.0560; x 0.6551; y -0.0367; t_rel 0.9015;
2 r 13.0989; phi -0.0566; x 0.6539; y -0.0370; t_rel 0.9002;
2 r 13.0890; phi -0.0572; x 0.6534; y -0.0374; t_rel 0.8997;
2 r 13.0669; phi -0.0579; x 0.6523; y -0.0378; t_rel 0.8985;
2 r 13.0423; phi -0.0585; x 0.6510; y -0.0381; t_rel 0.8972;
2 r 13.0348; phi -0.0591; x 0.6506; y -0.0385; t_rel 0.8968;
2 r 13.0101; phi -0.0597; x 0.6493; y -0.0388; t_rel 0.8955;
2 r 12.9946; phi -0.0604; x 0.6485; y -0.0392; t_rel 0.8946;
2 r 12.9778; phi -0.0610; x 0.6477; y -0.0396; t_rel 0.8937;
2 r 12.9531; phi -0.0616; x 0.6464; y -0.0399; t_rel 0.8924;
2 r 12.9453; phi -0.0623; x 0.6460; y -0.0403; t_rel 0.8920;
2 r 12.9206; phi -0.0629; x 0.6448; y -0.0406; t_rel 0.8907;
2 r 12.9116; phi -0.0635; x 0.6443; y -0.0410; t_rel 0.8902;
2 r 12.8879; phi -0.0641; x 0.6431; y -0.0413; t_rel 0.8890;
2 r 12.8662; phi -0.0648; x 0.6420; y -0.0416; t_rel 0.8878;
2 r 12.8551; phi -0.0654; x 0.6414; y -0.0420; t_rel 0.8872;
2 r 12.8303; phi -0.0660; x 0.6401; y -0.0423; t_rel 0.8859;
2 r 12.8222; phi -0.0667; x 0.6397; y -0.0427; t_rel 0.8855;
2 r 12.7974; phi -0.0673; x 0.6384; y -0.0430; t_rel 0.8841;
2 r 12.7892; phi -0.0679; x 0.6380; y -0.0434; t_rel 0.8837;
2 r 12.7643; phi -0.0685; x 0.6367; y -0.0437; t_rel 0.8824;
2 r 12.7561; phi -0.0692; x 0.6363; y -0.0441; t_rel 0.8819;
2 r 12.7311; phi -0.0698; x 0.6350; y -0.0444; t_rel 0.8806;
2 r 12.7190; phi -0.0704; x 0.6344; y -0.0447; t_rel 0.8799;
2 r 12.6979; phi -0.0711; x 0.6333; y -0.0451; t_rel 0.8788;
2 r 12.6824; phi -0.0717; x 0.6325; y -0.0454; t_rel 0.8780;
2 r 12.6645; phi -0.0723; x 0.6316; y -0.0457; t_rel 0.8770;
2 r 12.6473; phi -0.0729; x 0.6307; y -0.0461; t_rel 0.8761;
2 r 12.6311; phi -0.0736; x 0.6298; y -0.0464; t_rel 0.8752;
2 r 12.6135; phi -0.0742; x 0.6289; y -0.0467; t_rel 0.8743;
2 r 12.5976; phi -0.0748; x 0.6281; y -0.0471; t_rel 0.8735;
2 r 12.5809; phi -0.0755; x 0.6273; y -0.0474; t_rel 0.8726;
2 r 12.5640; phi -0.0761; x 0.6264; y -0.0477; t_rel 0.8717;
2 r 12.5495; phi -0.0767; x 0.6256; y -0.0481; t_rel 0.8709;
2 r 12.5304; phi -0.0773; x 0.6246; y -0.0484; t_rel 0.8699;
2 r 12.5192; phi -0.0780; x 0.6241; y -0.0488; t_rel 0.8692;
2 r 12.4967; phi -0.0786; x 0.6229; y -0.0491; t_rel 0.8680;
2 r 12.4879; phi -0.0792; x 0.6224; y -0.0494; t_rel 0.8676;
2 r 12.4629; phi -0.0799; x 0.6212; y -0.0497; t_rel 0.8662;
2 r 12.4541; phi -0.0805; x 0.6207; y -0.0501; t_rel 0.8658;
2 r 12.4291; phi -0.0811; x 0.6194; y -0.0503; t_rel 0.8644;
2 r 12.4202; phi -0.0817; x 0.6189; y -0.0507; t_rel 0.8639;
2 r 12.3952; phi -0.0824; x 0.6177; y -0.0510; t_rel 0.8626;
2 r 12.3863; phi -0.0830; x 0.6172; y -0.0513; t_rel 0.8621;
2 r 12.3663; phi -0.0836; x 0.6162; y -0.0516; t_rel 0.8610;
2 r 12.3523; phi -0.0842; x 0.6154; y -0.0520; t_rel 0.8603;
2 r 12.3414; phi -0.0849; x 0.6149; y -0.0523; t_rel 0.8597;
2 r 12.3183; phi -0.0855; x 0.6137; y -0.0526; t_rel 0.8585;
2 r 12.3094; phi -0.0861; x 0.6132; y -0.0529; t_rel 0.8580;
2 r 12.2843; phi -0.0868; x 0.6119; y -0.0532; t_rel 0.8566;
2 r 12.2753; phi -0.0874; x 0.6114; y -0.0536; t_rel 0.8562;
2 r 12.2555; phi -0.0880; x 0.6104; y -0.0539; t_rel 0.8551;
2 r 12.2412; phi -0.0886; x 0.6097; y -0.0542; t_rel 0.8543;
2 r 12.2321; phi -0.0893; x 0.6092; y -0.0545; t_rel 0.8538;
2 r 12.2070; phi -0.0899; x 0.6079; y -0.0548; t_rel 0.8525;
2 r 12.1979; phi -0.0905; x 0.6074; y -0.0551; t_rel 0.8520;
2 r 12.1757; phi -0.0912; x 0.6063; y -0.0554; t_rel 0.8508;
2 r 12.1637; phi -0.0918; x 0.6056; y -0.0557; t_rel 0.8501;
2 r 12.1545; phi -0.0924; x 0.6051; y -0.0561; t_rel 0.8497;
2 r 12.1295; phi -0.0930; x 0.6039; y -0.0563; t_rel 0.8483;
2 r 12.1203; phi -0.0937; x 0.6034; y -0.0567; t_rel 0.8478;
2 r 12.1012; phi -0.0943; x 0.6024; y -0.0570; t_rel 0.8468;
2 r 12.0860; phi -0.0949; x 0.6016; y -0.0573; t_rel 0.8460;
2 r 12.0767; phi -0.0956; x 0.6011; y -0.0576; t_rel 0.8455;
2 r 12.0517; phi -0.0962; x 0.5998; y -0.0579; t_rel 0.8441;
