2 r 14.9683; phi 0.0003; x 0.7484; y 0.0002; t_rel 1.0000;
2 r 14.9554; phi 0.0007; x 0.7478; y 0.0005; t_rel 0.9993;
2 r 14.9311; phi 0.0013; x 0.7466; y 0.0010; t_rel 0.9980;
2 r 14.9068; phi 0.0019; x 0.7453; y 0.0014; t_rel 0.9968;
2 r 14.8827; phi 0.0025; x 0.7441; y 0.0019; t_rel 0.9955;
2 r 14.8586; phi 0.0032; x 0.7429; y 0.0024; t_rel 0.9942;
2 r 14.8346; phi 0.0038; x 0.7417; y 0.0028; t_rel 0.9930;
2 r 14.8106; phi 0.0044; x 0.7405; y 0.0033; t_rel 0.9917;
2 r 14.7868; phi 0.0051; x 0.7393; y 0.0037; t_rel 0.9905;
2 r 14.7630; phi 0.0057; x 0.7381; y 0.0042; t_rel 0.9892;
2 r 14.7394; phi 0.0063; x 0.7370; y 0.0047; t_rel 0.9880;
2 r 14.7158; phi 0.0069; x 0.7358; y 0.0051; t_rel 0.9867;
2 r 14.6922; phi 0.0076; x 0.7346; y 0.0056; t_rel 0.9855;
2 r 14.6688; phi 0.0082; x 0.7334; y 0.0060; t_rel 0.9842;
2 r 14.6454; phi 0.0088; x 0.7322; y 0.0065; t_rel 0.9830;
2 r 14.6222; phi 0.0095; x 0.7311; y 0.0069; t_rel 0.9818;
2 r 14.5990; phi 0.0101; x 0.7299; y 0.0074; t_rel 0.9806;
2 r 14.5758; phi 0.0107; x 0.7287; y 0.0078; t_rel 0.9793;
2 r 14.5528; phi 0.0113; x 0.7276; y 0.0083; t_rel 0.9781;
2 r 14.5298; phi 0.0120; x 0.7264; y 0.0087; t_rel 0.9769;
2 r 14.5069; phi 0.0126; x 0.7253; y 0.0091; t_rel 0.9757;
2 r 14.4841; phi 0.0132; x 0.7241; y 0.0096; t_rel 0.9745;
2 r 14.4614; phi 0.0139; x 0.7230; y 0.0100; t_rel 0.9733;
2 r 14.4387; phi 0.0145; x 0.7219; y 0.0105; t_rel 0.9721;
2 r 14.4161; phi 0.0151; x 0.7207; y 0.0109; t_rel 0.9709;
2 r 14.3936; phi 0.0157; x 0.7196; y 0.0113; t_rel 0.9697;
2 r 14.3711; phi 0.0164; x 0.7185; y 0.0118; t_rel 0.9685;
2 r 14.3488; phi 0.0170; x 0.7173; y 0.0122; t_rel 0.9673;
2 r 14.3265; phi 0.0176; x 0.7162; y 0.0126; t_rel 0.9662;
2 r 14.3043; phi 0.0183; x 0.7151; y 0.0131; t_rel 0.9650;
2 r 14.2821; phi 0.0189; x 0.7140; y 0.0135; t_rel 0.9638;
2 r 14.2601; phi 0.0195; x 0.7129; y 0.0139; t_rel 0.9626;
2 r 14.2381; phi 0.0201; x 0.7118; y 0.0143; t_rel 0.9615;
2 r 14.2161; phi 0.0208; x 0.7107; y 0.0148; t_rel 0.9603;
2 r 14.1943; phi 0.0214; x 0.7096; y 0.0152; t_rel 0.9592;
2 r 14.1725; phi 0.0220; x 0.7085; y 0.0156; t_rel 0.9580;
2 r 14.1508; phi 0.0227; x 0.7074; y 0.0160; t_rel 0.9568;
2 r 14.1291; phi 0.0233; x 0.7063; y 0.0164; t_rel 0.9557;
2 r 14.1076; phi 0.0239; x 0.7052; y 0.0169; t_rel 0.9546;
2 r 14.0861; phi 0.0245; x 0.7041; y 0.0173; t_rel 0.9534;
2 r 14.0646; phi 0.0252; x 0.7030; y 0.0177; t_rel 0.9523;
2 r 14.0433; phi 0.0258; x 0.7019; y 0.0181; t_rel 0.9511;
2 r 14.0220; phi 0.0264; x 0.7009; y 0.0185; t_rel 0.9500;
2 r 14.0008; phi 0.0270; x 0.6998; y 0.0189; t_rel 0.9489;
2 r 13.9796; phi 0.0277; x 0.6987; y 0.0193; t_rel 0.9478;
2 r 13.9585; phi 0.0283; x 0.6976; y 0.0198; t_rel 0.9466;
2 r 13.9375; phi 0.0289; x 0.6966; y 0.0202; t_rel 0.9455;
2 r 13.9165; phi 0.0296; x 0.6955; y 0.0206; t_rel 0.9444;
2 r 13.8957; phi 0.0302; x 0.6945; y 0.0210; t_rel 0.9433;
2 r 13.8748; phi 0.0308; x 0.6934; y 0.0214; t_rel 0.9422;
2 r 13.8541; phi 0.0314; x 0.6924; y 0.0218; t_rel 0.9411;
2 r 13.8334; phi 0.0321; x 0.6913; y 0.0222; t_rel 0.9400;
2 r 13.8128; phi 0.0327; x 0.6903; y 0.0226; t_rel 0.9389;
2 r 13.7922; phi 0.0333; x 0.6892; y 0.0230; t_rel 0.9378;
2 r 13.7717; phi 0.0340; x 0.6882; y 0.0234; t_rel 0.9367;
2 r 13.7513; phi 0.0346; x 0.6872; y 0.0238; t_rel 0.9356;
2 r 13.7310; phi 0.0352; x 0.6861; y 0.0242; t_rel 0.9345;
2 r 13.7107; phi 0.0358; x 0.6851; y 0.0246; t_rel 0.9334;
2 r 13.6904; phi 0.0365; x 0.6841; y 0.0250; t_rel 0.9324;
2 r 13.6703; phi 0.0371; x 0.6830; y 0.0254; t_rel 0.9313;
2 r 13.6502; phi 0.0377; x 0.6820; y 0.0257; t_rel 0.9302;
2 r 13.6301; phi 0.0384; x 0.6810; y 0.0261; t_rel 0.9292;
2 r 13.6102; phi 0.0390; x 0.6800; y 0.0265; t_rel 0.9281;
2 r 13.5902; phi 0.0396; x 0.6790; y 0.0269; t_rel 0.9270;
2 r 13.5704; phi 0.0402; x 0.6780; y 0.0273; t_rel 0.9260;
