2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9726; phi 0.0006; x 0.7486; y 0.0005; t_rel 0.9991;
2 r 14.9460; phi 0.0013; x 0.7473; y 0.0010; t_rel 0.9981;
2 r 14.9194; phi 0.0019; x 0.7460; y 0.0014; t_rel 0.9972;
2 r 14.8930; phi 0.0025; x 0.7446; y 0.0019; t_rel 0.9963;
2 r 14.8667; phi 0.0032; x 0.7433; y 0.0023; t_rel 0.9954;
2 r 14.8405; phi 0.0038; x 0.7420; y 0.0028; t_rel 0.9945;
2 r 14.8144; phi 0.0044; x 0.7407; y 0.0033; t_rel 0.9936;
2 r 14.7883; phi 0.0050; x 0.7394; y 0.0037; t_rel 0.9927;
2 r 14.7624; phi 0.0057; x 0.7381; y 0.0042; t_rel 0.9918;
2 r 14.7366; phi 0.0063; x 0.7368; y 0.0046; t_rel 0.9909;
2 r 14.7108; phi 0.0069; x 0.7355; y 0.0051; t_rel 0.9900;
2 r 14.6852; phi 0.0076; x 0.7342; y 0.0055; t_rel 0.9891;
2 r 14.6596; phi 0.0082; x 0.7330; y 0.0060; t_rel 0.9882;
2 r 14.6342; phi 0.0088; x 0.7317; y 0.0065; t_rel 0.9873;
2 r 14.6088; phi 0.0094; x 0.7304; y 0.0069; t_rel 0.9864;
2 r 14.5835; phi 0.0101; x 0.7291; y 0.0073; t_rel 0.9856;
2 r 14.5583; phi 0.0107; x 0.7279; y 0.0078; t_rel 0.9847;
2 r 14.5332; phi 0.0113; x 0.7266; y 0.0082; t_rel 0.9838;
2 r 14.5082; phi 0.0120; x 0.7254; y 0.0087; t_rel 0.9829;
2 r 14.4833; phi 0.0126; x 0.7241; y 0.0091; t_rel 0.9821;
2 r 14.4585; phi 0.0132; x 0.7229; y 0.0096; t_rel 0.9812;
2 r 14.4338; phi 0.0138; x 0.7216; y 0.0100; t_rel 0.9803;
2 r 14.4091; phi 0.0145; x 0.7204; y 0.0104; t_rel 0.9795;
2 r 14.3846; phi 0.0151; x 0.7191; y 0.0109; t_rel 0.9786;
2 r 14.3601; phi 0.0157; x 0.7179; y 0.0113; t_rel 0.9778;
2 r 14.3357; phi 0.0164; x 0.7167; y 0.0117; t_rel 0.9769;
2 r 14.3115; phi 0.0170; x 0.7155; y 0.0122; t_rel 0.9761;
2 r 14.2872; phi 0.0176; x 0.7143; y 0.0126; t_rel 0.9752;
2 r 14.2631; phi 0.0182; x 0.7130; y 0.0130; t_rel 0.9744;
2 r 14.2391; phi 0.0189; x 0.7118; y 0.0134; t_rel 0.9736;
2 r 14.2151; phi 0.0195; x 0.7106; y 0.0139; t_rel 0.9727;
2 r 14.1913; phi 0.0201; x 0.7094; y 0.0143; t_rel 0.9719;
2 r 14.1675; phi 0.0208; x 0.7082; y 0.0147; t_rel 0.9711;
2 r 14.1438; phi 0.0214; x 0.7070; y 0.0151; t_rel 0.9702;
2 r 14.1202; phi 0.0220; x 0.7058; y 0.0155; t_rel 0.9694;
2 r 14.0967; phi 0.0226; x 0.7047; y 0.0160; t_rel 0.9686;
2 r 14.0732; phi 0.0233; x 0.7035; y 0.0164; t_rel 0.9678;
2 r 14.0499; phi 0.0239; x 0.7023; y 0.0168; t_rel 0.9669;
2 r 14.0266; phi 0.0245; x 0.7011; y 0.0172; t_rel 0.9661;
2 r 14.0034; phi 0.0252; x 0.6999; y 0.0176; t_rel 0.9653;
2 r 13.9803; phi 0.0258; x 0.6988; y 0.0180; t_rel 0.9645;
2 r 13.9572; phi 0.0264; x 0.6976; y 0.0184; t_rel 0.9637;
2 r 13.9343; phi 0.0270; x 0.6965; y 0.0188; t_rel 0.9629;
2 r 13.9114; phi 0.0277; x 0.6953; y 0.0192; t_rel 0.9621;
