2 r 14.9993; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9987; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9694; phi -0.0007; x 0.7485; y -0.0005; t_rel 0.9984;
2 r 14.9428; phi -0.0013; x 0.7471; y -0.0010; t_rel 0.9970;
2 r 14.9162; phi -0.0019; x 0.7458; y -0.0014; t_rel 0.9956;
2 r 14.8897; phi -0.0025; x 0.7445; y -0.0019; t_rel 0.9942;
2 r 14.8632; phi -0.0032; x 0.7432; y -0.0024; t_rel 0.9928;
2 r 14.8367; phi -0.0038; x 0.7418; y -0.0028; t_rel 0.9914;
2 r 14.8103; phi -0.0044; x 0.7405; y -0.0033; t_rel 0.9900;
2 r 14.7936; phi -0.0051; x 0.7397; y -0.0037; t_rel 0.9891;
2 r 14.7795; phi -0.0057; x 0.7390; y -0.0042; t_rel 0.9884;
2 r 14.7532; phi -0.0063; x 0.7376; y -0.0047; t_rel 0.9870;
2 r 14.7268; phi -0.0069; x 0.7363; y -0.0051; t_rel 0.9856;
2 r 14.7006; phi -0.0076; x 0.7350; y -0.0056; t_rel 0.9842;
2 r 14.6743; phi -0.0082; x 0.7337; y -0.0060; t_rel 0.9828;
2 r 14.6481; phi -0.0088; x 0.7324; y -0.0065; t_rel 0.9814;
2 r 14.6219; phi -0.0095; x 0.7311; y -0.0069; t_rel 0.9801;
2 r 14.5996; phi -0.0101; x 0.7299; y -0.0074; t_rel 0.9789;
2 r 14.5894; phi -0.0107; x 0.7294; y -0.0078; t_rel 0.9783;
2 r 14.5654; phi -0.0113; x 0.7282; y -0.0083; t_rel 0.9771;
2 r 14.5393; phi -0.0120; x 0.7269; y -0.0087; t_rel 0.9757;
2 r 14.5133; phi -0.0126; x 0.7256; y -0.0091; t_rel 0.9743;
2 r 14.4873; phi -0.0132; x 0.7243; y -0.0096; t_rel 0.9729;
2 r 14.4614; phi -0.0139; x 0.7230; y -0.0100; t_rel 0.9716;
2 r 14.4354; phi -0.0145; x 0.7217; y -0.0105; t_rel 0.9702;
2 r 14.4254; phi -0.0151; x 0.7212; y -0.0109; t_rel 0.9696;
