2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9989; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9596; phi -0.0006; x 0.7480; y -0.0005; t_rel 0.9986;
2 r 14.9205; phi -0.0013; x 0.7460; y -0.0010; t_rel 0.9972;
2 r 14.8815; phi -0.0019; x 0.7441; y -0.0014; t_rel 0.9958;
2 r 14.8428; phi -0.0025; x 0.7421; y -0.0019; t_rel 0.9944;
2 r 14.8043; phi -0.0032; x 0.7402; y -0.0023; t_rel 0.9931;
2 r 14.7660; phi -0.0038; x 0.7383; y -0.0028; t_rel 0.9917;
2 r 14.7278; phi -0.0044; x 0.7364; y -0.0033; t_rel 0.9904;
2 r 14.6899; phi -0.0050; x 0.7345; y -0.0037; t_rel 0.9890;
2 r 14.6522; phi -0.0057; x 0.7326; y -0.0042; t_rel 0.9877;
2 r 14.6147; phi -0.0063; x 0.7307; y -0.0046; t_rel 0.9863;
2 r 14.5774; phi -0.0069; x 0.7289; y -0.0051; t_rel 0.9850;
2 r 14.5402; phi -0.0076; x 0.7270; y -0.0055; t_rel 0.9837;
2 r 14.5033; phi -0.0082; x 0.7251; y -0.0059; t_rel 0.9824;
2 r 14.4666; phi -0.0088; x 0.7233; y -0.0064; t_rel 0.9811;
2 r 14.4300; phi -0.0095; x 0.7215; y -0.0068; t_rel 0.9798;
2 r 14.3936; phi -0.0101; x 0.7196; y -0.0073; t_rel 0.9785;
2 r 14.3575; phi -0.0107; x 0.7178; y -0.0077; t_rel 0.9772;
2 r 14.3215; phi -0.0113; x 0.7160; y -0.0081; t_rel 0.9759;
2 r 14.2857; phi -0.0120; x 0.7142; y -0.0085; t_rel 0.9746;
2 r 14.2501; phi -0.0126; x 0.7124; y -0.0090; t_rel 0.9734;
2 r 14.2146; phi -0.0132; x 0.7107; y -0.0094; t_rel 0.9721;
2 r 14.1794; phi -0.0139; x 0.7089; y -0.0098; t_rel 0.9708;
2 r 14.1443; phi -0.0145; x 0.7071; y -0.0102; t_rel 0.9696;
2 r 14.1094; phi -0.0151; x 0.7054; y -0.0107; t_rel 0.9683;
2 r 14.0746; phi -0.0157; x 0.7036; y -0.0111; t_rel 0.9671;
2 r 14.0401; phi -0.0164; x 0.7019; y -0.0115; t_rel 0.9659;
2 r 14.0057; phi -0.0170; x 0.7002; y -0.0119; t_rel 0.9646;
2 r 13.9715; phi -0.0176; x 0.6985; y -0.0123; t_rel 0.9634;
2 r 13.9375; phi -0.0183; x 0.6968; y -0.0127; t_rel 0.9622;
2 r 13.9036; phi -0.0189; x 0.6951; y -0.0131; t_rel 0.9610;
2 r 13.8699; phi -0.0195; x 0.6934; y -0.0135; t_rel 0.9598;
2 r 13.8364; phi -0.0201; x 0.6917; y -0.0139; t_rel 0.9586;
2 r 13.8030; phi -0.0208; x 0.6900; y -0.0143; t_rel 0.9574;
2 r 13.7698; phi -0.0214; x 0.6883; y -0.0147; t_rel 0.9562;
2 r 13.7368; phi -0.0220; x 0.6867; y -0.0151; t_rel 0.9550;
2 r 13.7039; phi -0.0227; x 0.6850; y -0.0155; t_rel 0.9538;
2 r 13.6712; phi -0.0233; x 0.6834; y -0.0159; t_rel 0.9526;
2 r 13.6386; phi -0.0239; x 0.6817; y -0.0163; t_rel 0.9515;
2 r 13.6062; phi -0.0245; x 0.6801; y -0.0167; t_rel 0.9503;
2 r 13.5740; phi -0.0252; x 0.6785; y -0.0171; t_rel 0.9491;
2 r 13.5419; phi -0.0258; x 0.6769; y -0.0175; t_rel 0.9480;
2 r 13.5100; phi -0.0264; x 0.6753; y -0.0179; t_rel 0.9468;
2 r 13.4782; phi -0.0271; x 0.6737; y -0.0182; t_rel 0.9457;
2 r 13.4466; phi -0.0277; x 0.6721; y -0.0186; t_rel 0.9446;
2 r 13.4151; phi -0.0283; x 0.6705; y -0.0190; t_rel 0.9434;
2 r 13.3838; phi -0.0289; x 0.6689; y -0.0194; t_rel 0.9423;
2 r 13.3527; phi -0.0296; x 0.6673; y -0.0197; t_rel 0.9412;
2 r 13.3217; phi -0.0302; x 0.6658; y -0.0201; t_rel 0.9400;
2 r 13.2908; phi -0.0308; x 0.6642; y -0.0205; t_rel 0.9389;
2 r 13.2601; phi -0.0315; x 0.6627; y -0.0209; t_rel 0.9378;
2 r 13.2295; phi -0.0321; x 0.6611; y -0.0212; t_rel 0.9367;
2 r 13.1991; phi -0.0327; x 0.6596; y -0.0216; t_rel 0.9356;
2 r 13.1688; phi -0.0334; x 0.6581; y -0.0220; t_rel 0.9345;
2 r 13.1386; phi -0.0340; x 0.6566; y -0.0223; t_rel 0.9334;
2 r 13.1086; phi -0.0346; x 0.6550; y -0.0227; t_rel 0.9323;
2 r 13.0788; phi -0.0352; x 0.6535; y -0.0230; t_rel 0.9313;
2 r 13.0491; phi -0.0359; x 0.6520; y -0.0234; t_rel 0.9302;
2 r 13.0195; phi -0.0365; x 0.6505; y -0.0238; t_rel 0.9291;
2 r 12.9900; phi -0.0371; x 0.6491; y -0.0241; t_rel 0.9281;
2 r 12.9607; phi -0.0378; x 0.6476; y -0.0245; t_rel 0.9270;
2 r 12.9315; phi -0.0384; x 0.6461; y -0.0248; t_rel 0.9259;
2 r 12.9025; phi -0.0390; x 0.6446; y -0.0252; t_rel 0.9249;
2 r 12.8736; phi -0.0396; x 0.6432; y -0.0255; t_rel 0.9238;
2 r 12.8448; phi -0.0403; x 0.6417; y -0.0259; t_rel 0.9228;
2 r 12.8162; phi -0.0409; x 0.6403; y -0.0262; t_rel 0.9217;
2 r 12.7877; phi -0.0415; x 0.6388; y -0.0265; t_rel 0.9207;
2 r 12.7593; phi -0.0422; x 0.6374; y -0.0269; t_rel 0.9197;
2 r 12.7311; phi -0.0428; x 0.6360; y -0.0272; t_rel 0.9186;
2 r 12.7029; phi -0.0434; x 0.6345; y -0.0276; t_rel 0.9176;
2 r 12.6750; phi -0.0440; x 0.6331; y -0.0279; t_rel 0.9166;
2 r 12.6471; phi -0.0447; x 0.6317; y -0.0282; t_rel 0.9156;
2 r 12.6194; phi -0.0453; x 0.6303; y -0.0286; t_rel 0.9146;
2 r 12.5917; phi -0.0459; x 0.6289; y -0.0289; t_rel 0.9136;
2 r 12.5643; phi -0.0466; x 0.6275; y -0.0292; t_rel 0.9126;
2 r 12.5369; phi -0.0472; x 0.6261; y -0.0296; t_rel 0.9116;
2 r 12.5096; phi -0.0478; x 0.6248; y -0.0299; t_rel 0.9106;
2 r 12.4825; phi -0.0484; x 0.6234; y -0.0302; t_rel 0.9096;
2 r 12.4555; phi -0.0491; x 0.6220; y -0.0305; t_rel 0.9086;
2 r 12.4286; phi -0.0497; x 0.6207; y -0.0309; t_rel 0.9076;
2 r 12.4019; phi -0.0503; x 0.6193; y -0.0312; t_rel 0.9066;
2 r 12.3753; phi -0.0510; x 0.6180; y -0.0315; t_rel 0.9057;
2 r 12.3487; phi -0.0516; x 0.6166; y -0.0318; t_rel 0.9047;
2 r 12.3223; phi -0.0522; x 0.6153; y -0.0322; t_rel 0.9037;
2 r 12.2960; phi -0.0528; x 0.6139; y -0.0325; t_rel 0.9028;
2 r 12.2699; phi -0.0535; x 0.6126; y -0.0328; t_rel 0.9018;
2 r 12.2438; phi -0.0541; x 0.6113; y -0.0331; t_rel 0.9009;
2 r 12.2179; phi -0.0547; x 0.6100; y -0.0334; t_rel 0.8999;
2 r 12.1920; phi -0.0554; x 0.6087; y -0.0337; t_rel 0.8990;
2 r 12.1663; phi -0.0560; x 0.6074; y -0.0340; t_rel 0.8980;
2 r 12.1407; phi -0.0566; x 0.6061; y -0.0344; t_rel 0.8971;
2 r 12.1152; phi -0.0573; x 0.6048; y -0.0347; t_rel 0.8961;
2 r 12.0898; phi -0.0579; x 0.6035; y -0.0350; t_rel 0.8952;
2 r 12.0645; phi -0.0585; x 0.6022; y -0.0353; t_rel 0.8943;
2 r 12.0394; phi -0.0591; x 0.6009; y -0.0356; t_rel 0.8933;
2 r 12.0143; phi -0.0598; x 0.5996; y -0.0359; t_rel 0.8924;
2 r 11.9894; phi -0.0604; x 0.5984; y -0.0362; t_rel 0.8915;
2 r 11.9645; phi -0.0610; x 0.5971; y -0.0365; t_rel 0.8906;
2 r 11.9398; phi -0.0617; x 0.5959; y -0.0368; t_rel 0.8897;
2 r 11.9152; phi -0.0623; x 0.5946; y -0.0371; t_rel 0.8888;
2 r 11.8906; phi -0.0629; x 0.5934; y -0.0374; t_rel 0.8879;
2 r 11.8662; phi -0.0635; x 0.5921; y -0.0377; t_rel 0.8870;
2 r 11.8419; phi -0.0642; x 0.5909; y -0.0380; t_rel 0.8861;
2 r 11.8177; phi -0.0648; x 0.5896; y -0.0383; t_rel 0.8852;
2 r 11.7936; phi -0.0654; x 0.5884; y -0.0386; t_rel 0.8843;
2 r 11.7696; phi -0.0661; x 0.5872; y -0.0388; t_rel 0.8834;
2 r 11.7456; phi -0.0667; x 0.5860; y -0.0391; t_rel 0.8825;
2 r 11.7218; phi -0.0673; x 0.5848; y -0.0394; t_rel 0.8816;
2 r 11.6981; phi -0.0679; x 0.5836; y -0.0397; t_rel 0.8808;
2 r 11.6745; phi -0.0686; x 0.5824; y -0.0400; t_rel 0.8799;
2 r 11.6510; phi -0.0692; x 0.5812; y -0.0403; t_rel 0.8790;
2 r 11.6276; phi -0.0698; x 0.5800; y -0.0406; t_rel 0.8781;
2 r 11.6043; phi -0.0705; x 0.5788; y -0.0408; t_rel 0.8773;
2 r 11.5810; phi -0.0711; x 0.5776; y -0.0411; t_rel 0.8764;
2 r 11.5579; phi -0.0717; x 0.5764; y -0.0414; t_rel 0.8756;
2 r 11.5349; phi -0.0723; x 0.5752; y -0.0417; t_rel 0.8747;
