2 r 14.9744; phi 0.0002; x 0.7487; y 0.0001; t_rel 1.0000;
2 r 14.9615; phi 0.0005; x 0.7481; y 0.0004; t_rel 0.9993;
2 r 14.9365; phi 0.0011; x 0.7468; y 0.0008; t_rel 0.9980;
2 r 14.9116; phi 0.0017; x 0.7456; y 0.0013; t_rel 0.9966;
2 r 14.8868; phi 0.0024; x 0.7443; y 0.0018; t_rel 0.9953;
2 r 14.8622; phi 0.0030; x 0.7431; y 0.0022; t_rel 0.9940;
2 r 14.8375; phi 0.0036; x 0.7419; y 0.0027; t_rel 0.9926;
2 r 14.8130; phi 0.0043; x 0.7406; y 0.0032; t_rel 0.9913;
2 r 14.7886; phi 0.0049; x 0.7394; y 0.0036; t_rel 0.9900;
2 r 14.7642; phi 0.0055; x 0.7382; y 0.0041; t_rel 0.9887;
2 r 14.7400; phi 0.0061; x 0.7370; y 0.0045; t_rel 0.9874;
2 r 14.7158; phi 0.0068; x 0.7358; y 0.0050; t_rel 0.9861;
2 r 14.6917; phi 0.0074; x 0.7346; y 0.0054; t_rel 0.9848;
2 r 14.6677; phi 0.0080; x 0.7334; y 0.0059; t_rel 0.9835;
2 r 14.6437; phi 0.0087; x 0.7322; y 0.0063; t_rel 0.9822;
2 r 14.6199; phi 0.0093; x 0.7310; y 0.0068; t_rel 0.9809;
2 r 14.5961; phi 0.0099; x 0.7298; y 0.0072; t_rel 0.9796;
2 r 14.5724; phi 0.0105; x 0.7286; y 0.0077; t_rel 0.9783;
2 r 14.5488; phi 0.0112; x 0.7274; y 0.0081; t_rel 0.9771;
2 r 14.5253; phi 0.0118; x 0.7262; y 0.0086; t_rel 0.9758;
2 r 14.5019; phi 0.0124; x 0.7250; y 0.0090; t_rel 0.9745;
2 r 14.4785; phi 0.0131; x 0.7239; y 0.0095; t_rel 0.9733;
2 r 14.4552; phi 0.0137; x 0.7227; y 0.0099; t_rel 0.9720;
2 r 14.4320; phi 0.0143; x 0.7215; y 0.0103; t_rel 0.9707;
2 r 14.4089; phi 0.0149; x 0.7204; y 0.0108; t_rel 0.9695;
2 r 14.3858; phi 0.0156; x 0.7192; y 0.0112; t_rel 0.9682;
2 r 14.3629; phi 0.0162; x 0.7180; y 0.0116; t_rel 0.9670;
2 r 14.3400; phi 0.0168; x 0.7169; y 0.0121; t_rel 0.9658;
2 r 14.3171; phi 0.0175; x 0.7157; y 0.0125; t_rel 0.9645;
2 r 14.2944; phi 0.0181; x 0.7146; y 0.0129; t_rel 0.9633;
2 r 14.2717; phi 0.0187; x 0.7135; y 0.0134; t_rel 0.9621;
2 r 14.2492; phi 0.0193; x 0.7123; y 0.0138; t_rel 0.9608;
2 r 14.2267; phi 0.0200; x 0.7112; y 0.0142; t_rel 0.9596;
2 r 14.2042; phi 0.0206; x 0.7101; y 0.0146; t_rel 0.9584;
2 r 14.1819; phi 0.0212; x 0.7089; y 0.0150; t_rel 0.9572;
2 r 14.1596; phi 0.0219; x 0.7078; y 0.0155; t_rel 0.9560;
2 r 14.1374; phi 0.0225; x 0.7067; y 0.0159; t_rel 0.9548;
2 r 14.1152; phi 0.0231; x 0.7056; y 0.0163; t_rel 0.9536;
2 r 14.0932; phi 0.0237; x 0.7045; y 0.0167; t_rel 0.9524;
2 r 14.0712; phi 0.0244; x 0.7034; y 0.0171; t_rel 0.9512;
2 r 14.0493; phi 0.0250; x 0.7022; y 0.0176; t_rel 0.9500;
2 r 14.0274; phi 0.0256; x 0.7011; y 0.0180; t_rel 0.9488;
2 r 14.0057; phi 0.0263; x 0.7000; y 0.0184; t_rel 0.9476;
2 r 13.9840; phi 0.0269; x 0.6989; y 0.0188; t_rel 0.9465;
2 r 13.9623; phi 0.0275; x 0.6979; y 0.0192; t_rel 0.9453;
2 r 13.9408; phi 0.0281; x 0.6968; y 0.0196; t_rel 0.9441;
2 r 13.9193; phi 0.0288; x 0.6957; y 0.0200; t_rel 0.9429;
2 r 13.8979; phi 0.0294; x 0.6946; y 0.0204; t_rel 0.9418;
2 r 13.8765; phi 0.0300; x 0.6935; y 0.0208; t_rel 0.9406;
2 r 13.8552; phi 0.0306; x 0.6924; y 0.0212; t_rel 0.9394;
2 r 13.8340; phi 0.0313; x 0.6914; y 0.0216; t_rel 0.9383;
2 r 13.8129; phi 0.0319; x 0.6903; y 0.0220; t_rel 0.9371;
2 r 13.7918; phi 0.0325; x 0.6892; y 0.0224; t_rel 0.9360;
2 r 13.7708; phi 0.0332; x 0.6882; y 0.0228; t_rel 0.9348;
2 r 13.7499; phi 0.0338; x 0.6871; y 0.0232; t_rel 0.9337;
2 r 13.7290; phi 0.0344; x 0.6860; y 0.0236; t_rel 0.9326;
2 r 13.7082; phi 0.0350; x 0.6850; y 0.0240; t_rel 0.9314;
2 r 13.6875; phi 0.0357; x 0.6839; y 0.0244; t_rel 0.9303;
2 r 13.6668; phi 0.0363; x 0.6829; y 0.0248; t_rel 0.9292;
2 r 13.6463; phi 0.0369; x 0.6818; y 0.0252; t_rel 0.9281;
2 r 13.6257; phi 0.0376; x 0.6808; y 0.0256; t_rel 0.9269;
2 r 13.6053; phi 0.0382; x 0.6798; y 0.0260; t_rel 0.9258;
2 r 13.5849; phi 0.0388; x 0.6787; y 0.0264; t_rel 0.9247;
2 r 13.5645; phi 0.0394; x 0.6777; y 0.0267; t_rel 0.9236;
2 r 13.5443; phi 0.0401; x 0.6767; y 0.0271; t_rel 0.9225;
2 r 13.5241; phi 0.0407; x 0.6756; y 0.0275; t_rel 0.9214;
2 r 13.5039; phi 0.0413; x 0.6746; y 0.0279; t_rel 0.9203;
2 r 13.4838; phi 0.0420; x 0.6736; y 0.0283; t_rel 0.9192;
2 r 13.4638; phi 0.0426; x 0.6726; y 0.0287; t_rel 0.9181;
2 r 13.4439; phi 0.0432; x 0.6716; y 0.0290; t_rel 0.9170;
2 r 13.4240; phi 0.0438; x 0.6706; y 0.0294; t_rel 0.9159;
2 r 13.4042; phi 0.0445; x 0.6695; y 0.0298; t_rel 0.9148;
2 r 13.3844; phi 0.0451; x 0.6685; y 0.0302; t_rel 0.9137;
2 r 13.3647; phi 0.0457; x 0.6675; y 0.0305; t_rel 0.9127;
2 r 13.3451; phi 0.0464; x 0.6665; y 0.0309; t_rel 0.9116;
2 r 13.3255; phi 0.0470; x 0.6655; y 0.0313; t_rel 0.9105;
2 r 13.3060; phi 0.0476; x 0.6645; y 0.0317; t_rel 0.9094;
2 r 13.2865; phi 0.0482; x 0.6636; y 0.0320; t_rel 0.9084;
2 r 13.2671; phi 0.0489; x 0.6626; y 0.0324; t_rel 0.9073;
2 r 13.2478; phi 0.0495; x 0.6616; y 0.0328; t_rel 0.9062;
2 r 13.2285; phi 0.0501; x 0.6606; y 0.0331; t_rel 0.9052;
2 r 13.2093; phi 0.0508; x 0.6596; y 0.0335; t_rel 0.9041;
2 r 13.1902; phi 0.0514; x 0.6586; y 0.0339; t_rel 0.9031;
2 r 13.1711; phi 0.0520; x 0.6577; y 0.0342; t_rel 0.9020;
2 r 13.1521; phi 0.0526; x 0.6567; y 0.0346; t_rel 0.9010;
2 r 13.1331; phi 0.0533; x 0.6557; y 0.0350; t_rel 0.8999;
2 r 13.1142; phi 0.0539; x 0.6548; y 0.0353; t_rel 0.8989;
2 r 13.0953; phi 0.0545; x 0.6538; y 0.0357; t_rel 0.8979;
2 r 13.0765; phi 0.0552; x 0.6528; y 0.0360; t_rel 0.8968;
2 r 13.0578; phi 0.0558; x 0.6519; y 0.0364; t_rel 0.8958;
2 r 13.0391; phi 0.0564; x 0.6509; y 0.0368; t_rel 0.8948;
2 r 13.0205; phi 0.0570; x 0.6500; y 0.0371; t_rel 0.8937;
2 r 13.0019; phi 0.0577; x 0.6490; y 0.0375; t_rel 0.8927;
2 r 12.9834; phi 0.0583; x 0.6481; y 0.0378; t_rel 0.8917;
2 r 12.9649; phi 0.0589; x 0.6471; y 0.0382; t_rel 0.8907;
2 r 12.9466; phi 0.0596; x 0.6462; y 0.0385; t_rel 0.8897;
2 r 12.9282; phi 0.0602; x 0.6452; y 0.0389; t_rel 0.8887;
2 r 12.9099; phi 0.0608; x 0.6443; y 0.0392; t_rel 0.8877;
2 r 12.8917; phi 0.0614; x 0.6434; y 0.0396; t_rel 0.8867;
2 r 12.8735; phi 0.0621; x 0.6424; y 0.0399; t_rel 0.8856;
2 r 12.8554; phi 0.0627; x 0.6415; y 0.0403; t_rel 0.8846;
2 r 12.8373; phi 0.0633; x 0.6406; y 0.0406; t_rel 0.8837;
2 r 12.8193; phi 0.0640; x 0.6397; y 0.0410; t_rel 0.8827;
2 r 12.8014; phi 0.0646; x 0.6387; y 0.0413; t_rel 0.8817;
2 r 12.7835; phi 0.0652; x 0.6378; y 0.0417; t_rel 0.8807;
2 r 12.7656; phi 0.0658; x 0.6369; y 0.0420; t_rel 0.8797;
2 r 12.7478; phi 0.0665; x 0.6360; y 0.0423; t_rel 0.8787;
2 r 12.7301; phi 0.0671; x 0.6351; y 0.0427; t_rel 0.8777;
2 r 12.7124; phi 0.0677; x 0.6342; y 0.0430; t_rel 0.8768;
2 r 12.6948; phi 0.0684; x 0.6333; y 0.0434; t_rel 0.8758;
2 r 12.6772; phi 0.0690; x 0.6324; y 0.0437; t_rel 0.8748;
2 r 12.6596; phi 0.0696; x 0.6314; y 0.0440; t_rel 0.8738;
2 r 12.6422; phi 0.0702; x 0.6305; y 0.0444; t_rel 0.8729;
2 r 12.6247; phi 0.0709; x 0.6297; y 0.0447; t_rel 0.8719;
2 r 12.6074; phi 0.0715; x 0.6288; y 0.0450; t_rel 0.8709;
2 r 12.5900; phi 0.0721; x 0.6279; y 0.0454; t_rel 0.8700;
2 r 12.5728; phi 0.0727; x 0.6270; y 0.0457; t_rel 0.8690;
2 r 12.5555; phi 0.0734; x 0.6261; y 0.0460; t_rel 0.8681;
2 r 12.5384; phi 0.0740; x 0.6252; y 0.0464; t_rel 0.8671;
2 r 12.5213; phi 0.0746; x 0.6243; y 0.0467; t_rel 0.8662;
2 r 12.5042; phi 0.0753; x 0.6234; y 0.0470; t_rel 0.8652;
2 r 12.4872; phi 0.0759; x 0.6226; y 0.0473; t_rel 0.8643;
2 r 12.4702; phi 0.0765; x 0.6217; y 0.0477; t_rel 0.8633;
2 r 12.4533; phi 0.0771; x 0.6208; y 0.0480; t_rel 0.8624;
2 r 12.4364; phi 0.0778; x 0.6199; y 0.0483; t_rel 0.8615;
2 r 12.4196; phi 0.0784; x 0.6191; y 0.0486; t_rel 0.8605;
2 r 12.4028; phi 0.0790; x 0.6182; y 0.0490; t_rel 0.8596;
2 r 12.3861; phi 0.0797; x 0.6173; y 0.0493; t_rel 0.8587;
2 r 12.3694; phi 0.0803; x 0.6165; y 0.0496; t_rel 0.8577;
