2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9975; phi 0.0000; x 0.7499; y 0.0000; t_rel 0.9999;
2 r 14.9041; phi 0.0006; x 0.7452; y 0.0005; t_rel 0.9964;
2 r 14.8119; phi 0.0013; x 0.7406; y 0.0009; t_rel 0.9930;
2 r 14.7209; phi 0.0019; x 0.7360; y 0.0014; t_rel 0.9896;
2 r 14.6309; phi 0.0025; x 0.7315; y 0.0019; t_rel 0.9862;
2 r 14.5421; phi 0.0032; x 0.7271; y 0.0023; t_rel 0.9829;
2 r 14.4543; phi 0.0038; x 0.7227; y 0.0027; t_rel 0.9796;
2 r 14.3676; phi 0.0044; x 0.7184; y 0.0032; t_rel 0.9763;
2 r 14.2819; phi 0.0051; x 0.7141; y 0.0036; t_rel 0.9731;
2 r 14.1972; phi 0.0057; x 0.7099; y 0.0040; t_rel 0.9699;
2 r 14.1136; phi 0.0063; x 0.7057; y 0.0045; t_rel 0.9667;
2 r 14.0309; phi 0.0069; x 0.7015; y 0.0049; t_rel 0.9636;
2 r 13.9492; phi 0.0076; x 0.6974; y 0.0053; t_rel 0.9605;
2 r 13.8684; phi 0.0082; x 0.6934; y 0.0057; t_rel 0.9575;
2 r 13.7886; phi 0.0088; x 0.6894; y 0.0061; t_rel 0.9545;
2 r 13.7097; phi 0.0095; x 0.6855; y 0.0065; t_rel 0.9515;
2 r 13.6317; phi 0.0101; x 0.6816; y 0.0069; t_rel 0.9485;
2 r 13.5546; phi 0.0107; x 0.6777; y 0.0073; t_rel 0.9456;
2 r 13.4784; phi 0.0113; x 0.6739; y 0.0076; t_rel 0.9427;
2 r 13.4030; phi 0.0120; x 0.6701; y 0.0080; t_rel 0.9398;
2 r 13.3284; phi 0.0126; x 0.6664; y 0.0084; t_rel 0.9370;
2 r 13.2547; phi 0.0132; x 0.6627; y 0.0088; t_rel 0.9342;
2 r 13.1818; phi 0.0139; x 0.6590; y 0.0091; t_rel 0.9314;
2 r 13.1097; phi 0.0145; x 0.6554; y 0.0095; t_rel 0.9287;
2 r 13.0384; phi 0.0151; x 0.6518; y 0.0099; t_rel 0.9259;
2 r 12.9679; phi 0.0157; x 0.6483; y 0.0102; t_rel 0.9233;
2 r 12.8981; phi 0.0164; x 0.6448; y 0.0106; t_rel 0.9206;
2 r 12.8291; phi 0.0170; x 0.6414; y 0.0109; t_rel 0.9179;
