2 r 15.0000; phi 1.0472; x 0.3750; y 0.6495; t_rel 1.0000;
2 r 14.9654; phi 1.0468; x 0.3744; y 0.6479; t_rel 0.9985;
2 r 14.4720; phi 1.0410; x 0.3657; y 0.6244; t_rel 0.9778;
2 r 14.0104; phi 1.0353; x 0.3575; y 0.6024; t_rel 0.9582;
2 r 13.5777; phi 1.0295; x 0.3498; y 0.5818; t_rel 0.9398;
2 r 13.1713; phi 1.0237; x 0.3426; y 0.5625; t_rel 0.9224;
2 r 12.7888; phi 1.0180; x 0.3358; y 0.5442; t_rel 0.9060;
2 r 12.4282; phi 1.0122; x 0.3293; y 0.5270; t_rel 0.8904;
2 r 12.0877; phi 1.0064; x 0.3233; y 0.5107; t_rel 0.8756;
2 r 11.7656; phi 1.0007; x 0.3175; y 0.4952; t_rel 0.8615;
2 r 11.4605; phi 0.9949; x 0.3121; y 0.4806; t_rel 0.8481;
2 r 11.1711; phi 0.9891; x 0.3069; y 0.4667; t_rel 0.8353;
2 r 10.8963; phi 0.9834; x 0.3020; y 0.4535; t_rel 0.8231;
2 r 10.6348; phi 0.9776; x 0.2973; y 0.4409; t_rel 0.8114;
2 r 10.3859; phi 0.9718; x 0.2928; y 0.4289; t_rel 0.8002;
3 r 10.1486; phi 0.9661; x 0.2885; y 0.4174; t_rel 0.7895;
3 r 9.9221; phi 0.9603; x 0.2844; y 0.4065; t_rel 0.7792;
3 r 9.7057; phi 0.9545; x 0.2805; y 0.3960; t_rel 0.7693;
3 r 9.4988; phi 0.9488; x 0.2767; y 0.3860; t_rel 0.7598;
3 r 9.3007; phi 0.9430; x 0.2732; y 0.3764; t_rel 0.7507;
3 r 9.1110; phi 0.9372; x 0.2697; y 0.3671; t_rel 0.7418;
3 r 8.9290; phi 0.9314; x 0.2664; y 0.3583; t_rel 0.7333;
3 r 8.7543; phi 0.9257; x 0.2632; y 0.3497; t_rel 0.7251;
3 r 8.5865; phi 0.9199; x 0.2601; y 0.3415; t_rel 0.7172;
3 r 8.4252; phi 0.9141; x 0.2572; y 0.3337; t_rel 0.7095;
3 r 8.2700; phi 0.9084; x 0.2543; y 0.3260; t_rel 0.7021;
3 r 8.1206; phi 0.9026; x 0.2516; y 0.3187; t_rel 0.6949;
3 r 7.9767; phi 0.8968; x 0.2489; y 0.3116; t_rel 0.6879;
3 r 7.8379; phi 0.8911; x 0.2463; y 0.3048; t_rel 0.6812;
3 r 7.7041; phi 0.8853; x 0.2439; y 0.2982; t_rel 0.6746;
3 r 7.5749; phi 0.8795; x 0.2415; y 0.2918; t_rel 0.6682;
3 r 7.4501; phi 0.8738; x 0.2391; y 0.2856; t_rel 0.6621;
3 r 7.3294; phi 0.8680; x 0.2369; y 0.2796; t_rel 0.6560;
3 r 7.2128; phi 0.8622; x 0.2347; y 0.2738; t_rel 0.6502;
3 r 7.1000; phi 0.8565; x 0.2326; y 0.2682; t_rel 0.6445;
3 r 6.9907; phi 0.8507; x 0.2305; y 0.2628; t_rel 0.6389;
3 r 6.8849; phi 0.8449; x 0.2285; y 0.2575; t_rel 0.6335;
3 r 6.7824; phi 0.8392; x 0.2266; y 0.2523; t_rel 0.6283;
3 r 6.6831; phi 0.8334; x 0.2247; y 0.2473; t_rel 0.6231;
3 r 6.5867; phi 0.8276; x 0.2228; y 0.2425; t_rel 0.6181;
3 r 6.4931; phi 0.8219; x 0.2210; y 0.2378; t_rel 0.6132;
3 r 6.4023; phi 0.8161; x 0.2193; y 0.2332; t_rel 0.6084;
3 r 6.3141; phi 0.8103; x 0.2176; y 0.2287; t_rel 0.6037;
3 r 6.2284; phi 0.8045; x 0.2160; y 0.2244; t_rel 0.5991;
3 r 6.1452; phi 0.7988; x 0.2143; y 0.2202; t_rel 0.5947;
3 r 6.0642; phi 0.7930; x 0.2128; y 0.2160; t_rel 0.5903;
3 r 5.9854; phi 0.7872; x 0.2112; y 0.2120; t_rel 0.5860;
3 r 5.9087; phi 0.7815; x 0.2097; y 0.2081; t_rel 0.5818;
3 r 5.8341; phi 0.7757; x 0.2083; y 0.2043; t_rel 0.5777;
3 r 5.7614; phi 0.7699; x 0.2068; y 0.2005; t_rel 0.5736;
4 r 5.6906; phi 0.7642; x 0.2054; y 0.1969; t_rel 0.5697;
4 r 5.6216; phi 0.7584; x 0.2040; y 0.1933; t_rel 0.5658;
4 r 5.5544; phi 0.7526; x 0.2027; y 0.1898; t_rel 0.5620;
4 r 5.4888; phi 0.7469; x 0.2014; y 0.1864; t_rel 0.5582;
4 r 5.4248; phi 0.7411; x 0.2001; y 0.1831; t_rel 0.5546;
4 r 5.3624; phi 0.7353; x 0.1988; y 0.1799; t_rel 0.5510;
4 r 5.3015; phi 0.7296; x 0.1976; y 0.1767; t_rel 0.5474;
4 r 5.2420; phi 0.7238; x 0.1964; y 0.1736; t_rel 0.5439;
4 r 5.1839; phi 0.7180; x 0.1952; y 0.1705; t_rel 0.5405;
4 r 5.1272; phi 0.7123; x 0.1940; y 0.1675; t_rel 0.5371;
4 r 5.0718; phi 0.7065; x 0.1929; y 0.1646; t_rel 0.5338;
4 r 5.0176; phi 0.7007; x 0.1918; y 0.1618; t_rel 0.5305;
4 r 4.9646; phi 0.6950; x 0.1907; y 0.1590; t_rel 0.5273;
4 r 4.9128; phi 0.6892; x 0.1896; y 0.1562; t_rel 0.5242;
4 r 4.8621; phi 0.6834; x 0.1885; y 0.1535; t_rel 0.5210;
4 r 4.8125; phi 0.6777; x 0.1875; y 0.1509; t_rel 0.5180;
4 r 4.7640; phi 0.6719; x 0.1864; y 0.1483; t_rel 0.5149;
4 r 4.7165; phi 0.6661; x 0.1854; y 0.1457; t_rel 0.5119;
4 r 4.6700; phi 0.6603; x 0.1844; y 0.1432; t_rel 0.5090;
4 r 4.6245; phi 0.6546; x 0.1834; y 0.1408; t_rel 0.5061;
4 r 4.5799; phi 0.6488; x 0.1825; y 0.1384; t_rel 0.5032;
4 r 4.5362; phi 0.6430; x 0.1815; y 0.1360; t_rel 0.5004;
4 r 4.4934; phi 0.6373; x 0.1806; y 0.1337; t_rel 0.4976;
4 r 4.4514; phi 0.6315; x 0.1796; y 0.1314; t_rel 0.4948;
4 r 4.4102; phi 0.6257; x 0.1787; y 0.1292; t_rel 0.4921;
4 r 4.3699; phi 0.6200; x 0.1778; y 0.1269; t_rel 0.4894;
4 r 4.3303; phi 0.6142; x 0.1769; y 0.1248; t_rel 0.4867;
4 r 4.2915; phi 0.6084; x 0.1761; y 0.1226; t_rel 0.4841;
4 r 4.2534; phi 0.6027; x 0.1752; y 0.1206; t_rel 0.4815;
4 r 4.2160; phi 0.5969; x 0.1744; y 0.1185; t_rel 0.4789;
4 r 4.1793; phi 0.5911; x 0.1735; y 0.1165; t_rel 0.4764;
4 r 4.1433; phi 0.5854; x 0.1727; y 0.1145; t_rel 0.4738;
4 r 4.1080; phi 0.5796; x 0.1719; y 0.1125; t_rel 0.4713;
4 r 4.0732; phi 0.5738; x 0.1710; y 0.1106; t_rel 0.4689;
4 r 4.0391; phi 0.5681; x 0.1702; y 0.1087; t_rel 0.4664;
4 r 4.0056; phi 0.5623; x 0.1694; y 0.1068; t_rel 0.4640;
4 r 3.9727; phi 0.5565; x 0.1687; y 0.1049; t_rel 0.4616;
4 r 3.9403; phi 0.5508; x 0.1679; y 0.1031; t_rel 0.4592;
4 r 3.9085; phi 0.5450; x 0.1671; y 0.1013; t_rel 0.4569;
4 r 3.8773; phi 0.5392; x 0.1664; y 0.0995; t_rel 0.4545;
4 r 3.8465; phi 0.5334; x 0.1656; y 0.0978; t_rel 0.4522;
4 r 3.8163; phi 0.5277; x 0.1649; y 0.0961; t_rel 0.4499;
4 r 3.7866; phi 0.5219; x 0.1641; y 0.0944; t_rel 0.4476;
4 r 3.7573; phi 0.5161; x 0.1634; y 0.0927; t_rel 0.4454;
5 r 3.7286; phi 0.5104; x 0.1627; y 0.0911; t_rel 0.4431;
5 r 3.7003; phi 0.5046; x 0.1620; y 0.0894; t_rel 0.4409;
5 r 3.6724; phi 0.4988; x 0.1612; y 0.0878; t_rel 0.4387;
5 r 3.6450; phi 0.4931; x 0.1605; y 0.0863; t_rel 0.4365;
5 r 3.6180; phi 0.4873; x 0.1598; y 0.0847; t_rel 0.4343;
5 r 3.5914; phi 0.4815; x 0.1592; y 0.0832; t_rel 0.4321;
5 r 3.5652; phi 0.4758; x 0.1585; y 0.0816; t_rel 0.4299;
5 r 3.5395; phi 0.4700; x 0.1578; y 0.0801; t_rel 0.4278;
5 r 3.5141; phi 0.4642; x 0.1571; y 0.0787; t_rel 0.4257;
5 r 3.4891; phi 0.4585; x 0.1564; y 0.0772; t_rel 0.4235;
5 r 3.4644; phi 0.4527; x 0.1558; y 0.0758; t_rel 0.4214;
5 r 3.4402; phi 0.4469; x 0.1551; y 0.0743; t_rel 0.4193;
5 r 3.4162; phi 0.4412; x 0.1545; y 0.0729; t_rel 0.4172;
5 r 3.3927; phi 0.4354; x 0.1538; y 0.0715; t_rel 0.4152;
5 r 3.3694; phi 0.4296; x 0.1532; y 0.0702; t_rel 0.4131;
5 r 3.3465; phi 0.4239; x 0.1525; y 0.0688; t_rel 0.4110;
