2 r 13.2884; phi -0.0472; x 0.6637; y -0.0313; t_rel 0.9403;
2 r 13.2684; phi -0.0478; x 0.6627; y -0.0317; t_rel 0.9396;
2 r 13.2485; phi -0.0484; x 0.6616; y -0.0321; t_rel 0.9389;
2 r 13.2286; phi -0.0490; x 0.6606; y -0.0324; t_rel 0.9382;
2 r 13.2087; phi -0.0497; x 0.6596; y -0.0328; t_rel 0.9375;
2 r 13.1889; phi -0.0503; x 0.6586; y -0.0332; t_rel 0.9368;
2 r 13.1692; phi -0.0509; x 0.6576; y -0.0335; t_rel 0.9361;
2 r 13.1496; phi -0.0516; x 0.6566; y -0.0339; t_rel 0.9354;
2 r 13.1300; phi -0.0522; x 0.6556; y -0.0342; t_rel 0.9347;
2 r 13.1105; phi -0.0528; x 0.6546; y -0.0346; t_rel 0.9340;
2 r 13.0910; phi -0.0534; x 0.6536; y -0.0350; t_rel 0.9333;
2 r 13.0716; phi -0.0541; x 0.6526; y -0.0353; t_rel 0.9326;
2 r 13.0523; phi -0.0547; x 0.6516; y -0.0357; t_rel 0.9319;
2 r 13.0330; phi -0.0553; x 0.6507; y -0.0360; t_rel 0.9313;
2 r 13.0138; phi -0.0560; x 0.6497; y -0.0364; t_rel 0.9306;
2 r 12.9946; phi -0.0566; x 0.6487; y -0.0367; t_rel 0.9299;
2 r 12.9755; phi -0.0572; x 0.6477; y -0.0371; t_rel 0.9292;
2 r 12.9565; phi -0.0578; x 0.6467; y -0.0374; t_rel 0.9285;
2 r 12.9375; phi -0.0585; x 0.6458; y -0.0378; t_rel 0.9279;
2 r 12.9186; phi -0.0591; x 0.6448; y -0.0381; t_rel 0.9272;
2 r 12.8997; phi -0.0597; x 0.6438; y -0.0385; t_rel 0.9265;
2 r 12.8809; phi -0.0604; x 0.6429; y -0.0388; t_rel 0.9259;
2 r 12.8622; phi -0.0610; x 0.6419; y -0.0392; t_rel 0.9252;
2 r 12.8435; phi -0.0616; x 0.6410; y -0.0395; t_rel 0.9245;
2 r 12.8249; phi -0.0622; x 0.6400; y -0.0399; t_rel 0.9239;
2 r 12.8063; phi -0.0629; x 0.6391; y -0.0402; t_rel 0.9232;
2 r 12.7878; phi -0.0635; x 0.6381; y -0.0406; t_rel 0.9226;
2 r 12.7694; phi -0.0641; x 0.6372; y -0.0409; t_rel 0.9219;
2 r 12.7510; phi -0.0648; x 0.6362; y -0.0413; t_rel 0.9213;
2 r 12.7327; phi -0.0654; x 0.6353; y -0.0416; t_rel 0.9206;
2 r 12.7144; phi -0.0660; x 0.6343; y -0.0419; t_rel 0.9200;
2 r 12.6961; phi -0.0666; x 0.6334; y -0.0423; t_rel 0.9193;
2 r 12.6780; phi -0.0673; x 0.6325; y -0.0426; t_rel 0.9187;
2 r 12.6599; phi -0.0679; x 0.6315; y -0.0429; t_rel 0.9180;
2 r 12.6418; phi -0.0685; x 0.6306; y -0.0433; t_rel 0.9174;
2 r 12.6238; phi -0.0692; x 0.6297; y -0.0436; t_rel 0.9167;
2 r 12.6059; phi -0.0698; x 0.6288; y -0.0439; t_rel 0.9161;
2 r 12.5880; phi -0.0704; x 0.6278; y -0.0443; t_rel 0.9155;
2 r 12.5701; phi -0.0710; x 0.6269; y -0.0446; t_rel 0.9148;
2 r 12.5524; phi -0.0717; x 0.6260; y -0.0449; t_rel 0.9142;
2 r 12.5346; phi -0.0723; x 0.6251; y -0.0453; t_rel 0.9136;
2 r 12.5169; phi -0.0729; x 0.6242; y -0.0456; t_rel 0.9129;
2 r 12.4993; phi -0.0736; x 0.6233; y -0.0459; t_rel 0.9123;
2 r 12.4818; phi -0.0742; x 0.6224; y -0.0463; t_rel 0.9117;
2 r 12.4642; phi -0.0748; x 0.6215; y -0.0466; t_rel 0.9110;
2 r 12.4468; phi -0.0754; x 0.6206; y -0.0469; t_rel 0.9104;
2 r 12.4294; phi -0.0761; x 0.6197; y -0.0472; t_rel 0.9098;
2 r 12.4120; phi -0.0767; x 0.6188; y -0.0475; t_rel 0.9092;
2 r 12.3947; phi -0.0773; x 0.6179; y -0.0479; t_rel 0.9086;
2 r 12.3775; phi -0.0780; x 0.6170; y -0.0482; t_rel 0.9080;
2 r 12.3602; phi -0.0786; x 0.6161; y -0.0485; t_rel 0.9073;
2 r 12.3431; phi -0.0792; x 0.6152; y -0.0488; t_rel 0.9067;
2 r 12.3260; phi -0.0798; x 0.6143; y -0.0492; t_rel 0.9061;
2 r 12.3089; phi -0.0805; x 0.6135; y -0.0495; t_rel 0.9055;
2 r 12.2920; phi -0.0811; x 0.6126; y -0.0498; t_rel 0.9049;
2 r 12.2750; phi -0.0817; x 0.6117; y -0.0501; t_rel 0.9043;
2 r 12.2581; phi -0.0824; x 0.6108; y -0.0504; t_rel 0.9037;
2 r 12.2413; phi -0.0830; x 0.6100; y -0.0507; t_rel 0.9031;
2 r 12.2245; phi -0.0836; x 0.6091; y -0.0510; t_rel 0.9025;
2 r 12.2077; phi -0.0842; x 0.6082; y -0.0514; t_rel 0.9019;
2 r 12.1910; phi -0.0849; x 0.6074; y -0.0517; t_rel 0.9013;
2 r 12.1744; phi -0.0855; x 0.6065; y -0.0520; t_rel 0.9007;
2 r 12.1578; phi -0.0861; x 0.6056; y -0.0523; t_rel 0.9001;
2 r 12.1412; phi -0.0868; x 0.6048; y -0.0526; t_rel 0.8995;
2 r 12.1247; phi -0.0874; x 0.6039; y -0.0529; t_rel 0.8989;
