2 r 15.0000; phi 1.0472; x 0.3750; y 0.6495; t_rel 1.0000;
2 r 14.9836; phi 1.0468; x 0.3748; y 0.6487; t_rel 0.9994;
2 r 14.9500; phi 1.0460; x 0.3745; y 0.6469; t_rel 0.9982;
2 r 14.9166; phi 1.0452; x 0.3742; y 0.6452; t_rel 0.9971;
2 r 14.8832; phi 1.0444; x 0.3739; y 0.6434; t_rel 0.9959;
2 r 14.8501; phi 1.0436; x 0.3736; y 0.6417; t_rel 0.9947;
2 r 14.8171; phi 1.0428; x 0.3733; y 0.6400; t_rel 0.9936;
2 r 14.7843; phi 1.0420; x 0.3729; y 0.6382; t_rel 0.9924;
2 r 14.7516; phi 1.0412; x 0.3726; y 0.6365; t_rel 0.9913;
2 r 14.7190; phi 1.0404; x 0.3723; y 0.6348; t_rel 0.9901;
2 r 14.6867; phi 1.0396; x 0.3720; y 0.6331; t_rel 0.9890;
2 r 14.6544; phi 1.0388; x 0.3717; y 0.6314; t_rel 0.9878;
2 r 14.6223; phi 1.0380; x 0.3714; y 0.6298; t_rel 0.9867;
2 r 14.5904; phi 1.0372; x 0.3711; y 0.6281; t_rel 0.9856;
2 r 14.5586; phi 1.0364; x 0.3708; y 0.6264; t_rel 0.9845;
2 r 14.5270; phi 1.0356; x 0.3705; y 0.6248; t_rel 0.9833;
2 r 14.4955; phi 1.0348; x 0.3702; y 0.6231; t_rel 0.9822;
2 r 14.4641; phi 1.0340; x 0.3699; y 0.6215; t_rel 0.9811;
2 r 14.4329; phi 1.0332; x 0.3696; y 0.6198; t_rel 0.9800;
2 r 14.4018; phi 1.0323; x 0.3693; y 0.6182; t_rel 0.9789;
2 r 14.3709; phi 1.0315; x 0.3690; y 0.6166; t_rel 0.9778;
2 r 14.3401; phi 1.0307; x 0.3687; y 0.6150; t_rel 0.9767;
2 r 14.3094; phi 1.0299; x 0.3684; y 0.6134; t_rel 0.9757;
2 r 14.2789; phi 1.0291; x 0.3681; y 0.6117; t_rel 0.9746;
2 r 14.2485; phi 1.0283; x 0.3678; y 0.6102; t_rel 0.9735;
2 r 14.2183; phi 1.0275; x 0.3675; y 0.6086; t_rel 0.9724;
2 r 14.1882; phi 1.0267; x 0.3672; y 0.6070; t_rel 0.9714;
2 r 14.1582; phi 1.0259; x 0.3669; y 0.6054; t_rel 0.9703;
2 r 14.1284; phi 1.0251; x 0.3666; y 0.6038; t_rel 0.9693;
2 r 14.0987; phi 1.0243; x 0.3663; y 0.6023; t_rel 0.9682;
2 r 14.0691; phi 1.0235; x 0.3661; y 0.6007; t_rel 0.9672;
2 r 14.0397; phi 1.0227; x 0.3658; y 0.5992; t_rel 0.9661;
2 r 14.0103; phi 1.0219; x 0.3655; y 0.5976; t_rel 0.9651;
2 r 13.9812; phi 1.0211; x 0.3652; y 0.5961; t_rel 0.9640;
2 r 13.9521; phi 1.0203; x 0.3649; y 0.5945; t_rel 0.9630;
2 r 13.9232; phi 1.0195; x 0.3646; y 0.5930; t_rel 0.9620;
2 r 13.8944; phi 1.0187; x 0.3644; y 0.5915; t_rel 0.9609;
2 r 13.8657; phi 1.0179; x 0.3641; y 0.5900; t_rel 0.9599;
2 r 13.8371; phi 1.0171; x 0.3638; y 0.5885; t_rel 0.9589;
2 r 13.8087; phi 1.0163; x 0.3635; y 0.5870; t_rel 0.9579;
2 r 13.7804; phi 1.0155; x 0.3633; y 0.5855; t_rel 0.9569;
2 r 13.7522; phi 1.0147; x 0.3630; y 0.5840; t_rel 0.9559;
2 r 13.7242; phi 1.0139; x 0.3627; y 0.5825; t_rel 0.9549;
2 r 13.6962; phi 1.0131; x 0.3624; y 0.5810; t_rel 0.9539;
2 r 13.6684; phi 1.0123; x 0.3622; y 0.5796; t_rel 0.9529;
2 r 13.6407; phi 1.0115; x 0.3619; y 0.5781; t_rel 0.9519;
2 r 13.6131; phi 1.0107; x 0.3616; y 0.5766; t_rel 0.9509;
2 r 13.5857; phi 1.0099; x 0.3614; y 0.5752; t_rel 0.9500;
2 r 13.5584; phi 1.0091; x 0.3611; y 0.5737; t_rel 0.9490;
2 r 13.5311; phi 1.0083; x 0.3608; y 0.5723; t_rel 0.9480;
2 r 13.5040; phi 1.0074; x 0.3606; y 0.5709; t_rel 0.9470;
2 r 13.4770; phi 1.0066; x 0.3603; y 0.5694; t_rel 0.9461;
2 r 13.4501; phi 1.0058; x 0.3600; y 0.5680; t_rel 0.9451;
2 r 13.4234; phi 1.0050; x 0.3598; y 0.5666; t_rel 0.9442;
2 r 13.3967; phi 1.0042; x 0.3595; y 0.5652; t_rel 0.9432;
2 r 13.3702; phi 1.0034; x 0.3593; y 0.5638; t_rel 0.9423;
2 r 13.3437; phi 1.0026; x 0.3590; y 0.5624; t_rel 0.9413;
2 r 13.3174; phi 1.0018; x 0.3587; y 0.5610; t_rel 0.9404;
2 r 13.2912; phi 1.0010; x 0.3585; y 0.5596; t_rel 0.9394;
2 r 13.2651; phi 1.0002; x 0.3582; y 0.5582; t_rel 0.9385;
2 r 13.2391; phi 0.9994; x 0.3580; y 0.5568; t_rel 0.9376;
2 r 13.2132; phi 0.9986; x 0.3577; y 0.5554; t_rel 0.9366;
2 r 13.1875; phi 0.9978; x 0.3575; y 0.5541; t_rel 0.9357;
2 r 13.1618; phi 0.9970; x 0.3572; y 0.5527; t_rel 0.9348;
2 r 13.1362; phi 0.9962; x 0.3570; y 0.5513; t_rel 0.9339;
2 r 13.1108; phi 0.9954; x 0.3567; y 0.5500; t_rel 0.9330;
2 r 13.0854; phi 0.9946; x 0.3565; y 0.5486; t_rel 0.9320;
2 r 13.0602; phi 0.9938; x 0.3562; y 0.5473; t_rel 0.9311;
2 r 13.0350; phi 0.9930; x 0.3560; y 0.5459; t_rel 0.9302;
2 r 13.0100; phi 0.9922; x 0.3557; y 0.5446; t_rel 0.9293;
2 r 12.9851; phi 0.9914; x 0.3555; y 0.5433; t_rel 0.9284;
2 r 12.9602; phi 0.9906; x 0.3552; y 0.5420; t_rel 0.9275;
