2 r 14.9702; phi 0.0003; x 0.7485; y 0.0002; t_rel 1.0000;
2 r 14.9574; phi 0.0006; x 0.7479; y 0.0005; t_rel 0.9993;
2 r 14.9335; phi 0.0012; x 0.7467; y 0.0009; t_rel 0.9981;
2 r 14.9096; phi 0.0019; x 0.7455; y 0.0014; t_rel 0.9969;
2 r 14.8859; phi 0.0025; x 0.7443; y 0.0019; t_rel 0.9956;
2 r 14.8622; phi 0.0031; x 0.7431; y 0.0023; t_rel 0.9944;
2 r 14.8386; phi 0.0038; x 0.7419; y 0.0028; t_rel 0.9932;
2 r 14.8151; phi 0.0044; x 0.7407; y 0.0033; t_rel 0.9920;
2 r 14.7917; phi 0.0050; x 0.7396; y 0.0037; t_rel 0.9907;
2 r 14.7683; phi 0.0056; x 0.7384; y 0.0042; t_rel 0.9895;
2 r 14.7451; phi 0.0063; x 0.7372; y 0.0046; t_rel 0.9883;
2 r 14.7219; phi 0.0069; x 0.7361; y 0.0051; t_rel 0.9871;
2 r 14.6987; phi 0.0075; x 0.7349; y 0.0055; t_rel 0.9859;
2 r 14.6757; phi 0.0082; x 0.7338; y 0.0060; t_rel 0.9847;
2 r 14.6527; phi 0.0088; x 0.7326; y 0.0064; t_rel 0.9835;
2 r 14.6298; phi 0.0094; x 0.7315; y 0.0069; t_rel 0.9823;
2 r 14.6070; phi 0.0100; x 0.7303; y 0.0073; t_rel 0.9811;
2 r 14.5843; phi 0.0107; x 0.7292; y 0.0078; t_rel 0.9800;
2 r 14.5616; phi 0.0113; x 0.7280; y 0.0082; t_rel 0.9788;
2 r 14.5390; phi 0.0119; x 0.7269; y 0.0087; t_rel 0.9776;
2 r 14.5165; phi 0.0126; x 0.7258; y 0.0091; t_rel 0.9764;
2 r 14.4941; phi 0.0132; x 0.7246; y 0.0096; t_rel 0.9753;
2 r 14.4717; phi 0.0138; x 0.7235; y 0.0100; t_rel 0.9741;
2 r 14.4494; phi 0.0144; x 0.7224; y 0.0104; t_rel 0.9729;
2 r 14.4272; phi 0.0151; x 0.7213; y 0.0109; t_rel 0.9718;
2 r 14.4051; phi 0.0157; x 0.7202; y 0.0113; t_rel 0.9706;
2 r 14.3830; phi 0.0163; x 0.7191; y 0.0117; t_rel 0.9695;
2 r 14.3610; phi 0.0170; x 0.7179; y 0.0122; t_rel 0.9683;
2 r 14.3390; phi 0.0176; x 0.7168; y 0.0126; t_rel 0.9672;
2 r 14.3172; phi 0.0182; x 0.7157; y 0.0130; t_rel 0.9660;
2 r 14.2954; phi 0.0188; x 0.7146; y 0.0135; t_rel 0.9649;
2 r 14.2737; phi 0.0195; x 0.7135; y 0.0139; t_rel 0.9638;
2 r 14.2520; phi 0.0201; x 0.7125; y 0.0143; t_rel 0.9626;
2 r 14.2305; phi 0.0207; x 0.7114; y 0.0147; t_rel 0.9615;
2 r 14.2089; phi 0.0214; x 0.7103; y 0.0152; t_rel 0.9604;
2 r 14.1875; phi 0.0220; x 0.7092; y 0.0156; t_rel 0.9593;
2 r 14.1661; phi 0.0226; x 0.7081; y 0.0160; t_rel 0.9582;
2 r 14.1448; phi 0.0232; x 0.7071; y 0.0164; t_rel 0.9570;
2 r 14.1236; phi 0.0239; x 0.7060; y 0.0169; t_rel 0.9559;
2 r 14.1024; phi 0.0245; x 0.7049; y 0.0173; t_rel 0.9548;
2 r 14.0813; phi 0.0251; x 0.7038; y 0.0177; t_rel 0.9537;
2 r 14.0603; phi 0.0258; x 0.7028; y 0.0181; t_rel 0.9526;
2 r 14.0394; phi 0.0264; x 0.7017; y 0.0185; t_rel 0.9515;
2 r 14.0185; phi 0.0270; x 0.7007; y 0.0189; t_rel 0.9504;
2 r 13.9976; phi 0.0276; x 0.6996; y 0.0193; t_rel 0.9493;
2 r 13.9769; phi 0.0283; x 0.6986; y 0.0198; t_rel 0.9482;
2 r 13.9562; phi 0.0289; x 0.6975; y 0.0202; t_rel 0.9472;
2 r 13.9355; phi 0.0295; x 0.6965; y 0.0206; t_rel 0.9461;
2 r 13.9150; phi 0.0302; x 0.6954; y 0.0210; t_rel 0.9450;
2 r 13.8945; phi 0.0308; x 0.6944; y 0.0214; t_rel 0.9439;
2 r 13.8740; phi 0.0314; x 0.6934; y 0.0218; t_rel 0.9429;
2 r 13.8537; phi 0.0320; x 0.6923; y 0.0222; t_rel 0.9418;
2 r 13.8334; phi 0.0327; x 0.6913; y 0.0226; t_rel 0.9407;
2 r 13.8131; phi 0.0333; x 0.6903; y 0.0230; t_rel 0.9397;
2 r 13.7929; phi 0.0339; x 0.6892; y 0.0234; t_rel 0.9386;
2 r 13.7728; phi 0.0346; x 0.6882; y 0.0238; t_rel 0.9375;
2 r 13.7528; phi 0.0352; x 0.6872; y 0.0242; t_rel 0.9365;
2 r 13.7328; phi 0.0358; x 0.6862; y 0.0246; t_rel 0.9354;
2 r 13.7128; phi 0.0364; x 0.6852; y 0.0250; t_rel 0.9344;
2 r 13.6930; phi 0.0371; x 0.6842; y 0.0254; t_rel 0.9333;
2 r 13.6732; phi 0.0377; x 0.6832; y 0.0258; t_rel 0.9323;
2 r 13.6534; phi 0.0383; x 0.6822; y 0.0262; t_rel 0.9313;
2 r 13.6337; phi 0.0390; x 0.6812; y 0.0265; t_rel 0.9302;
2 r 13.6141; phi 0.0396; x 0.6802; y 0.0269; t_rel 0.9292;
2 r 13.5945; phi 0.0402; x 0.6792; y 0.0273; t_rel 0.9282;
2 r 13.5750; phi 0.0408; x 0.6782; y 0.0277; t_rel 0.9271;
2 r 13.5556; phi 0.0415; x 0.6772; y 0.0281; t_rel 0.9261;
2 r 13.5362; phi 0.0421; x 0.6762; y 0.0285; t_rel 0.9251;
2 r 13.5169; phi 0.0427; x 0.6752; y 0.0289; t_rel 0.9241;
2 r 13.4976; phi 0.0433; x 0.6742; y 0.0292; t_rel 0.9231;
2 r 13.4784; phi 0.0440; x 0.6733; y 0.0296; t_rel 0.9220;
2 r 13.4593; phi 0.0446; x 0.6723; y 0.0300; t_rel 0.9210;
2 r 13.4402; phi 0.0452; x 0.6713; y 0.0304; t_rel 0.9200;
