2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9988; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9526; phi -0.0006; x 0.7476; y -0.0005; t_rel 0.9983;
2 r 14.9067; phi -0.0013; x 0.7453; y -0.0010; t_rel 0.9967;
2 r 14.8610; phi -0.0019; x 0.7431; y -0.0014; t_rel 0.9950;
2 r 14.8157; phi -0.0025; x 0.7408; y -0.0019; t_rel 0.9934;
2 r 14.7706; phi -0.0032; x 0.7385; y -0.0023; t_rel 0.9918;
2 r 14.7258; phi -0.0038; x 0.7363; y -0.0028; t_rel 0.9902;
2 r 14.6813; phi -0.0044; x 0.7341; y -0.0032; t_rel 0.9886;
2 r 14.6371; phi -0.0050; x 0.7318; y -0.0037; t_rel 0.9870;
2 r 14.5931; phi -0.0057; x 0.7296; y -0.0041; t_rel 0.9854;
2 r 14.5494; phi -0.0063; x 0.7275; y -0.0046; t_rel 0.9839;
2 r 14.5060; phi -0.0069; x 0.7253; y -0.0050; t_rel 0.9823;
2 r 14.4628; phi -0.0076; x 0.7231; y -0.0055; t_rel 0.9808;
2 r 14.4199; phi -0.0082; x 0.7210; y -0.0059; t_rel 0.9792;
2 r 14.3773; phi -0.0088; x 0.7188; y -0.0063; t_rel 0.9777;
2 r 14.3349; phi -0.0095; x 0.7167; y -0.0068; t_rel 0.9762;
2 r 14.2927; phi -0.0101; x 0.7146; y -0.0072; t_rel 0.9746;
2 r 14.2508; phi -0.0107; x 0.7125; y -0.0076; t_rel 0.9731;
2 r 14.2092; phi -0.0113; x 0.7104; y -0.0081; t_rel 0.9716;
2 r 14.1678; phi -0.0120; x 0.7083; y -0.0085; t_rel 0.9701;
2 r 14.1267; phi -0.0126; x 0.7063; y -0.0089; t_rel 0.9687;
2 r 14.0857; phi -0.0132; x 0.7042; y -0.0093; t_rel 0.9672;
2 r 14.0451; phi -0.0139; x 0.7022; y -0.0097; t_rel 0.9657;
2 r 14.0047; phi -0.0145; x 0.7002; y -0.0101; t_rel 0.9642;
2 r 13.9645; phi -0.0151; x 0.6981; y -0.0106; t_rel 0.9628;
2 r 13.9245; phi -0.0157; x 0.6961; y -0.0110; t_rel 0.9614;
2 r 13.8848; phi -0.0164; x 0.6941; y -0.0114; t_rel 0.9599;
2 r 13.8453; phi -0.0170; x 0.6922; y -0.0118; t_rel 0.9585;
2 r 13.8060; phi -0.0176; x 0.6902; y -0.0122; t_rel 0.9571;
2 r 13.7670; phi -0.0183; x 0.6882; y -0.0126; t_rel 0.9557;
2 r 13.7282; phi -0.0189; x 0.6863; y -0.0130; t_rel 0.9542;
2 r 13.6896; phi -0.0195; x 0.6843; y -0.0134; t_rel 0.9528;
2 r 13.6512; phi -0.0201; x 0.6824; y -0.0138; t_rel 0.9515;
2 r 13.6131; phi -0.0208; x 0.6805; y -0.0141; t_rel 0.9501;
2 r 13.5751; phi -0.0214; x 0.6786; y -0.0145; t_rel 0.9487;
2 r 13.5374; phi -0.0220; x 0.6767; y -0.0149; t_rel 0.9473;
2 r 13.4999; phi -0.0227; x 0.6748; y -0.0153; t_rel 0.9460;
2 r 13.4626; phi -0.0233; x 0.6729; y -0.0157; t_rel 0.9446;
2 r 13.4255; phi -0.0239; x 0.6711; y -0.0161; t_rel 0.9433;
2 r 13.3886; phi -0.0245; x 0.6692; y -0.0164; t_rel 0.9419;
2 r 13.3520; phi -0.0252; x 0.6674; y -0.0168; t_rel 0.9406;
2 r 13.3155; phi -0.0258; x 0.6656; y -0.0172; t_rel 0.9392;
2 r 13.2792; phi -0.0264; x 0.6637; y -0.0176; t_rel 0.9379;
2 r 13.2432; phi -0.0271; x 0.6619; y -0.0179; t_rel 0.9366;
2 r 13.2073; phi -0.0277; x 0.6601; y -0.0183; t_rel 0.9353;
2 r 13.1716; phi -0.0283; x 0.6583; y -0.0187; t_rel 0.9340;
2 r 13.1362; phi -0.0290; x 0.6565; y -0.0190; t_rel 0.9327;
2 r 13.1009; phi -0.0296; x 0.6548; y -0.0194; t_rel 0.9314;
2 r 13.0658; phi -0.0302; x 0.6530; y -0.0197; t_rel 0.9301;
2 r 13.0309; phi -0.0308; x 0.6512; y -0.0201; t_rel 0.9289;
2 r 12.9962; phi -0.0315; x 0.6495; y -0.0204; t_rel 0.9276;
2 r 12.9617; phi -0.0321; x 0.6478; y -0.0208; t_rel 0.9263;
2 r 12.9274; phi -0.0327; x 0.6460; y -0.0212; t_rel 0.9251;
2 r 12.8932; phi -0.0334; x 0.6443; y -0.0215; t_rel 0.9238;
2 r 12.8593; phi -0.0340; x 0.6426; y -0.0218; t_rel 0.9226;
2 r 12.8255; phi -0.0346; x 0.6409; y -0.0222; t_rel 0.9213;
2 r 12.7919; phi -0.0352; x 0.6392; y -0.0225; t_rel 0.9201;
2 r 12.7585; phi -0.0359; x 0.6375; y -0.0229; t_rel 0.9189;
2 r 12.7252; phi -0.0365; x 0.6358; y -0.0232; t_rel 0.9177;
2 r 12.6922; phi -0.0371; x 0.6342; y -0.0236; t_rel 0.9164;
2 r 12.6593; phi -0.0378; x 0.6325; y -0.0239; t_rel 0.9152;
2 r 12.6266; phi -0.0384; x 0.6309; y -0.0242; t_rel 0.9140;
2 r 12.5940; phi -0.0390; x 0.6292; y -0.0246; t_rel 0.9128;
2 r 12.5617; phi -0.0396; x 0.6276; y -0.0249; t_rel 0.9116;
2 r 12.5295; phi -0.0403; x 0.6260; y -0.0252; t_rel 0.9105;
2 r 12.4974; phi -0.0409; x 0.6243; y -0.0256; t_rel 0.9093;
2 r 12.4656; phi -0.0415; x 0.6227; y -0.0259; t_rel 0.9081;
2 r 12.4339; phi -0.0422; x 0.6211; y -0.0262; t_rel 0.9069;
2 r 12.4023; phi -0.0428; x 0.6195; y -0.0265; t_rel 0.9058;
2 r 12.3710; phi -0.0434; x 0.6180; y -0.0268; t_rel 0.9046;
2 r 12.3398; phi -0.0441; x 0.6164; y -0.0272; t_rel 0.9035;
2 r 12.3087; phi -0.0447; x 0.6148; y -0.0275; t_rel 0.9023;
2 r 12.2778; phi -0.0453; x 0.6133; y -0.0278; t_rel 0.9012;
2 r 12.2471; phi -0.0459; x 0.6117; y -0.0281; t_rel 0.9000;
2 r 12.2165; phi -0.0466; x 0.6102; y -0.0284; t_rel 0.8989;
2 r 12.1861; phi -0.0472; x 0.6086; y -0.0287; t_rel 0.8978;
2 r 12.1558; phi -0.0478; x 0.6071; y -0.0291; t_rel 0.8966;
2 r 12.1257; phi -0.0485; x 0.6056; y -0.0294; t_rel 0.8955;
2 r 12.0958; phi -0.0491; x 0.6041; y -0.0297; t_rel 0.8944;
2 r 12.0660; phi -0.0497; x 0.6026; y -0.0300; t_rel 0.8933;
2 r 12.0363; phi -0.0503; x 0.6011; y -0.0303; t_rel 0.8922;
2 r 12.0068; phi -0.0510; x 0.5996; y -0.0306; t_rel 0.8911;
2 r 11.9775; phi -0.0516; x 0.5981; y -0.0309; t_rel 0.8900;
2 r 11.9482; phi -0.0522; x 0.5966; y -0.0312; t_rel 0.8889;
2 r 11.9192; phi -0.0529; x 0.5951; y -0.0315; t_rel 0.8879;
2 r 11.8903; phi -0.0535; x 0.5937; y -0.0318; t_rel 0.8868;
2 r 11.8615; phi -0.0541; x 0.5922; y -0.0321; t_rel 0.8857;
2 r 11.8328; phi -0.0547; x 0.5908; y -0.0324; t_rel 0.8846;
2 r 11.8044; phi -0.0554; x 0.5893; y -0.0327; t_rel 0.8836;
2 r 11.7760; phi -0.0560; x 0.5879; y -0.0330; t_rel 0.8825;
2 r 11.7478; phi -0.0566; x 0.5864; y -0.0332; t_rel 0.8815;
2 r 11.7197; phi -0.0573; x 0.5850; y -0.0335; t_rel 0.8804;
2 r 11.6918; phi -0.0579; x 0.5836; y -0.0338; t_rel 0.8794;
2 r 11.6640; phi -0.0585; x 0.5822; y -0.0341; t_rel 0.8783;
2 r 11.6363; phi -0.0591; x 0.5808; y -0.0344; t_rel 0.8773;
2 r 11.6088; phi -0.0598; x 0.5794; y -0.0347; t_rel 0.8763;
2 r 11.5814; phi -0.0604; x 0.5780; y -0.0350; t_rel 0.8753;
2 r 11.5541; phi -0.0610; x 0.5766; y -0.0352; t_rel 0.8742;
2 r 11.5270; phi -0.0617; x 0.5753; y -0.0355; t_rel 0.8732;
2 r 11.5000; phi -0.0623; x 0.5739; y -0.0358; t_rel 0.8722;
2 r 11.4731; phi -0.0629; x 0.5725; y -0.0361; t_rel 0.8712;
2 r 11.4463; phi -0.0636; x 0.5712; y -0.0363; t_rel 0.8702;
2 r 11.4197; phi -0.0642; x 0.5698; y -0.0366; t_rel 0.8692;
2 r 11.3932; phi -0.0648; x 0.5685; y -0.0369; t_rel 0.8682;
2 r 11.3669; phi -0.0654; x 0.5671; y -0.0372; t_rel 0.8672;
2 r 11.3406; phi -0.0661; x 0.5658; y -0.0374; t_rel 0.8662;
2 r 11.3145; phi -0.0667; x 0.5645; y -0.0377; t_rel 0.8652;
2 r 11.2885; phi -0.0673; x 0.5631; y -0.0380; t_rel 0.8643;
2 r 11.2627; phi -0.0680; x 0.5618; y -0.0382; t_rel 0.8633;
2 r 11.2369; phi -0.0686; x 0.5605; y -0.0385; t_rel 0.8623;
2 r 11.2113; phi -0.0692; x 0.5592; y -0.0388; t_rel 0.8614;
2 r 11.1858; phi -0.0698; x 0.5579; y -0.0390; t_rel 0.8604;
2 r 11.1604; phi -0.0705; x 0.5566; y -0.0393; t_rel 0.8594;
2 r 11.1351; phi -0.0711; x 0.5553; y -0.0396; t_rel 0.8585;
2 r 11.1099; phi -0.0717; x 0.5541; y -0.0398; t_rel 0.8575;
2 r 11.0849; phi -0.0724; x 0.5528; y -0.0401; t_rel 0.8566;
2 r 11.0600; phi -0.0730; x 0.5515; y -0.0403; t_rel 0.8556;
2 r 11.0352; phi -0.0736; x 0.5503; y -0.0406; t_rel 0.8547;
2 r 11.0105; phi -0.0742; x 0.5490; y -0.0408; t_rel 0.8538;
2 r 10.9859; phi -0.0749; x 0.5478; y -0.0411; t_rel 0.8528;
2 r 10.9614; phi -0.0755; x 0.5465; y -0.0413; t_rel 0.8519;
2 r 10.9371; phi -0.0761; x 0.5453; y -0.0416; t_rel 0.8510;
2 r 10.9128; phi -0.0768; x 0.5440; y -0.0418; t_rel 0.8501;
2 r 10.8887; phi -0.0774; x 0.5428; y -0.0421; t_rel 0.8492;
2 r 10.8647; phi -0.0780; x 0.5416; y -0.0423; t_rel 0.8482;
2 r 10.8408; phi -0.0786; x 0.5404; y -0.0426; t_rel 0.8473;
2 r 10.8170; phi -0.0793; x 0.5391; y -0.0428; t_rel 0.8464;
2 r 10.7933; phi -0.0799; x 0.5379; y -0.0431; t_rel 0.8455;
2 r 10.7697; phi -0.0805; x 0.5367; y -0.0433; t_rel 0.8446;
2 r 10.7462; phi -0.0812; x 0.5355; y -0.0436; t_rel 0.8437;
2 r 10.7228; phi -0.0818; x 0.5343; y -0.0438; t_rel 0.8429;
2 r 10.6995; phi -0.0824; x 0.5332; y -0.0440; t_rel 0.8420;
2 r 10.6764; phi -0.0831; x 0.5320; y -0.0443; t_rel 0.8411;
2 r 10.6533; phi -0.0837; x 0.5308; y -0.0445; t_rel 0.8402;
2 r 10.6303; phi -0.0843; x 0.5296; y -0.0448; t_rel 0.8393;
2 r 10.6075; phi -0.0849; x 0.5285; y -0.0450; t_rel 0.8385;
2 r 10.5847; phi -0.0856; x 0.5273; y -0.0452; t_rel 0.8376;
2 r 10.5620; phi -0.0862; x 0.5261; y -0.0455; t_rel 0.8367;
2 r 10.5395; phi -0.0868; x 0.5250; y -0.0457; t_rel 0.8359;
2 r 10.5170; phi -0.0875; x 0.5238; y -0.0459; t_rel 0.8350;
2 r 10.4946; phi -0.0881; x 0.5227; y -0.0462; t_rel 0.8341;
2 r 10.4724; phi -0.0887; x 0.5216; y -0.0464; t_rel 0.8333;
2 r 10.4502; phi -0.0893; x 0.5204; y -0.0466; t_rel 0.8324;
2 r 10.4281; phi -0.0900; x 0.5193; y -0.0468; t_rel 0.8316;
2 r 10.4061; phi -0.0906; x 0.5182; y -0.0471; t_rel 0.8308;
2 r 10.3843; phi -0.0912; x 0.5171; y -0.0473; t_rel 0.8299;
2 r 10.3625; phi -0.0919; x 0.5159; y -0.0475; t_rel 0.8291;
2 r 10.3408; phi -0.0925; x 0.5148; y -0.0478; t_rel 0.8283;
2 r 10.3192; phi -0.0931; x 0.5137; y -0.0480; t_rel 0.8274;
2 r 10.2977; phi -0.0937; x 0.5126; y -0.0482; t_rel 0.8266;
2 r 10.2763; phi -0.0944; x 0.5115; y -0.0484; t_rel 0.8258;
2 r 10.2549; phi -0.0950; x 0.5104; y -0.0486; t_rel 0.8250;
2 r 10.2337; phi -0.0956; x 0.5093; y -0.0489; t_rel 0.8241;
2 r 10.2126; phi -0.0963; x 0.5083; y -0.0491; t_rel 0.8233;
2 r 10.1915; phi -0.0969; x 0.5072; y -0.0493; t_rel 0.8225;
2 r 10.1705; phi -0.0975; x 0.5061; y -0.0495; t_rel 0.8217;
2 r 10.1497; phi -0.0981; x 0.5050; y -0.0497; t_rel 0.8209;
2 r 10.1289; phi -0.0988; x 0.5040; y -0.0499; t_rel 0.8201;
2 r 10.1082; phi -0.0994; x 0.5029; y -0.0502; t_rel 0.8193;
2 r 10.0876; phi -0.1000; x 0.5019; y -0.0504; t_rel 0.8185;
2 r 10.0671; phi -0.1007; x 0.5008; y -0.0506; t_rel 0.8177;
2 r 10.0466; phi -0.1013; x 0.4998; y -0.0508; t_rel 0.8169;
2 r 10.0263; phi -0.1019; x 0.4987; y -0.0510; t_rel 0.8161;
2 r 10.0060; phi -0.1026; x 0.4977; y -0.0512; t_rel 0.8153;
2 r 9.9858; phi -0.1032; x 0.4966; y -0.0514; t_rel 0.8146;
2 r 9.9657; phi -0.1038; x 0.4956; y -0.0516; t_rel 0.8138;
2 r 9.9457; phi -0.1044; x 0.4946; y -0.0518; t_rel 0.8130;
2 r 9.9258; phi -0.1051; x 0.4936; y -0.0520; t_rel 0.8122;
2 r 9.9059; phi -0.1057; x 0.4925; y -0.0523; t_rel 0.8115;
2 r 9.8862; phi -0.1063; x 0.4915; y -0.0525; t_rel 0.8107;
2 r 9.8665; phi -0.1070; x 0.4905; y -0.0527; t_rel 0.8099;
2 r 9.8469; phi -0.1076; x 0.4895; y -0.0529; t_rel 0.8092;
2 r 9.8273; phi -0.1082; x 0.4885; y -0.0531; t_rel 0.8084;
2 r 9.8079; phi -0.1088; x 0.4875; y -0.0533; t_rel 0.8077;
2 r 9.7885; phi -0.1095; x 0.4865; y -0.0535; t_rel 0.8069;
2 r 9.7692; phi -0.1101; x 0.4855; y -0.0537; t_rel 0.8062;
2 r 9.7500; phi -0.1107; x 0.4845; y -0.0539; t_rel 0.8054;
2 r 9.7309; phi -0.1114; x 0.4835; y -0.0541; t_rel 0.8047;
2 r 9.7119; phi -0.1120; x 0.4826; y -0.0543; t_rel 0.8039;
2 r 9.6929; phi -0.1126; x 0.4816; y -0.0545; t_rel 0.8032;
2 r 9.6740; phi -0.1132; x 0.4806; y -0.0547; t_rel 0.8024;
2 r 9.6552; phi -0.1139; x 0.4796; y -0.0549; t_rel 0.8017;
2 r 9.6364; phi -0.1145; x 0.4787; y -0.0550; t_rel 0.8010;
2 r 9.6177; phi -0.1151; x 0.4777; y -0.0552; t_rel 0.8002;
3 r 9.5991; phi -0.1158; x 0.4767; y -0.0554; t_rel 0.7995;
3 r 9.5806; phi -0.1164; x 0.4758; y -0.0556; t_rel 0.7988;
3 r 9.5622; phi -0.1170; x 0.4748; y -0.0558; t_rel 0.7981;
3 r 9.5438; phi -0.1176; x 0.4739; y -0.0560; t_rel 0.7974;
3 r 9.5255; phi -0.1183; x 0.4729; y -0.0562; t_rel 0.7966;
3 r 9.5073; phi -0.1189; x 0.4720; y -0.0564; t_rel 0.7959;
3 r 9.4891; phi -0.1195; x 0.4711; y -0.0566; t_rel 0.7952;
3 r 9.4710; phi -0.1202; x 0.4701; y -0.0568; t_rel 0.7945;
3 r 9.4530; phi -0.1208; x 0.4692; y -0.0570; t_rel 0.7938;
3 r 9.4351; phi -0.1214; x 0.4683; y -0.0571; t_rel 0.7931;
3 r 9.4172; phi -0.1221; x 0.4674; y -0.0573; t_rel 0.7924;
3 r 9.3994; phi -0.1227; x 0.4664; y -0.0575; t_rel 0.7917;
3 r 9.3817; phi -0.1233; x 0.4655; y -0.0577; t_rel 0.7910;
3 r 9.3640; phi -0.1239; x 0.4646; y -0.0579; t_rel 0.7903;
3 r 9.3464; phi -0.1246; x 0.4637; y -0.0581; t_rel 0.7896;
3 r 9.3289; phi -0.1252; x 0.4628; y -0.0582; t_rel 0.7889;
3 r 9.3114; phi -0.1258; x 0.4619; y -0.0584; t_rel 0.7882;
3 r 9.2940; phi -0.1265; x 0.4610; y -0.0586; t_rel 0.7875;
3 r 9.2767; phi -0.1271; x 0.4601; y -0.0588; t_rel 0.7869;
3 r 9.2595; phi -0.1277; x 0.4592; y -0.0590; t_rel 0.7862;
3 r 9.2423; phi -0.1283; x 0.4583; y -0.0591; t_rel 0.7855;
