2 r 14.9701; phi 0.0004; x 0.7485; y 0.0003; t_rel 1.0000;
2 r 14.9582; phi 0.0008; x 0.7479; y 0.0006; t_rel 0.9994;
2 r 14.9388; phi 0.0014; x 0.7469; y 0.0010; t_rel 0.9985;
2 r 14.9195; phi 0.0020; x 0.7460; y 0.0015; t_rel 0.9976;
2 r 14.9002; phi 0.0026; x 0.7450; y 0.0020; t_rel 0.9967;
2 r 14.8810; phi 0.0033; x 0.7440; y 0.0024; t_rel 0.9959;
2 r 14.8618; phi 0.0039; x 0.7431; y 0.0029; t_rel 0.9950;
2 r 14.8427; phi 0.0045; x 0.7421; y 0.0034; t_rel 0.9941;
2 r 14.8236; phi 0.0052; x 0.7412; y 0.0038; t_rel 0.9932;
2 r 14.8046; phi 0.0058; x 0.7402; y 0.0043; t_rel 0.9923;
2 r 14.7856; phi 0.0064; x 0.7393; y 0.0047; t_rel 0.9914;
2 r 14.7667; phi 0.0070; x 0.7383; y 0.0052; t_rel 0.9905;
2 r 14.7479; phi 0.0077; x 0.7374; y 0.0057; t_rel 0.9896;
2 r 14.7291; phi 0.0083; x 0.7364; y 0.0061; t_rel 0.9888;
2 r 14.7103; phi 0.0089; x 0.7355; y 0.0066; t_rel 0.9879;
2 r 14.6916; phi 0.0096; x 0.7345; y 0.0070; t_rel 0.9870;
2 r 14.6730; phi 0.0102; x 0.7336; y 0.0075; t_rel 0.9861;
2 r 14.6544; phi 0.0108; x 0.7327; y 0.0079; t_rel 0.9853;
2 r 14.6358; phi 0.0114; x 0.7317; y 0.0084; t_rel 0.9844;
2 r 14.6173; phi 0.0121; x 0.7308; y 0.0088; t_rel 0.9836;
2 r 14.5989; phi 0.0127; x 0.7299; y 0.0093; t_rel 0.9827;
2 r 14.5805; phi 0.0133; x 0.7290; y 0.0097; t_rel 0.9818;
2 r 14.5622; phi 0.0139; x 0.7280; y 0.0102; t_rel 0.9810;
2 r 14.5439; phi 0.0146; x 0.7271; y 0.0106; t_rel 0.9801;
2 r 14.5257; phi 0.0152; x 0.7262; y 0.0110; t_rel 0.9793;
2 r 14.5075; phi 0.0158; x 0.7253; y 0.0115; t_rel 0.9784;
2 r 14.4893; phi 0.0165; x 0.7244; y 0.0119; t_rel 0.9776;
2 r 14.4713; phi 0.0171; x 0.7235; y 0.0124; t_rel 0.9767;
2 r 14.4532; phi 0.0177; x 0.7225; y 0.0128; t_rel 0.9759;
2 r 14.4352; phi 0.0183; x 0.7216; y 0.0132; t_rel 0.9750;
2 r 14.4173; phi 0.0190; x 0.7207; y 0.0137; t_rel 0.9742;
2 r 14.3994; phi 0.0196; x 0.7198; y 0.0141; t_rel 0.9734;
2 r 14.3816; phi 0.0202; x 0.7189; y 0.0145; t_rel 0.9725;
2 r 14.3638; phi 0.0209; x 0.7180; y 0.0150; t_rel 0.9717;
2 r 14.3460; phi 0.0215; x 0.7171; y 0.0154; t_rel 0.9709;
2 r 14.3283; phi 0.0221; x 0.7162; y 0.0158; t_rel 0.9700;
2 r 14.3107; phi 0.0227; x 0.7153; y 0.0163; t_rel 0.9692;
2 r 14.2931; phi 0.0234; x 0.7145; y 0.0167; t_rel 0.9684;
2 r 14.2755; phi 0.0240; x 0.7136; y 0.0171; t_rel 0.9676;
2 r 14.2580; phi 0.0246; x 0.7127; y 0.0176; t_rel 0.9667;
2 r 14.2406; phi 0.0253; x 0.7118; y 0.0180; t_rel 0.9659;
2 r 14.2232; phi 0.0259; x 0.7109; y 0.0184; t_rel 0.9651;
2 r 14.2058; phi 0.0265; x 0.7100; y 0.0188; t_rel 0.9643;
2 r 14.1885; phi 0.0271; x 0.7092; y 0.0193; t_rel 0.9635;
2 r 14.1712; phi 0.0278; x 0.7083; y 0.0197; t_rel 0.9627;
2 r 14.1540; phi 0.0284; x 0.7074; y 0.0201; t_rel 0.9618;
