2 r 15.0000; phi 1.0472; x 0.3750; y 0.6495; t_rel 1.0000;
2 r 14.9834; phi 1.0468; x 0.3748; y 0.6487; t_rel 0.9994;
2 r 14.9485; phi 1.0460; x 0.3745; y 0.6468; t_rel 0.9982;
2 r 14.9137; phi 1.0452; x 0.3742; y 0.6450; t_rel 0.9970;
2 r 14.8791; phi 1.0443; x 0.3738; y 0.6432; t_rel 0.9957;
2 r 14.8446; phi 1.0435; x 0.3735; y 0.6414; t_rel 0.9945;
2 r 14.8103; phi 1.0427; x 0.3731; y 0.6396; t_rel 0.9933;
2 r 14.7762; phi 1.0419; x 0.3728; y 0.6378; t_rel 0.9921;
2 r 14.7422; phi 1.0410; x 0.3725; y 0.6361; t_rel 0.9909;
2 r 14.7085; phi 1.0402; x 0.3722; y 0.6343; t_rel 0.9897;
2 r 14.6748; phi 1.0394; x 0.3718; y 0.6326; t_rel 0.9885;
2 r 14.6414; phi 1.0386; x 0.3715; y 0.6308; t_rel 0.9874;
2 r 14.6081; phi 1.0377; x 0.3712; y 0.6291; t_rel 0.9862;
2 r 14.5749; phi 1.0369; x 0.3708; y 0.6273; t_rel 0.9850;
2 r 14.5419; phi 1.0361; x 0.3705; y 0.6256; t_rel 0.9838;
2 r 14.5091; phi 1.0353; x 0.3702; y 0.6239; t_rel 0.9827;
2 r 14.4764; phi 1.0344; x 0.3699; y 0.6222; t_rel 0.9815;
2 r 14.4439; phi 1.0336; x 0.3696; y 0.6205; t_rel 0.9804;
2 r 14.4115; phi 1.0328; x 0.3692; y 0.6188; t_rel 0.9792;
2 r 14.3793; phi 1.0320; x 0.3689; y 0.6171; t_rel 0.9781;
2 r 14.3472; phi 1.0311; x 0.3686; y 0.6154; t_rel 0.9769;
2 r 14.3153; phi 1.0303; x 0.3683; y 0.6137; t_rel 0.9758;
2 r 14.2836; phi 1.0295; x 0.3680; y 0.6121; t_rel 0.9747;
2 r 14.2519; phi 1.0287; x 0.3677; y 0.6104; t_rel 0.9736;
2 r 14.2205; phi 1.0278; x 0.3674; y 0.6088; t_rel 0.9725;
2 r 14.1891; phi 1.0270; x 0.3671; y 0.6071; t_rel 0.9713;
2 r 14.1580; phi 1.0262; x 0.3668; y 0.6055; t_rel 0.9702;
2 r 14.1269; phi 1.0254; x 0.3664; y 0.6039; t_rel 0.9691;
2 r 14.0960; phi 1.0245; x 0.3661; y 0.6022; t_rel 0.9680;
2 r 14.0653; phi 1.0237; x 0.3658; y 0.6006; t_rel 0.9669;
2 r 14.0347; phi 1.0229; x 0.3655; y 0.5990; t_rel 0.9659;
2 r 14.0042; phi 1.0221; x 0.3652; y 0.5974; t_rel 0.9648;
2 r 13.9739; phi 1.0212; x 0.3649; y 0.5958; t_rel 0.9637;
2 r 13.9437; phi 1.0204; x 0.3646; y 0.5942; t_rel 0.9626;
2 r 13.9137; phi 1.0196; x 0.3643; y 0.5926; t_rel 0.9615;
2 r 13.8837; phi 1.0188; x 0.3640; y 0.5911; t_rel 0.9605;
2 r 13.8540; phi 1.0179; x 0.3637; y 0.5895; t_rel 0.9594;
2 r 13.8243; phi 1.0171; x 0.3635; y 0.5879; t_rel 0.9584;
2 r 13.7948; phi 1.0163; x 0.3632; y 0.5864; t_rel 0.9573;
2 r 13.7654; phi 1.0155; x 0.3629; y 0.5848; t_rel 0.9563;
2 r 13.7362; phi 1.0146; x 0.3626; y 0.5833; t_rel 0.9552;
2 r 13.7071; phi 1.0138; x 0.3623; y 0.5818; t_rel 0.9542;
2 r 13.6781; phi 1.0130; x 0.3620; y 0.5802; t_rel 0.9531;
2 r 13.6492; phi 1.0122; x 0.3617; y 0.5787; t_rel 0.9521;
2 r 13.6205; phi 1.0113; x 0.3614; y 0.5772; t_rel 0.9511;
2 r 13.5919; phi 1.0105; x 0.3612; y 0.5757; t_rel 0.9501;
