2 r 15.0000; phi 1.0472; x 0.3750; y 0.6495; t_rel 1.0000;
2 r 14.9838; phi 1.0468; x 0.3748; y 0.6487; t_rel 0.9994;
2 r 14.9518; phi 1.0460; x 0.3745; y 0.6470; t_rel 0.9983;
2 r 14.9198; phi 1.0453; x 0.3742; y 0.6453; t_rel 0.9972;
2 r 14.8880; phi 1.0445; x 0.3740; y 0.6437; t_rel 0.9961;
2 r 14.8564; phi 1.0437; x 0.3737; y 0.6420; t_rel 0.9950;
2 r 14.8249; phi 1.0429; x 0.3734; y 0.6403; t_rel 0.9939;
2 r 14.7935; phi 1.0422; x 0.3731; y 0.6387; t_rel 0.9928;
2 r 14.7623; phi 1.0414; x 0.3728; y 0.6371; t_rel 0.9917;
2 r 14.7312; phi 1.0406; x 0.3725; y 0.6354; t_rel 0.9906;
2 r 14.7002; phi 1.0398; x 0.3722; y 0.6338; t_rel 0.9895;
2 r 14.6694; phi 1.0390; x 0.3719; y 0.6322; t_rel 0.9884;
2 r 14.6387; phi 1.0383; x 0.3716; y 0.6306; t_rel 0.9873;
2 r 14.6082; phi 1.0375; x 0.3713; y 0.6290; t_rel 0.9863;
2 r 14.5778; phi 1.0367; x 0.3710; y 0.6274; t_rel 0.9852;
2 r 14.5475; phi 1.0359; x 0.3708; y 0.6258; t_rel 0.9841;
2 r 14.5174; phi 1.0352; x 0.3705; y 0.6242; t_rel 0.9831;
2 r 14.4874; phi 1.0344; x 0.3702; y 0.6226; t_rel 0.9820;
2 r 14.4575; phi 1.0336; x 0.3699; y 0.6211; t_rel 0.9809;
2 r 14.4277; phi 1.0328; x 0.3696; y 0.6195; t_rel 0.9799;
2 r 14.3981; phi 1.0321; x 0.3693; y 0.6179; t_rel 0.9789;
2 r 14.3686; phi 1.0313; x 0.3691; y 0.6164; t_rel 0.9778;
2 r 14.3392; phi 1.0305; x 0.3688; y 0.6148; t_rel 0.9768;
2 r 14.3100; phi 1.0297; x 0.3685; y 0.6133; t_rel 0.9758;
2 r 14.2809; phi 1.0290; x 0.3682; y 0.6118; t_rel 0.9747;
2 r 14.2519; phi 1.0282; x 0.3680; y 0.6102; t_rel 0.9737;
2 r 14.2230; phi 1.0274; x 0.3677; y 0.6087; t_rel 0.9727;
2 r 14.1943; phi 1.0266; x 0.3674; y 0.6072; t_rel 0.9717;
2 r 14.1657; phi 1.0259; x 0.3672; y 0.6057; t_rel 0.9707;
2 r 14.1372; phi 1.0251; x 0.3669; y 0.6042; t_rel 0.9696;
2 r 14.1088; phi 1.0243; x 0.3666; y 0.6027; t_rel 0.9686;
2 r 14.0805; phi 1.0235; x 0.3663; y 0.6012; t_rel 0.9676;
2 r 14.0524; phi 1.0227; x 0.3661; y 0.5997; t_rel 0.9667;
2 r 14.0244; phi 1.0220; x 0.3658; y 0.5982; t_rel 0.9657;
2 r 13.9965; phi 1.0212; x 0.3655; y 0.5968; t_rel 0.9647;
2 r 13.9687; phi 1.0204; x 0.3653; y 0.5953; t_rel 0.9637;
2 r 13.9410; phi 1.0196; x 0.3650; y 0.5938; t_rel 0.9627;
2 r 13.9135; phi 1.0189; x 0.3648; y 0.5924; t_rel 0.9617;
2 r 13.8861; phi 1.0181; x 0.3645; y 0.5909; t_rel 0.9608;
2 r 13.8587; phi 1.0173; x 0.3642; y 0.5895; t_rel 0.9598;
2 r 13.8315; phi 1.0165; x 0.3640; y 0.5880; t_rel 0.9588;
2 r 13.8044; phi 1.0158; x 0.3637; y 0.5866; t_rel 0.9579;
2 r 13.7775; phi 1.0150; x 0.3635; y 0.5852; t_rel 0.9569;
2 r 13.7506; phi 1.0142; x 0.3632; y 0.5838; t_rel 0.9560;
2 r 13.7238; phi 1.0134; x 0.3630; y 0.5823; t_rel 0.9550;
2 r 13.6972; phi 1.0127; x 0.3627; y 0.5809; t_rel 0.9541;
2 r 13.6706; phi 1.0119; x 0.3625; y 0.5795; t_rel 0.9531;
2 r 13.6442; phi 1.0111; x 0.3622; y 0.5781; t_rel 0.9522;
2 r 13.6179; phi 1.0103; x 0.3619; y 0.5767; t_rel 0.9512;
2 r 13.5917; phi 1.0096; x 0.3617; y 0.5753; t_rel 0.9503;
2 r 13.5656; phi 1.0088; x 0.3614; y 0.5739; t_rel 0.9494;
2 r 13.5396; phi 1.0080; x 0.3612; y 0.5726; t_rel 0.9484;
2 r 13.5137; phi 1.0072; x 0.3610; y 0.5712; t_rel 0.9475;
2 r 13.4879; phi 1.0065; x 0.3607; y 0.5698; t_rel 0.9466;
2 r 13.4622; phi 1.0057; x 0.3605; y 0.5685; t_rel 0.9457;
2 r 13.4366; phi 1.0049; x 0.3602; y 0.5671; t_rel 0.9448;
2 r 13.4112; phi 1.0041; x 0.3600; y 0.5657; t_rel 0.9439;
2 r 13.3858; phi 1.0033; x 0.3597; y 0.5644; t_rel 0.9430;
2 r 13.3605; phi 1.0026; x 0.3595; y 0.5631; t_rel 0.9421;
2 r 13.3353; phi 1.0018; x 0.3592; y 0.5617; t_rel 0.9412;
2 r 13.3103; phi 1.0010; x 0.3590; y 0.5604; t_rel 0.9403;
2 r 13.2853; phi 1.0002; x 0.3588; y 0.5590; t_rel 0.9394;
2 r 13.2604; phi 0.9995; x 0.3585; y 0.5577; t_rel 0.9385;
2 r 13.2357; phi 0.9987; x 0.3583; y 0.5564; t_rel 0.9376;
2 r 13.2110; phi 0.9979; x 0.3581; y 0.5551; t_rel 0.9367;
