2 r 14.9762; phi 0.0001; x 0.7488; y 0.0001; t_rel 1.0000;
2 r 14.9634; phi 0.0004; x 0.7482; y 0.0003; t_rel 0.9993;
2 r 14.9389; phi 0.0011; x 0.7469; y 0.0008; t_rel 0.9980;
2 r 14.9144; phi 0.0017; x 0.7457; y 0.0013; t_rel 0.9967;
2 r 14.8901; phi 0.0023; x 0.7445; y 0.0017; t_rel 0.9954;
2 r 14.8658; phi 0.0030; x 0.7433; y 0.0022; t_rel 0.9942;
2 r 14.8417; phi 0.0036; x 0.7421; y 0.0027; t_rel 0.9929;
2 r 14.8176; phi 0.0042; x 0.7409; y 0.0031; t_rel 0.9916;
2 r 14.7935; phi 0.0048; x 0.7397; y 0.0036; t_rel 0.9903;
2 r 14.7696; phi 0.0055; x 0.7385; y 0.0040; t_rel 0.9891;
2 r 14.7458; phi 0.0061; x 0.7373; y 0.0045; t_rel 0.9878;
2 r 14.7220; phi 0.0067; x 0.7361; y 0.0050; t_rel 0.9866;
2 r 14.6983; phi 0.0074; x 0.7349; y 0.0054; t_rel 0.9853;
2 r 14.6747; phi 0.0080; x 0.7337; y 0.0059; t_rel 0.9841;
2 r 14.6512; phi 0.0086; x 0.7325; y 0.0063; t_rel 0.9828;
2 r 14.6278; phi 0.0092; x 0.7314; y 0.0068; t_rel 0.9816;
2 r 14.6044; phi 0.0099; x 0.7302; y 0.0072; t_rel 0.9803;
2 r 14.5811; phi 0.0105; x 0.7290; y 0.0077; t_rel 0.9791;
2 r 14.5579; phi 0.0111; x 0.7279; y 0.0081; t_rel 0.9779;
2 r 14.5348; phi 0.0118; x 0.7267; y 0.0085; t_rel 0.9766;
2 r 14.5117; phi 0.0124; x 0.7255; y 0.0090; t_rel 0.9754;
2 r 14.4888; phi 0.0130; x 0.7244; y 0.0094; t_rel 0.9742;
2 r 14.4659; phi 0.0136; x 0.7232; y 0.0099; t_rel 0.9730;
2 r 14.4431; phi 0.0143; x 0.7221; y 0.0103; t_rel 0.9718;
2 r 14.4203; phi 0.0149; x 0.7209; y 0.0107; t_rel 0.9706;
2 r 14.3976; phi 0.0155; x 0.7198; y 0.0112; t_rel 0.9694;
2 r 14.3751; phi 0.0162; x 0.7187; y 0.0116; t_rel 0.9682;
2 r 14.3525; phi 0.0168; x 0.7175; y 0.0120; t_rel 0.9670;
2 r 14.3301; phi 0.0174; x 0.7164; y 0.0125; t_rel 0.9658;
2 r 14.3077; phi 0.0180; x 0.7153; y 0.0129; t_rel 0.9646;
2 r 14.2854; phi 0.0187; x 0.7141; y 0.0133; t_rel 0.9634;
2 r 14.2632; phi 0.0193; x 0.7130; y 0.0138; t_rel 0.9622;
2 r 14.2411; phi 0.0199; x 0.7119; y 0.0142; t_rel 0.9610;
2 r 14.2190; phi 0.0206; x 0.7108; y 0.0146; t_rel 0.9599;
2 r 14.1970; phi 0.0212; x 0.7097; y 0.0150; t_rel 0.9587;
2 r 14.1751; phi 0.0218; x 0.7086; y 0.0155; t_rel 0.9575;
2 r 14.1532; phi 0.0224; x 0.7075; y 0.0159; t_rel 0.9564;
2 r 14.1315; phi 0.0231; x 0.7064; y 0.0163; t_rel 0.9552;
2 r 14.1097; phi 0.0237; x 0.7053; y 0.0167; t_rel 0.9540;
2 r 14.0881; phi 0.0243; x 0.7042; y 0.0171; t_rel 0.9529;
2 r 14.0665; phi 0.0250; x 0.7031; y 0.0175; t_rel 0.9517;
2 r 14.0450; phi 0.0256; x 0.7020; y 0.0180; t_rel 0.9506;
2 r 14.0236; phi 0.0262; x 0.7009; y 0.0184; t_rel 0.9494;
2 r 14.0023; phi 0.0268; x 0.6999; y 0.0188; t_rel 0.9483;
2 r 13.9810; phi 0.0275; x 0.6988; y 0.0192; t_rel 0.9472;
2 r 13.9597; phi 0.0281; x 0.6977; y 0.0196; t_rel 0.9460;
2 r 13.9386; phi 0.0287; x 0.6966; y 0.0200; t_rel 0.9449;
2 r 13.9175; phi 0.0294; x 0.6956; y 0.0204; t_rel 0.9438;
2 r 13.8965; phi 0.0300; x 0.6945; y 0.0208; t_rel 0.9427;
2 r 13.8755; phi 0.0306; x 0.6935; y 0.0212; t_rel 0.9415;
2 r 13.8547; phi 0.0312; x 0.6924; y 0.0216; t_rel 0.9404;
2 r 13.8339; phi 0.0319; x 0.6913; y 0.0220; t_rel 0.9393;
2 r 13.8131; phi 0.0325; x 0.6903; y 0.0224; t_rel 0.9382;
2 r 13.7924; phi 0.0331; x 0.6892; y 0.0228; t_rel 0.9371;
2 r 13.7718; phi 0.0338; x 0.6882; y 0.0232; t_rel 0.9360;
2 r 13.7513; phi 0.0344; x 0.6872; y 0.0236; t_rel 0.9349;
2 r 13.7308; phi 0.0350; x 0.6861; y 0.0240; t_rel 0.9338;
2 r 13.7104; phi 0.0356; x 0.6851; y 0.0244; t_rel 0.9327;
2 r 13.6900; phi 0.0363; x 0.6841; y 0.0248; t_rel 0.9316;
2 r 13.6697; phi 0.0369; x 0.6830; y 0.0252; t_rel 0.9305;
2 r 13.6495; phi 0.0375; x 0.6820; y 0.0256; t_rel 0.9294;
2 r 13.6293; phi 0.0382; x 0.6810; y 0.0260; t_rel 0.9284;
2 r 13.6092; phi 0.0388; x 0.6800; y 0.0264; t_rel 0.9273;
2 r 13.5892; phi 0.0394; x 0.6789; y 0.0268; t_rel 0.9262;
2 r 13.5692; phi 0.0400; x 0.6779; y 0.0272; t_rel 0.9251;
2 r 13.5493; phi 0.0407; x 0.6769; y 0.0275; t_rel 0.9241;
2 r 13.5295; phi 0.0413; x 0.6759; y 0.0279; t_rel 0.9230;
2 r 13.5097; phi 0.0419; x 0.6749; y 0.0283; t_rel 0.9219;
2 r 13.4900; phi 0.0425; x 0.6739; y 0.0287; t_rel 0.9209;
2 r 13.4703; phi 0.0432; x 0.6729; y 0.0291; t_rel 0.9198;
2 r 13.4507; phi 0.0438; x 0.6719; y 0.0295; t_rel 0.9188;
2 r 13.4312; phi 0.0444; x 0.6709; y 0.0298; t_rel 0.9177;
2 r 13.4117; phi 0.0451; x 0.6699; y 0.0302; t_rel 0.9167;
2 r 13.3923; phi 0.0457; x 0.6689; y 0.0306; t_rel 0.9156;
2 r 13.3729; phi 0.0463; x 0.6679; y 0.0310; t_rel 0.9146;
2 r 13.3536; phi 0.0469; x 0.6669; y 0.0313; t_rel 0.9135;
2 r 13.3344; phi 0.0476; x 0.6660; y 0.0317; t_rel 0.9125;
2 r 13.3152; phi 0.0482; x 0.6650; y 0.0321; t_rel 0.9115;
2 r 13.2961; phi 0.0488; x 0.6640; y 0.0325; t_rel 0.9104;
2 r 13.2770; phi 0.0495; x 0.6630; y 0.0328; t_rel 0.9094;
2 r 13.2581; phi 0.0501; x 0.6621; y 0.0332; t_rel 0.9084;
2 r 13.2391; phi 0.0507; x 0.6611; y 0.0336; t_rel 0.9074;
2 r 13.2202; phi 0.0513; x 0.6601; y 0.0339; t_rel 0.9064;
2 r 13.2014; phi 0.0520; x 0.6592; y 0.0343; t_rel 0.9053;
2 r 13.1826; phi 0.0526; x 0.6582; y 0.0347; t_rel 0.9043;
2 r 13.1639; phi 0.0532; x 0.6573; y 0.0350; t_rel 0.9033;
2 r 13.1453; phi 0.0539; x 0.6563; y 0.0354; t_rel 0.9023;
2 r 13.1267; phi 0.0545; x 0.6554; y 0.0357; t_rel 0.9013;
2 r 13.1081; phi 0.0551; x 0.6544; y 0.0361; t_rel 0.9003;
2 r 13.0896; phi 0.0557; x 0.6535; y 0.0365; t_rel 0.8993;
2 r 13.0712; phi 0.0564; x 0.6525; y 0.0368; t_rel 0.8983;
2 r 13.0528; phi 0.0570; x 0.6516; y 0.0372; t_rel 0.8973;
2 r 13.0345; phi 0.0576; x 0.6506; y 0.0375; t_rel 0.8963;
2 r 13.0163; phi 0.0583; x 0.6497; y 0.0379; t_rel 0.8953;
2 r 12.9981; phi 0.0589; x 0.6488; y 0.0382; t_rel 0.8944;
2 r 12.9799; phi 0.0595; x 0.6478; y 0.0386; t_rel 0.8934;
2 r 12.9618; phi 0.0601; x 0.6469; y 0.0390; t_rel 0.8924;
2 r 12.9438; phi 0.0608; x 0.6460; y 0.0393; t_rel 0.8914;
2 r 12.9258; phi 0.0614; x 0.6451; y 0.0397; t_rel 0.8905;
2 r 12.9078; phi 0.0620; x 0.6442; y 0.0400; t_rel 0.8895;
2 r 12.8900; phi 0.0627; x 0.6432; y 0.0404; t_rel 0.8885;
2 r 12.8721; phi 0.0633; x 0.6423; y 0.0407; t_rel 0.8875;
2 r 12.8544; phi 0.0639; x 0.6414; y 0.0411; t_rel 0.8866;
2 r 12.8366; phi 0.0645; x 0.6405; y 0.0414; t_rel 0.8856;
2 r 12.8190; phi 0.0652; x 0.6396; y 0.0417; t_rel 0.8847;
2 r 12.8014; phi 0.0658; x 0.6387; y 0.0421; t_rel 0.8837;
2 r 12.7838; phi 0.0664; x 0.6378; y 0.0424; t_rel 0.8828;
2 r 12.7663; phi 0.0671; x 0.6369; y 0.0428; t_rel 0.8818;
2 r 12.7488; phi 0.0677; x 0.6360; y 0.0431; t_rel 0.8809;
2 r 12.7314; phi 0.0683; x 0.6351; y 0.0435; t_rel 0.8799;
2 r 12.7140; phi 0.0689; x 0.6342; y 0.0438; t_rel 0.8790;
2 r 12.6967; phi 0.0696; x 0.6333; y 0.0441; t_rel 0.8780;
2 r 12.6795; phi 0.0702; x 0.6324; y 0.0445; t_rel 0.8771;
2 r 12.6623; phi 0.0708; x 0.6315; y 0.0448; t_rel 0.8762;
2 r 12.6451; phi 0.0715; x 0.6306; y 0.0451; t_rel 0.8752;
2 r 12.6280; phi 0.0721; x 0.6298; y 0.0455; t_rel 0.8743;
2 r 12.6110; phi 0.0727; x 0.6289; y 0.0458; t_rel 0.8734;
2 r 12.5940; phi 0.0733; x 0.6280; y 0.0461; t_rel 0.8725;
2 r 12.5770; phi 0.0740; x 0.6271; y 0.0465; t_rel 0.8715;
2 r 12.5601; phi 0.0746; x 0.6263; y 0.0468; t_rel 0.8706;
2 r 12.5432; phi 0.0752; x 0.6254; y 0.0471; t_rel 0.8697;
2 r 12.5264; phi 0.0759; x 0.6245; y 0.0475; t_rel 0.8688;
2 r 12.5097; phi 0.0765; x 0.6237; y 0.0478; t_rel 0.8679;
2 r 12.4930; phi 0.0771; x 0.6228; y 0.0481; t_rel 0.8670;
2 r 12.4763; phi 0.0777; x 0.6219; y 0.0484; t_rel 0.8660;
2 r 12.4597; phi 0.0784; x 0.6211; y 0.0488; t_rel 0.8651;
2 r 12.4431; phi 0.0790; x 0.6202; y 0.0491; t_rel 0.8642;
2 r 12.4266; phi 0.0796; x 0.6194; y 0.0494; t_rel 0.8633;
2 r 12.4101; phi 0.0803; x 0.6185; y 0.0497; t_rel 0.8624;
2 r 12.3937; phi 0.0809; x 0.6177; y 0.0501; t_rel 0.8615;
2 r 12.3773; phi 0.0815; x 0.6168; y 0.0504; t_rel 0.8606;
2 r 12.3610; phi 0.0821; x 0.6160; y 0.0507; t_rel 0.8598;
2 r 12.3447; phi 0.0828; x 0.6151; y 0.0510; t_rel 0.8589;
2 r 12.3285; phi 0.0834; x 0.6143; y 0.0513; t_rel 0.8580;
2 r 12.3123; phi 0.0840; x 0.6134; y 0.0517; t_rel 0.8571;
2 r 12.2962; phi 0.0846; x 0.6126; y 0.0520; t_rel 0.8562;
2 r 12.2801; phi 0.0853; x 0.6118; y 0.0523; t_rel 0.8553;
2 r 12.2640; phi 0.0859; x 0.6109; y 0.0526; t_rel 0.8545;
2 r 12.2480; phi 0.0865; x 0.6101; y 0.0529; t_rel 0.8536;
2 r 12.2320; phi 0.0872; x 0.6093; y 0.0532; t_rel 0.8527;
2 r 12.2161; phi 0.0878; x 0.6085; y 0.0536; t_rel 0.8518;
2 r 12.2002; phi 0.0884; x 0.6076; y 0.0539; t_rel 0.8510;
2 r 12.1844; phi 0.0890; x 0.6068; y 0.0542; t_rel 0.8501;
2 r 12.1686; phi 0.0897; x 0.6060; y 0.0545; t_rel 0.8492;
2 r 12.1529; phi 0.0903; x 0.6052; y 0.0548; t_rel 0.8484;
2 r 12.1372; phi 0.0909; x 0.6044; y 0.0551; t_rel 0.8475;
2 r 12.1216; phi 0.0916; x 0.6035; y 0.0554; t_rel 0.8467;
2 r 12.1060; phi 0.0922; x 0.6027; y 0.0557; t_rel 0.8458;
2 r 12.0904; phi 0.0928; x 0.6019; y 0.0560; t_rel 0.8450;
2 r 12.0749; phi 0.0934; x 0.6011; y 0.0563; t_rel 0.8441;
2 r 12.0594; phi 0.0941; x 0.6003; y 0.0566; t_rel 0.8433;
2 r 12.0440; phi 0.0947; x 0.5995; y 0.0569; t_rel 0.8424;
2 r 12.0286; phi 0.0953; x 0.5987; y 0.0572; t_rel 0.8416;
2 r 12.0132; phi 0.0960; x 0.5979; y 0.0576; t_rel 0.8407;
2 r 11.9979; phi 0.0966; x 0.5971; y 0.0579; t_rel 0.8399;
2 r 11.9827; phi 0.0972; x 0.5963; y 0.0582; t_rel 0.8390;
2 r 11.9675; phi 0.0978; x 0.5955; y 0.0585; t_rel 0.8382;
2 r 11.9523; phi 0.0985; x 0.5947; y 0.0588; t_rel 0.8374;
2 r 11.9371; phi 0.0991; x 0.5939; y 0.0591; t_rel 0.8365;
2 r 11.9221; phi 0.0997; x 0.5931; y 0.0594; t_rel 0.8357;
2 r 11.9070; phi 0.1004; x 0.5924; y 0.0596; t_rel 0.8349;
2 r 11.8920; phi 0.1010; x 0.5916; y 0.0599; t_rel 0.8341;
2 r 11.8770; phi 0.1016; x 0.5908; y 0.0602; t_rel 0.8332;
2 r 11.8621; phi 0.1022; x 0.5900; y 0.0605; t_rel 0.8324;
2 r 11.8472; phi 0.1029; x 0.5892; y 0.0608; t_rel 0.8316;
2 r 11.8324; phi 0.1035; x 0.5885; y 0.0611; t_rel 0.8308;
2 r 11.8176; phi 0.1041; x 0.5877; y 0.0614; t_rel 0.8300;
2 r 11.8028; phi 0.1048; x 0.5869; y 0.0617; t_rel 0.8292;
2 r 11.7881; phi 0.1054; x 0.5861; y 0.0620; t_rel 0.8283;
2 r 11.7734; phi 0.1060; x 0.5854; y 0.0623; t_rel 0.8275;
2 r 11.7587; phi 0.1066; x 0.5846; y 0.0626; t_rel 0.8267;
2 r 11.7441; phi 0.1073; x 0.5838; y 0.0629; t_rel 0.8259;
2 r 11.7296; phi 0.1079; x 0.5831; y 0.0632; t_rel 0.8251;
2 r 11.7151; phi 0.1085; x 0.5823; y 0.0634; t_rel 0.8243;
2 r 11.7006; phi 0.1092; x 0.5815; y 0.0637; t_rel 0.8235;
2 r 11.6861; phi 0.1098; x 0.5808; y 0.0640; t_rel 0.8227;
2 r 11.6717; phi 0.1104; x 0.5800; y 0.0643; t_rel 0.8219;
2 r 11.6574; phi 0.1110; x 0.5793; y 0.0646; t_rel 0.8211;
2 r 11.6430; phi 0.1117; x 0.5785; y 0.0649; t_rel 0.8203;
2 r 11.6287; phi 0.1123; x 0.5778; y 0.0652; t_rel 0.8195;
2 r 11.6145; phi 0.1129; x 0.5770; y 0.0654; t_rel 0.8188;
2 r 11.6003; phi 0.1136; x 0.5763; y 0.0657; t_rel 0.8180;
2 r 11.5861; phi 0.1142; x 0.5755; y 0.0660; t_rel 0.8172;
2 r 11.5720; phi 0.1148; x 0.5748; y 0.0663; t_rel 0.8164;
2 r 11.5579; phi 0.1154; x 0.5740; y 0.0666; t_rel 0.8156;
2 r 11.5438; phi 0.1161; x 0.5733; y 0.0668; t_rel 0.8149;
2 r 11.5298; phi 0.1167; x 0.5726; y 0.0671; t_rel 0.8141;
2 r 11.5158; phi 0.1173; x 0.5718; y 0.0674; t_rel 0.8133;
2 r 11.5018; phi 0.1180; x 0.5711; y 0.0677; t_rel 0.8125;
2 r 11.4879; phi 0.1186; x 0.5704; y 0.0680; t_rel 0.8118;
2 r 11.4740; phi 0.1192; x 0.5696; y 0.0682; t_rel 0.8110;
2 r 11.4602; phi 0.1198; x 0.5689; y 0.0685; t_rel 0.8102;
2 r 11.4464; phi 0.1205; x 0.5682; y 0.0688; t_rel 0.8095;
2 r 11.4326; phi 0.1211; x 0.5674; y 0.0691; t_rel 0.8087;
2 r 11.4189; phi 0.1217; x 0.5667; y 0.0693; t_rel 0.8079;
2 r 11.4052; phi 0.1224; x 0.5660; y 0.0696; t_rel 0.8072;
2 r 11.3916; phi 0.1230; x 0.5653; y 0.0699; t_rel 0.8064;
2 r 11.3779; phi 0.1236; x 0.5646; y 0.0701; t_rel 0.8057;
2 r 11.3643; phi 0.1242; x 0.5638; y 0.0704; t_rel 0.8049;
2 r 11.3508; phi 0.1249; x 0.5631; y 0.0707; t_rel 0.8042;
2 r 11.3373; phi 0.1255; x 0.5624; y 0.0710; t_rel 0.8034;
2 r 11.3238; phi 0.1261; x 0.5617; y 0.0712; t_rel 0.8027;
2 r 11.3104; phi 0.1267; x 0.5610; y 0.0715; t_rel 0.8019;
2 r 11.2970; phi 0.1274; x 0.5603; y 0.0718; t_rel 0.8012;
2 r 11.2836; phi 0.1280; x 0.5596; y 0.0720; t_rel 0.8004;
3 r 11.2702; phi 0.1286; x 0.5589; y 0.0723; t_rel 0.7997;
3 r 11.2569; phi 0.1293; x 0.5582; y 0.0726; t_rel 0.7989;
3 r 11.2437; phi 0.1299; x 0.5574; y 0.0728; t_rel 0.7982;
3 r 11.2304; phi 0.1305; x 0.5567; y 0.0731; t_rel 0.7975;
3 r 11.2172; phi 0.1311; x 0.5560; y 0.0733; t_rel 0.7967;
3 r 11.2041; phi 0.1318; x 0.5553; y 0.0736; t_rel 0.7960;
