2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9733; phi -0.0006; x 0.7487; y -0.0005; t_rel 0.9991;
2 r 14.9473; phi -0.0013; x 0.7474; y -0.0010; t_rel 0.9982;
2 r 14.9215; phi -0.0019; x 0.7461; y -0.0014; t_rel 0.9973;
2 r 14.8957; phi -0.0025; x 0.7448; y -0.0019; t_rel 0.9964;
2 r 14.8700; phi -0.0032; x 0.7435; y -0.0023; t_rel 0.9955;
2 r 14.8444; phi -0.0038; x 0.7422; y -0.0028; t_rel 0.9946;
2 r 14.8190; phi -0.0044; x 0.7409; y -0.0033; t_rel 0.9937;
2 r 14.7936; phi -0.0050; x 0.7397; y -0.0037; t_rel 0.9929;
2 r 14.7683; phi -0.0057; x 0.7384; y -0.0042; t_rel 0.9920;
2 r 14.7431; phi -0.0063; x 0.7371; y -0.0046; t_rel 0.9911;
2 r 14.7179; phi -0.0069; x 0.7359; y -0.0051; t_rel 0.9902;
2 r 14.6929; phi -0.0076; x 0.7346; y -0.0056; t_rel 0.9894;
2 r 14.6680; phi -0.0082; x 0.7334; y -0.0060; t_rel 0.9885;
2 r 14.6431; phi -0.0088; x 0.7321; y -0.0065; t_rel 0.9876;
2 r 14.6184; phi -0.0094; x 0.7309; y -0.0069; t_rel 0.9868;
2 r 14.5937; phi -0.0101; x 0.7296; y -0.0073; t_rel 0.9859;
2 r 14.5691; phi -0.0107; x 0.7284; y -0.0078; t_rel 0.9851;
2 r 14.5446; phi -0.0113; x 0.7272; y -0.0082; t_rel 0.9842;
2 r 14.5202; phi -0.0120; x 0.7260; y -0.0087; t_rel 0.9834;
2 r 14.4959; phi -0.0126; x 0.7247; y -0.0091; t_rel 0.9825;
2 r 14.4716; phi -0.0132; x 0.7235; y -0.0096; t_rel 0.9817;
