2 r 14.9816; phi 0.0000; x 0.7491; y 0.0000; t_rel 1.0000;
2 r 14.9701; phi 0.0004; x 0.7485; y 0.0003; t_rel 0.9995;
2 r 14.9520; phi 0.0010; x 0.7476; y 0.0008; t_rel 0.9987;
2 r 14.9339; phi 0.0017; x 0.7467; y 0.0012; t_rel 0.9978;
2 r 14.9160; phi 0.0023; x 0.7458; y 0.0017; t_rel 0.9970;
2 r 14.8980; phi 0.0029; x 0.7449; y 0.0022; t_rel 0.9962;
2 r 14.8801; phi 0.0035; x 0.7440; y 0.0026; t_rel 0.9954;
2 r 14.8623; phi 0.0042; x 0.7431; y 0.0031; t_rel 0.9946;
2 r 14.8445; phi 0.0048; x 0.7422; y 0.0036; t_rel 0.9938;
2 r 14.8267; phi 0.0054; x 0.7413; y 0.0040; t_rel 0.9930;
2 r 14.8090; phi 0.0061; x 0.7404; y 0.0045; t_rel 0.9922;
2 r 14.7913; phi 0.0067; x 0.7396; y 0.0049; t_rel 0.9914;
2 r 14.7737; phi 0.0073; x 0.7387; y 0.0054; t_rel 0.9906;
2 r 14.7561; phi 0.0079; x 0.7378; y 0.0059; t_rel 0.9898;
2 r 14.7386; phi 0.0086; x 0.7369; y 0.0063; t_rel 0.9890;
2 r 14.7212; phi 0.0092; x 0.7360; y 0.0068; t_rel 0.9882;
2 r 14.7037; phi 0.0098; x 0.7352; y 0.0072; t_rel 0.9874;
2 r 14.6863; phi 0.0105; x 0.7343; y 0.0077; t_rel 0.9866;
2 r 14.6690; phi 0.0111; x 0.7334; y 0.0081; t_rel 0.9858;
2 r 14.6517; phi 0.0117; x 0.7325; y 0.0086; t_rel 0.9851;
2 r 14.6345; phi 0.0123; x 0.7317; y 0.0090; t_rel 0.9843;
2 r 14.6173; phi 0.0130; x 0.7308; y 0.0095; t_rel 0.9835;
2 r 14.6001; phi 0.0136; x 0.7299; y 0.0099; t_rel 0.9827;
2 r 14.5830; phi 0.0142; x 0.7291; y 0.0104; t_rel 0.9819;
2 r 14.5659; phi 0.0149; x 0.7282; y 0.0108; t_rel 0.9812;
2 r 14.5489; phi 0.0155; x 0.7274; y 0.0113; t_rel 0.9804;
2 r 14.5319; phi 0.0161; x 0.7265; y 0.0117; t_rel 0.9796;
2 r 14.5150; phi 0.0167; x 0.7256; y 0.0122; t_rel 0.9789;
2 r 14.4981; phi 0.0174; x 0.7248; y 0.0126; t_rel 0.9781;
2 r 14.4812; phi 0.0180; x 0.7239; y 0.0130; t_rel 0.9773;
2 r 14.4644; phi 0.0186; x 0.7231; y 0.0135; t_rel 0.9766;
2 r 14.4477; phi 0.0193; x 0.7223; y 0.0139; t_rel 0.9758;
2 r 14.4310; phi 0.0199; x 0.7214; y 0.0143; t_rel 0.9750;
2 r 14.4143; phi 0.0205; x 0.7206; y 0.0148; t_rel 0.9743;
2 r 14.3977; phi 0.0211; x 0.7197; y 0.0152; t_rel 0.9735;
2 r 14.3811; phi 0.0218; x 0.7189; y 0.0157; t_rel 0.9728;
2 r 14.3645; phi 0.0224; x 0.7180; y 0.0161; t_rel 0.9720;
2 r 14.3480; phi 0.0230; x 0.7172; y 0.0165; t_rel 0.9713;
2 r 14.3316; phi 0.0237; x 0.7164; y 0.0170; t_rel 0.9705;
2 r 14.3151; phi 0.0243; x 0.7155; y 0.0174; t_rel 0.9698;
2 r 14.2988; phi 0.0249; x 0.7147; y 0.0178; t_rel 0.9690;
2 r 14.2824; phi 0.0255; x 0.7139; y 0.0182; t_rel 0.9683;
2 r 14.2661; phi 0.0262; x 0.7131; y 0.0187; t_rel 0.9675;
2 r 14.2499; phi 0.0268; x 0.7122; y 0.0191; t_rel 0.9668;
2 r 14.2337; phi 0.0274; x 0.7114; y 0.0195; t_rel 0.9660;
2 r 14.2175; phi 0.0281; x 0.7106; y 0.0199; t_rel 0.9653;
2 r 14.2014; phi 0.0287; x 0.7098; y 0.0204; t_rel 0.9646;
2 r 14.1853; phi 0.0293; x 0.7090; y 0.0208; t_rel 0.9638;
2 r 14.1693; phi 0.0299; x 0.7081; y 0.0212; t_rel 0.9631;
2 r 14.1533; phi 0.0306; x 0.7073; y 0.0216; t_rel 0.9624;
2 r 14.1373; phi 0.0312; x 0.7065; y 0.0221; t_rel 0.9617;
2 r 14.1214; phi 0.0318; x 0.7057; y 0.0225; t_rel 0.9609;
2 r 14.1055; phi 0.0325; x 0.7049; y 0.0229; t_rel 0.9602;
2 r 14.0896; phi 0.0331; x 0.7041; y 0.0233; t_rel 0.9595;
2 r 14.0738; phi 0.0337; x 0.7033; y 0.0237; t_rel 0.9588;
2 r 14.0581; phi 0.0343; x 0.7025; y 0.0241; t_rel 0.9580;
2 r 14.0424; phi 0.0350; x 0.7017; y 0.0245; t_rel 0.9573;
2 r 14.0267; phi 0.0356; x 0.7009; y 0.0250; t_rel 0.9566;
2 r 14.0110; phi 0.0362; x 0.7001; y 0.0254; t_rel 0.9559;
2 r 13.9954; phi 0.0369; x 0.6993; y 0.0258; t_rel 0.9552;
2 r 13.9798; phi 0.0375; x 0.6985; y 0.0262; t_rel 0.9545;
2 r 13.9643; phi 0.0381; x 0.6977; y 0.0266; t_rel 0.9538;
2 r 13.9488; phi 0.0387; x 0.6969; y 0.0270; t_rel 0.9530;
2 r 13.9334; phi 0.0394; x 0.6961; y 0.0274; t_rel 0.9523;
2 r 13.9180; phi 0.0400; x 0.6953; y 0.0278; t_rel 0.9516;
2 r 13.9026; phi 0.0406; x 0.6946; y 0.0282; t_rel 0.9509;
2 r 13.8873; phi 0.0413; x 0.6938; y 0.0286; t_rel 0.9502;
2 r 13.8720; phi 0.0419; x 0.6930; y 0.0290; t_rel 0.9495;
2 r 13.8567; phi 0.0425; x 0.6922; y 0.0294; t_rel 0.9488;
2 r 13.8415; phi 0.0431; x 0.6914; y 0.0298; t_rel 0.9481;
2 r 13.8263; phi 0.0438; x 0.6907; y 0.0302; t_rel 0.9474;
2 r 13.8112; phi 0.0444; x 0.6899; y 0.0306; t_rel 0.9467;
2 r 13.7960; phi 0.0450; x 0.6891; y 0.0310; t_rel 0.9460;
2 r 13.7810; phi 0.0457; x 0.6883; y 0.0314; t_rel 0.9454;
2 r 13.7659; phi 0.0463; x 0.6876; y 0.0318; t_rel 0.9447;
2 r 13.7509; phi 0.0469; x 0.6868; y 0.0322; t_rel 0.9440;
2 r 13.7360; phi 0.0475; x 0.6860; y 0.0326; t_rel 0.9433;
2 r 13.7211; phi 0.0482; x 0.6853; y 0.0330; t_rel 0.9426;
2 r 13.7062; phi 0.0488; x 0.6845; y 0.0334; t_rel 0.9419;
2 r 13.6913; phi 0.0494; x 0.6837; y 0.0338; t_rel 0.9412;
2 r 13.6765; phi 0.0501; x 0.6830; y 0.0342; t_rel 0.9406;
2 r 13.6617; phi 0.0507; x 0.6822; y 0.0346; t_rel 0.9399;
2 r 13.6470; phi 0.0513; x 0.6815; y 0.0350; t_rel 0.9392;
2 r 13.6323; phi 0.0519; x 0.6807; y 0.0354; t_rel 0.9385;
2 r 13.6176; phi 0.0526; x 0.6799; y 0.0358; t_rel 0.9379;
2 r 13.6030; phi 0.0532; x 0.6792; y 0.0362; t_rel 0.9372;
2 r 13.5884; phi 0.0538; x 0.6784; y 0.0366; t_rel 0.9365;
2 r 13.5738; phi 0.0545; x 0.6777; y 0.0369; t_rel 0.9359;
2 r 13.5593; phi 0.0551; x 0.6769; y 0.0373; t_rel 0.9352;
2 r 13.5448; phi 0.0557; x 0.6762; y 0.0377; t_rel 0.9345;
2 r 13.5303; phi 0.0563; x 0.6754; y 0.0381; t_rel 0.9339;
2 r 13.5159; phi 0.0570; x 0.6747; y 0.0385; t_rel 0.9332;
2 r 13.5015; phi 0.0576; x 0.6740; y 0.0389; t_rel 0.9325;
2 r 13.4872; phi 0.0582; x 0.6732; y 0.0392; t_rel 0.9319;
2 r 13.4728; phi 0.0589; x 0.6725; y 0.0396; t_rel 0.9312;
2 r 13.4586; phi 0.0595; x 0.6717; y 0.0400; t_rel 0.9306;
2 r 13.4443; phi 0.0601; x 0.6710; y 0.0404; t_rel 0.9299;
2 r 13.4301; phi 0.0607; x 0.6703; y 0.0408; t_rel 0.9292;
