2 r 14.9994; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9987; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9627; phi -0.0007; x 0.7481; y -0.0005; t_rel 0.9981;
2 r 14.9322; phi -0.0013; x 0.7466; y -0.0010; t_rel 0.9965;
2 r 14.9115; phi -0.0019; x 0.7456; y -0.0014; t_rel 0.9955;
2 r 14.8914; phi -0.0025; x 0.7446; y -0.0019; t_rel 0.9944;
2 r 14.8714; phi -0.0032; x 0.7436; y -0.0024; t_rel 0.9934;
2 r 14.8515; phi -0.0038; x 0.7426; y -0.0028; t_rel 0.9923;
2 r 14.8318; phi -0.0044; x 0.7416; y -0.0033; t_rel 0.9913;
2 r 14.8015; phi -0.0051; x 0.7401; y -0.0037; t_rel 0.9898;
2 r 14.7704; phi -0.0057; x 0.7385; y -0.0042; t_rel 0.9881;
2 r 14.7455; phi -0.0063; x 0.7373; y -0.0047; t_rel 0.9868;
2 r 14.7263; phi -0.0069; x 0.7363; y -0.0051; t_rel 0.9859;
2 r 14.7071; phi -0.0076; x 0.7353; y -0.0056; t_rel 0.9849;
2 r 14.6881; phi -0.0082; x 0.7344; y -0.0060; t_rel 0.9839;
2 r 14.6691; phi -0.0088; x 0.7334; y -0.0065; t_rel 0.9829;
2 r 14.6379; phi -0.0095; x 0.7319; y -0.0069; t_rel 0.9813;
2 r 14.6062; phi -0.0101; x 0.7303; y -0.0074; t_rel 0.9796;
2 r 14.5864; phi -0.0107; x 0.7293; y -0.0078; t_rel 0.9786;
2 r 14.5680; phi -0.0113; x 0.7284; y -0.0083; t_rel 0.9776;
2 r 14.5495; phi -0.0120; x 0.7274; y -0.0087; t_rel 0.9767;
2 r 14.5313; phi -0.0126; x 0.7265; y -0.0092; t_rel 0.9757;
2 r 14.5037; phi -0.0132; x 0.7251; y -0.0096; t_rel 0.9743;
2 r 14.4717; phi -0.0139; x 0.7235; y -0.0100; t_rel 0.9726;
2 r 14.4514; phi -0.0145; x 0.7225; y -0.0105; t_rel 0.9716;
2 r 14.4336; phi -0.0151; x 0.7216; y -0.0109; t_rel 0.9706;
2 r 14.4158; phi -0.0157; x 0.7207; y -0.0113; t_rel 0.9697;
2 r 14.3981; phi -0.0164; x 0.7198; y -0.0118; t_rel 0.9688;
2 r 14.3677; phi -0.0170; x 0.7183; y -0.0122; t_rel 0.9672;
2 r 14.3382; phi -0.0176; x 0.7168; y -0.0126; t_rel 0.9657;
2 r 14.3210; phi -0.0183; x 0.7159; y -0.0131; t_rel 0.9648;
2 r 14.3037; phi -0.0189; x 0.7151; y -0.0135; t_rel 0.9639;
2 r 14.2866; phi -0.0195; x 0.7142; y -0.0139; t_rel 0.9630;
2 r 14.2627; phi -0.0201; x 0.7130; y -0.0144; t_rel 0.9617;
2 r 14.2298; phi -0.0208; x 0.7113; y -0.0148; t_rel 0.9600;
2 r 14.2115; phi -0.0214; x 0.7104; y -0.0152; t_rel 0.9591;
2 r 14.1948; phi -0.0220; x 0.7096; y -0.0156; t_rel 0.9582;
2 r 14.1781; phi -0.0227; x 0.7087; y -0.0161; t_rel 0.9573;
2 r 14.1563; phi -0.0233; x 0.7076; y -0.0165; t_rel 0.9562;
2 r 14.1230; phi -0.0239; x 0.7059; y -0.0169; t_rel 0.9544;
2 r 14.1051; phi -0.0245; x 0.7050; y -0.0173; t_rel 0.9535;
2 r 14.0889; phi -0.0252; x 0.7042; y -0.0177; t_rel 0.9527;
2 r 14.0726; phi -0.0258; x 0.7034; y -0.0182; t_rel 0.9518;
2 r 14.0485; phi -0.0264; x 0.7022; y -0.0186; t_rel 0.9506;
2 r 14.0175; phi -0.0271; x 0.7006; y -0.0190; t_rel 0.9489;
2 r 14.0016; phi -0.0277; x 0.6998; y -0.0194; t_rel 0.9481;
2 r 13.9857; phi -0.0283; x 0.6990; y -0.0198; t_rel 0.9473;
2 r 13.9699; phi -0.0289; x 0.6982; y -0.0202; t_rel 0.9464;
2 r 13.9393; phi -0.0296; x 0.6967; y -0.0206; t_rel 0.9448;
2 r 13.9163; phi -0.0302; x 0.6955; y -0.0210; t_rel 0.9436;
2 r 13.9008; phi -0.0308; x 0.6947; y -0.0214; t_rel 0.9428;
2 r 13.8853; phi -0.0315; x 0.6939; y -0.0218; t_rel 0.9420;
2 r 13.8630; phi -0.0321; x 0.6928; y -0.0222; t_rel 0.9408;
2 r 13.8328; phi -0.0327; x 0.6913; y -0.0226; t_rel 0.9393;
2 r 13.8176; phi -0.0333; x 0.6905; y -0.0230; t_rel 0.9385;
2 r 13.8025; phi -0.0340; x 0.6897; y -0.0234; t_rel 0.9377;
2 r 13.7859; phi -0.0346; x 0.6889; y -0.0238; t_rel 0.9368;
2 r 13.7512; phi -0.0352; x 0.6871; y -0.0242; t_rel 0.9350;
2 r 13.7363; phi -0.0359; x 0.6864; y -0.0246; t_rel 0.9342;
2 r 13.7215; phi -0.0365; x 0.6856; y -0.0250; t_rel 0.9334;
2 r 13.7067; phi -0.0371; x 0.6849; y -0.0254; t_rel 0.9327;
2 r 13.6726; phi -0.0377; x 0.6831; y -0.0258; t_rel 0.9309;
