2 r 14.9782; phi 0.0002; x 0.7489; y 0.0001; t_rel 1.0000;
2 r 14.9673; phi 0.0006; x 0.7484; y 0.0004; t_rel 0.9995;
2 r 14.9510; phi 0.0012; x 0.7475; y 0.0009; t_rel 0.9988;
2 r 14.9347; phi 0.0018; x 0.7467; y 0.0014; t_rel 0.9981;
2 r 14.9185; phi 0.0025; x 0.7459; y 0.0018; t_rel 0.9974;
2 r 14.9023; phi 0.0031; x 0.7451; y 0.0023; t_rel 0.9967;
2 r 14.8862; phi 0.0037; x 0.7443; y 0.0028; t_rel 0.9960;
2 r 14.8701; phi 0.0043; x 0.7435; y 0.0032; t_rel 0.9953;
2 r 14.8540; phi 0.0050; x 0.7427; y 0.0037; t_rel 0.9946;
2 r 14.8380; phi 0.0056; x 0.7419; y 0.0042; t_rel 0.9939;
2 r 14.8220; phi 0.0062; x 0.7411; y 0.0046; t_rel 0.9932;
2 r 14.8060; phi 0.0069; x 0.7403; y 0.0051; t_rel 0.9925;
2 r 14.7901; phi 0.0075; x 0.7395; y 0.0055; t_rel 0.9918;
2 r 14.7743; phi 0.0081; x 0.7387; y 0.0060; t_rel 0.9911;
2 r 14.7584; phi 0.0087; x 0.7379; y 0.0065; t_rel 0.9904;
2 r 14.7426; phi 0.0094; x 0.7371; y 0.0069; t_rel 0.9897;
2 r 14.7269; phi 0.0100; x 0.7363; y 0.0074; t_rel 0.9890;
2 r 14.7112; phi 0.0106; x 0.7355; y 0.0078; t_rel 0.9884;
2 r 14.6955; phi 0.0113; x 0.7347; y 0.0083; t_rel 0.9877;
2 r 14.6799; phi 0.0119; x 0.7339; y 0.0087; t_rel 0.9870;
2 r 14.6643; phi 0.0125; x 0.7332; y 0.0092; t_rel 0.9863;
2 r 14.6487; phi 0.0131; x 0.7324; y 0.0096; t_rel 0.9856;
2 r 14.6332; phi 0.0138; x 0.7316; y 0.0101; t_rel 0.9850;
2 r 14.6177; phi 0.0144; x 0.7308; y 0.0105; t_rel 0.9843;
2 r 14.6022; phi 0.0150; x 0.7300; y 0.0110; t_rel 0.9836;
2 r 14.5868; phi 0.0157; x 0.7293; y 0.0114; t_rel 0.9829;
2 r 14.5715; phi 0.0163; x 0.7285; y 0.0119; t_rel 0.9823;
2 r 14.5561; phi 0.0169; x 0.7277; y 0.0123; t_rel 0.9816;
2 r 14.5408; phi 0.0175; x 0.7269; y 0.0128; t_rel 0.9809;
2 r 14.5255; phi 0.0182; x 0.7262; y 0.0132; t_rel 0.9802;
2 r 14.5103; phi 0.0188; x 0.7254; y 0.0136; t_rel 0.9796;
2 r 14.4951; phi 0.0194; x 0.7246; y 0.0141; t_rel 0.9789;
2 r 14.4800; phi 0.0201; x 0.7239; y 0.0145; t_rel 0.9783;
2 r 14.4648; phi 0.0207; x 0.7231; y 0.0150; t_rel 0.9776;
2 r 14.4498; phi 0.0213; x 0.7223; y 0.0154; t_rel 0.9769;
2 r 14.4347; phi 0.0219; x 0.7216; y 0.0158; t_rel 0.9763;
2 r 14.4197; phi 0.0226; x 0.7208; y 0.0163; t_rel 0.9756;
2 r 14.4047; phi 0.0232; x 0.7200; y 0.0167; t_rel 0.9750;
2 r 14.3898; phi 0.0238; x 0.7193; y 0.0171; t_rel 0.9743;
2 r 14.3749; phi 0.0245; x 0.7185; y 0.0176; t_rel 0.9736;
2 r 14.3600; phi 0.0251; x 0.7178; y 0.0180; t_rel 0.9730;
2 r 14.3452; phi 0.0257; x 0.7170; y 0.0184; t_rel 0.9723;
2 r 14.3304; phi 0.0263; x 0.7163; y 0.0189; t_rel 0.9717;
2 r 14.3156; phi 0.0270; x 0.7155; y 0.0193; t_rel 0.9711;
2 r 14.3009; phi 0.0276; x 0.7148; y 0.0197; t_rel 0.9704;
2 r 14.2862; phi 0.0282; x 0.7140; y 0.0202; t_rel 0.9698;
2 r 14.2715; phi 0.0288; x 0.7133; y 0.0206; t_rel 0.9691;
2 r 14.2569; phi 0.0295; x 0.7125; y 0.0210; t_rel 0.9685;
2 r 14.2423; phi 0.0301; x 0.7118; y 0.0214; t_rel 0.9678;
2 r 14.2278; phi 0.0307; x 0.7111; y 0.0219; t_rel 0.9672;
2 r 14.2132; phi 0.0314; x 0.7103; y 0.0223; t_rel 0.9666;
2 r 14.1987; phi 0.0320; x 0.7096; y 0.0227; t_rel 0.9659;
2 r 14.1843; phi 0.0326; x 0.7088; y 0.0231; t_rel 0.9653;
2 r 14.1699; phi 0.0332; x 0.7081; y 0.0236; t_rel 0.9647;
2 r 14.1555; phi 0.0339; x 0.7074; y 0.0240; t_rel 0.9640;
2 r 14.1411; phi 0.0345; x 0.7066; y 0.0244; t_rel 0.9634;
2 r 14.1268; phi 0.0351; x 0.7059; y 0.0248; t_rel 0.9628;
2 r 14.1125; phi 0.0358; x 0.7052; y 0.0252; t_rel 0.9621;
2 r 14.0983; phi 0.0364; x 0.7044; y 0.0256; t_rel 0.9615;
2 r 14.0840; phi 0.0370; x 0.7037; y 0.0261; t_rel 0.9609;
2 r 14.0699; phi 0.0376; x 0.7030; y 0.0265; t_rel 0.9603;
2 r 14.0557; phi 0.0383; x 0.7023; y 0.0269; t_rel 0.9596;
2 r 14.0416; phi 0.0389; x 0.7015; y 0.0273; t_rel 0.9590;
2 r 14.0275; phi 0.0395; x 0.7008; y 0.0277; t_rel 0.9584;
2 r 14.0134; phi 0.0402; x 0.7001; y 0.0281; t_rel 0.9578;
2 r 13.9994; phi 0.0408; x 0.6994; y 0.0285; t_rel 0.9572;
2 r 13.9854; phi 0.0414; x 0.6987; y 0.0290; t_rel 0.9565;
2 r 13.9715; phi 0.0420; x 0.6980; y 0.0294; t_rel 0.9559;
2 r 13.9575; phi 0.0427; x 0.6972; y 0.0298; t_rel 0.9553;
2 r 13.9436; phi 0.0433; x 0.6965; y 0.0302; t_rel 0.9547;
2 r 13.9298; phi 0.0439; x 0.6958; y 0.0306; t_rel 0.9541;
