2 r 14.9994; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9988; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9704; phi -0.0007; x 0.7485; y -0.0005; t_rel 0.9986;
2 r 14.9429; phi -0.0013; x 0.7471; y -0.0010; t_rel 0.9972;
2 r 14.9153; phi -0.0019; x 0.7458; y -0.0014; t_rel 0.9959;
2 r 14.9103; phi -0.0025; x 0.7455; y -0.0019; t_rel 0.9956;
2 r 14.8848; phi -0.0032; x 0.7442; y -0.0024; t_rel 0.9944;
2 r 14.8573; phi -0.0038; x 0.7429; y -0.0028; t_rel 0.9930;
2 r 14.8298; phi -0.0044; x 0.7415; y -0.0033; t_rel 0.9917;
2 r 14.8235; phi -0.0051; x 0.7412; y -0.0038; t_rel 0.9914;
2 r 14.7994; phi -0.0057; x 0.7400; y -0.0042; t_rel 0.9902;
2 r 14.7720; phi -0.0063; x 0.7386; y -0.0047; t_rel 0.9889;
2 r 14.7445; phi -0.0069; x 0.7372; y -0.0051; t_rel 0.9875;
2 r 14.7401; phi -0.0076; x 0.7370; y -0.0056; t_rel 0.9873;
2 r 14.7143; phi -0.0082; x 0.7357; y -0.0060; t_rel 0.9860;
2 r 14.6869; phi -0.0088; x 0.7343; y -0.0065; t_rel 0.9847;
2 r 14.6625; phi -0.0095; x 0.7331; y -0.0069; t_rel 0.9835;
2 r 14.6567; phi -0.0101; x 0.7328; y -0.0074; t_rel 0.9832;
2 r 14.6294; phi -0.0107; x 0.7314; y -0.0078; t_rel 0.9819;
2 r 14.6021; phi -0.0113; x 0.7301; y -0.0083; t_rel 0.9805;
2 r 14.5846; phi -0.0120; x 0.7292; y -0.0087; t_rel 0.9797;
2 r 14.5721; phi -0.0126; x 0.7285; y -0.0092; t_rel 0.9791;
2 r 14.5449; phi -0.0132; x 0.7272; y -0.0096; t_rel 0.9777;
2 r 14.5177; phi -0.0139; x 0.7258; y -0.0101; t_rel 0.9764;
2 r 14.5091; phi -0.0145; x 0.7254; y -0.0105; t_rel 0.9760;
2 r 14.4878; phi -0.0151; x 0.7243; y -0.0110; t_rel 0.9749;
2 r 14.4606; phi -0.0157; x 0.7229; y -0.0114; t_rel 0.9736;
2 r 14.4389; phi -0.0164; x 0.7218; y -0.0118; t_rel 0.9725;
2 r 14.4308; phi -0.0170; x 0.7214; y -0.0123; t_rel 0.9721;
2 r 14.4037; phi -0.0176; x 0.7201; y -0.0127; t_rel 0.9708;
2 r 14.3767; phi -0.0183; x 0.7187; y -0.0131; t_rel 0.9695;
2 r 14.3679; phi -0.0189; x 0.7183; y -0.0136; t_rel 0.9690;
2 r 14.3469; phi -0.0195; x 0.7172; y -0.0140; t_rel 0.9680;
2 r 14.3200; phi -0.0201; x 0.7159; y -0.0144; t_rel 0.9667;
2 r 14.3016; phi -0.0208; x 0.7149; y -0.0149; t_rel 0.9658;
2 r 14.2903; phi -0.0214; x 0.7143; y -0.0153; t_rel 0.9652;
2 r 14.2634; phi -0.0220; x 0.7130; y -0.0157; t_rel 0.9639;
2 r 14.2371; phi -0.0227; x 0.7117; y -0.0161; t_rel 0.9626;
2 r 14.2337; phi -0.0233; x 0.7115; y -0.0166; t_rel 0.9624;
2 r 14.2069; phi -0.0239; x 0.7101; y -0.0170; t_rel 0.9611;
2 r 14.1801; phi -0.0245; x 0.7088; y -0.0174; t_rel 0.9598;
2 r 14.1718; phi -0.0252; x 0.7084; y -0.0178; t_rel 0.9594;
2 r 14.1506; phi -0.0258; x 0.7073; y -0.0183; t_rel 0.9583;
2 r 14.1238; phi -0.0264; x 0.7059; y -0.0187; t_rel 0.9570;
2 r 14.1105; phi -0.0271; x 0.7053; y -0.0191; t_rel 0.9563;
2 r 14.0943; phi -0.0277; x 0.7044; y -0.0195; t_rel 0.9555;
2 r 14.0677; phi -0.0283; x 0.7031; y -0.0199; t_rel 0.9542;
2 r 14.0508; phi -0.0289; x 0.7022; y -0.0203; t_rel 0.9534;
2 r 14.0382; phi -0.0296; x 0.7016; y -0.0208; t_rel 0.9528;
2 r 14.0117; phi -0.0302; x 0.7003; y -0.0212; t_rel 0.9515;
2 r 13.9924; phi -0.0308; x 0.6993; y -0.0216; t_rel 0.9505;
2 r 13.9823; phi -0.0315; x 0.6988; y -0.0220; t_rel 0.9500;
2 r 13.9557; phi -0.0321; x 0.6974; y -0.0224; t_rel 0.9487;
2 r 13.9354; phi -0.0327; x 0.6964; y -0.0228; t_rel 0.9477;
2 r 13.9265; phi -0.0333; x 0.6959; y -0.0232; t_rel 0.9472;
2 r 13.9000; phi -0.0340; x 0.6946; y -0.0236; t_rel 0.9459;
2 r 13.8797; phi -0.0346; x 0.6936; y -0.0240; t_rel 0.9449;
