2 r 14.9994; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9989; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9666; phi -0.0007; x 0.7483; y -0.0005; t_rel 0.9984;
2 r 14.9416; phi -0.0013; x 0.7471; y -0.0010; t_rel 0.9972;
2 r 14.9308; phi -0.0019; x 0.7465; y -0.0014; t_rel 0.9967;
2 r 14.9100; phi -0.0025; x 0.7455; y -0.0019; t_rel 0.9957;
2 r 14.8780; phi -0.0032; x 0.7439; y -0.0024; t_rel 0.9942;
2 r 14.8635; phi -0.0038; x 0.7432; y -0.0028; t_rel 0.9935;
2 r 14.8529; phi -0.0044; x 0.7426; y -0.0033; t_rel 0.9930;
2 r 14.8213; phi -0.0051; x 0.7411; y -0.0038; t_rel 0.9914;
2 r 14.7976; phi -0.0057; x 0.7399; y -0.0042; t_rel 0.9903;
2 r 14.7872; phi -0.0063; x 0.7393; y -0.0047; t_rel 0.9898;
2 r 14.7646; phi -0.0069; x 0.7382; y -0.0051; t_rel 0.9887;
2 r 14.7330; phi -0.0076; x 0.7366; y -0.0056; t_rel 0.9872;
2 r 14.7227; phi -0.0082; x 0.7361; y -0.0060; t_rel 0.9867;
2 r 14.7077; phi -0.0088; x 0.7354; y -0.0065; t_rel 0.9860;
2 r 14.6757; phi -0.0095; x 0.7338; y -0.0069; t_rel 0.9844;
2 r 14.6594; phi -0.0101; x 0.7329; y -0.0074; t_rel 0.9836;
2 r 14.6494; phi -0.0107; x 0.7324; y -0.0079; t_rel 0.9832;
2 r 14.6188; phi -0.0113; x 0.7309; y -0.0083; t_rel 0.9817;
2 r 14.5972; phi -0.0120; x 0.7298; y -0.0087; t_rel 0.9807;
2 r 14.5873; phi -0.0126; x 0.7293; y -0.0092; t_rel 0.9802;
2 r 14.5617; phi -0.0132; x 0.7280; y -0.0096; t_rel 0.9789;
2 r 14.5361; phi -0.0139; x 0.7267; y -0.0101; t_rel 0.9777;
2 r 14.5264; phi -0.0145; x 0.7262; y -0.0105; t_rel 0.9772;
2 r 14.5045; phi -0.0151; x 0.7251; y -0.0110; t_rel 0.9762;
2 r 14.4761; phi -0.0157; x 0.7237; y -0.0114; t_rel 0.9748;
2 r 14.4666; phi -0.0164; x 0.7232; y -0.0118; t_rel 0.9744;
2 r 14.4474; phi -0.0170; x 0.7223; y -0.0123; t_rel 0.9734;
2 r 14.4171; phi -0.0176; x 0.7207; y -0.0127; t_rel 0.9720;
2 r 14.4078; phi -0.0183; x 0.7203; y -0.0132; t_rel 0.9715;
2 r 14.3902; phi -0.0189; x 0.7194; y -0.0136; t_rel 0.9707;
2 r 14.3591; phi -0.0195; x 0.7178; y -0.0140; t_rel 0.9692;
2 r 14.3499; phi -0.0201; x 0.7173; y -0.0145; t_rel 0.9687;
2 r 14.3328; phi -0.0208; x 0.7165; y -0.0149; t_rel 0.9679;
