2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9992; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9691; phi 0.0006; x 0.7485; y 0.0005; t_rel 0.9989;
2 r 14.9391; phi 0.0013; x 0.7470; y 0.0010; t_rel 0.9979;
2 r 14.9093; phi 0.0019; x 0.7455; y 0.0014; t_rel 0.9968;
2 r 14.8795; phi 0.0025; x 0.7440; y 0.0019; t_rel 0.9958;
2 r 14.8499; phi 0.0032; x 0.7425; y 0.0023; t_rel 0.9948;
2 r 14.8204; phi 0.0038; x 0.7410; y 0.0028; t_rel 0.9937;
2 r 14.7910; phi 0.0044; x 0.7395; y 0.0033; t_rel 0.9927;
2 r 14.7618; phi 0.0050; x 0.7381; y 0.0037; t_rel 0.9917;
2 r 14.7327; phi 0.0057; x 0.7366; y 0.0042; t_rel 0.9907;
2 r 14.7037; phi 0.0063; x 0.7352; y 0.0046; t_rel 0.9897;
2 r 14.6748; phi 0.0069; x 0.7337; y 0.0051; t_rel 0.9886;
2 r 14.6460; phi 0.0076; x 0.7323; y 0.0055; t_rel 0.9876;
2 r 14.6174; phi 0.0082; x 0.7308; y 0.0060; t_rel 0.9866;
2 r 14.5888; phi 0.0088; x 0.7294; y 0.0064; t_rel 0.9856;
2 r 14.5604; phi 0.0094; x 0.7280; y 0.0069; t_rel 0.9846;
2 r 14.5321; phi 0.0101; x 0.7266; y 0.0073; t_rel 0.9837;
2 r 14.5039; phi 0.0107; x 0.7252; y 0.0078; t_rel 0.9827;
2 r 14.4758; phi 0.0113; x 0.7237; y 0.0082; t_rel 0.9817;
2 r 14.4479; phi 0.0120; x 0.7223; y 0.0086; t_rel 0.9807;
2 r 14.4200; phi 0.0126; x 0.7209; y 0.0091; t_rel 0.9797;
2 r 14.3923; phi 0.0132; x 0.7196; y 0.0095; t_rel 0.9788;
2 r 14.3646; phi 0.0138; x 0.7182; y 0.0099; t_rel 0.9778;
2 r 14.3371; phi 0.0145; x 0.7168; y 0.0104; t_rel 0.9768;
2 r 14.3097; phi 0.0151; x 0.7154; y 0.0108; t_rel 0.9759;
2 r 14.2824; phi 0.0157; x 0.7140; y 0.0112; t_rel 0.9749;
2 r 14.2552; phi 0.0164; x 0.7127; y 0.0117; t_rel 0.9739;
2 r 14.2281; phi 0.0170; x 0.7113; y 0.0121; t_rel 0.9730;
2 r 14.2011; phi 0.0176; x 0.7099; y 0.0125; t_rel 0.9720;
2 r 14.1743; phi 0.0182; x 0.7086; y 0.0129; t_rel 0.9711;
2 r 14.1475; phi 0.0189; x 0.7072; y 0.0133; t_rel 0.9702;
2 r 14.1209; phi 0.0195; x 0.7059; y 0.0138; t_rel 0.9692;
