2 r 14.9994; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9800; phi -0.0000; x 0.7490; y -0.0000; t_rel 0.9990;
2 r 14.9592; phi -0.0007; x 0.7480; y -0.0005; t_rel 0.9979;
2 r 14.9384; phi -0.0013; x 0.7469; y -0.0010; t_rel 0.9969;
2 r 14.9178; phi -0.0019; x 0.7459; y -0.0014; t_rel 0.9958;
2 r 14.8972; phi -0.0025; x 0.7449; y -0.0019; t_rel 0.9948;
2 r 14.8768; phi -0.0032; x 0.7438; y -0.0024; t_rel 0.9937;
2 r 14.8564; phi -0.0038; x 0.7428; y -0.0028; t_rel 0.9927;
2 r 14.8159; phi -0.0044; x 0.7408; y -0.0033; t_rel 0.9906;
2 r 14.7958; phi -0.0051; x 0.7398; y -0.0037; t_rel 0.9895;
2 r 14.7758; phi -0.0057; x 0.7388; y -0.0042; t_rel 0.9885;
2 r 14.7559; phi -0.0063; x 0.7378; y -0.0047; t_rel 0.9875;
2 r 14.7361; phi -0.0069; x 0.7368; y -0.0051; t_rel 0.9865;
2 r 14.7164; phi -0.0076; x 0.7358; y -0.0056; t_rel 0.9855;
2 r 14.6866; phi -0.0082; x 0.7343; y -0.0060; t_rel 0.9839;
2 r 14.6577; phi -0.0088; x 0.7329; y -0.0065; t_rel 0.9824;
2 r 14.6383; phi -0.0095; x 0.7319; y -0.0069; t_rel 0.9814;
2 r 14.6191; phi -0.0101; x 0.7309; y -0.0074; t_rel 0.9804;
2 r 14.5998; phi -0.0107; x 0.7300; y -0.0078; t_rel 0.9795;
2 r 14.5807; phi -0.0113; x 0.7290; y -0.0083; t_rel 0.9785;
2 r 14.5440; phi -0.0120; x 0.7271; y -0.0087; t_rel 0.9766;
2 r 14.5238; phi -0.0126; x 0.7261; y -0.0091; t_rel 0.9755;
2 r 14.5050; phi -0.0132; x 0.7252; y -0.0096; t_rel 0.9746;
2 r 14.4863; phi -0.0139; x 0.7242; y -0.0100; t_rel 0.9736;
2 r 14.4677; phi -0.0145; x 0.7233; y -0.0105; t_rel 0.9726;
2 r 14.4491; phi -0.0151; x 0.7224; y -0.0109; t_rel 0.9717;
2 r 14.4122; phi -0.0157; x 0.7205; y -0.0113; t_rel 0.9698;
2 r 14.3939; phi -0.0164; x 0.7196; y -0.0118; t_rel 0.9688;
2 r 14.3757; phi -0.0170; x 0.7187; y -0.0122; t_rel 0.9679;
2 r 14.3575; phi -0.0176; x 0.7178; y -0.0127; t_rel 0.9670;
2 r 14.3394; phi -0.0183; x 0.7169; y -0.0131; t_rel 0.9660;
2 r 14.3034; phi -0.0189; x 0.7150; y -0.0135; t_rel 0.9642;
2 r 14.2855; phi -0.0195; x 0.7141; y -0.0139; t_rel 0.9632;
2 r 14.2677; phi -0.0201; x 0.7132; y -0.0144; t_rel 0.9623;
2 r 14.2500; phi -0.0208; x 0.7123; y -0.0148; t_rel 0.9614;
2 r 14.2324; phi -0.0214; x 0.7115; y -0.0152; t_rel 0.9605;
2 r 14.1972; phi -0.0220; x 0.7097; y -0.0156; t_rel 0.9587;
2 r 14.1798; phi -0.0227; x 0.7088; y -0.0161; t_rel 0.9578;
2 r 14.1624; phi -0.0233; x 0.7079; y -0.0165; t_rel 0.9569;
2 r 14.1452; phi -0.0239; x 0.7071; y -0.0169; t_rel 0.9560;
2 r 14.1179; phi -0.0245; x 0.7057; y -0.0173; t_rel 0.9546;
2 r 14.0936; phi -0.0252; x 0.7045; y -0.0177; t_rel 0.9533;
2 r 14.0766; phi -0.0258; x 0.7036; y -0.0182; t_rel 0.9524;
2 r 14.0597; phi -0.0264; x 0.7027; y -0.0186; t_rel 0.9515;
2 r 14.0427; phi -0.0271; x 0.7019; y -0.0190; t_rel 0.9507;
2 r 14.0091; phi -0.0277; x 0.7002; y -0.0194; t_rel 0.9489;
2 r 13.9924; phi -0.0283; x 0.6993; y -0.0198; t_rel 0.9481;
2 r 13.9758; phi -0.0289; x 0.6985; y -0.0202; t_rel 0.9472;
2 r 13.9593; phi -0.0296; x 0.6977; y -0.0206; t_rel 0.9463;
2 r 13.9262; phi -0.0302; x 0.6960; y -0.0210; t_rel 0.9446;
2 r 13.9099; phi -0.0308; x 0.6952; y -0.0214; t_rel 0.9438;
2 r 13.8936; phi -0.0315; x 0.6943; y -0.0218; t_rel 0.9429;
2 r 13.8773; phi -0.0321; x 0.6935; y -0.0223; t_rel 0.9421;
2 r 13.8449; phi -0.0327; x 0.6919; y -0.0226; t_rel 0.9404;
2 r 13.8289; phi -0.0333; x 0.6911; y -0.0230; t_rel 0.9396;
2 r 13.8129; phi -0.0340; x 0.6902; y -0.0235; t_rel 0.9387;
2 r 13.7969; phi -0.0346; x 0.6894; y -0.0239; t_rel 0.9379;
2 r 13.7652; phi -0.0352; x 0.6878; y -0.0242; t_rel 0.9362;
2 r 13.7494; phi -0.0359; x 0.6870; y -0.0246; t_rel 0.9354;
2 r 13.7337; phi -0.0365; x 0.6862; y -0.0250; t_rel 0.9346;
2 r 13.7089; phi -0.0371; x 0.6850; y -0.0254; t_rel 0.9333;
2 r 13.7009; phi -0.0377; x 0.6846; y -0.0258; t_rel 0.9329;
2 r 13.6772; phi -0.0384; x 0.6834; y -0.0262; t_rel 0.9317;
2 r 13.6536; phi -0.0390; x 0.6822; y -0.0266; t_rel 0.9304;
2 r 13.6300; phi -0.0396; x 0.6810; y -0.0270; t_rel 0.9292;
2 r 13.6220; phi -0.0403; x 0.6805; y -0.0274; t_rel 0.9288;
2 r 13.5985; phi -0.0409; x 0.6794; y -0.0278; t_rel 0.9276;
2 r 13.5750; phi -0.0415; x 0.6782; y -0.0282; t_rel 0.9263;
2 r 13.5515; phi -0.0421; x 0.6770; y -0.0285; t_rel 0.9251;
2 r 13.5436; phi -0.0428; x 0.6766; y -0.0290; t_rel 0.9247;
2 r 13.5202; phi -0.0434; x 0.6754; y -0.0293; t_rel 0.9235;
2 r 13.4969; phi -0.0440; x 0.6742; y -0.0297; t_rel 0.9223;
2 r 13.4890; phi -0.0447; x 0.6738; y -0.0301; t_rel 0.9219;
2 r 13.4657; phi -0.0453; x 0.6726; y -0.0305; t_rel 0.9206;
2 r 13.4425; phi -0.0459; x 0.6714; y -0.0308; t_rel 0.9194;
2 r 13.4192; phi -0.0465; x 0.6702; y -0.0312; t_rel 0.9182;
2 r 13.4112; phi -0.0472; x 0.6698; y -0.0316; t_rel 0.9178;
2 r 13.3879; phi -0.0478; x 0.6686; y -0.0320; t_rel 0.9166;
2 r 13.3646; phi -0.0484; x 0.6674; y -0.0323; t_rel 0.9154;
2 r 13.3564; phi -0.0491; x 0.6670; y -0.0327; t_rel 0.9149;
2 r 13.3330; phi -0.0497; x 0.6658; y -0.0331; t_rel 0.9137;
2 r 13.3095; phi -0.0503; x 0.6646; y -0.0335; t_rel 0.9125;
2 r 13.3012; phi -0.0509; x 0.6642; y -0.0339; t_rel 0.9120;
