2 r 14.9725; phi 0.0004; x 0.7486; y 0.0003; t_rel 1.0000;
2 r 14.9618; phi 0.0008; x 0.7481; y 0.0006; t_rel 0.9995;
2 r 14.9460; phi 0.0014; x 0.7473; y 0.0011; t_rel 0.9989;
2 r 14.9303; phi 0.0021; x 0.7465; y 0.0015; t_rel 0.9982;
2 r 14.9146; phi 0.0027; x 0.7457; y 0.0020; t_rel 0.9975;
2 r 14.8990; phi 0.0033; x 0.7449; y 0.0025; t_rel 0.9968;
2 r 14.8834; phi 0.0040; x 0.7442; y 0.0029; t_rel 0.9962;
2 r 14.8678; phi 0.0046; x 0.7434; y 0.0034; t_rel 0.9955;
2 r 14.8523; phi 0.0052; x 0.7426; y 0.0039; t_rel 0.9948;
2 r 14.8368; phi 0.0058; x 0.7418; y 0.0043; t_rel 0.9942;
2 r 14.8214; phi 0.0065; x 0.7411; y 0.0048; t_rel 0.9935;
2 r 14.8060; phi 0.0071; x 0.7403; y 0.0053; t_rel 0.9928;
2 r 14.7906; phi 0.0077; x 0.7395; y 0.0057; t_rel 0.9922;
2 r 14.7752; phi 0.0084; x 0.7387; y 0.0062; t_rel 0.9915;
2 r 14.7599; phi 0.0090; x 0.7380; y 0.0066; t_rel 0.9908;
2 r 14.7447; phi 0.0096; x 0.7372; y 0.0071; t_rel 0.9902;
2 r 14.7294; phi 0.0102; x 0.7364; y 0.0075; t_rel 0.9895;
2 r 14.7143; phi 0.0109; x 0.7357; y 0.0080; t_rel 0.9889;
2 r 14.6991; phi 0.0115; x 0.7349; y 0.0085; t_rel 0.9882;
2 r 14.6840; phi 0.0121; x 0.7341; y 0.0089; t_rel 0.9876;
2 r 14.6689; phi 0.0128; x 0.7334; y 0.0094; t_rel 0.9869;
2 r 14.6538; phi 0.0134; x 0.7326; y 0.0098; t_rel 0.9863;
2 r 14.6388; phi 0.0140; x 0.7319; y 0.0103; t_rel 0.9856;
2 r 14.6238; phi 0.0146; x 0.7311; y 0.0107; t_rel 0.9850;
2 r 14.6089; phi 0.0153; x 0.7304; y 0.0112; t_rel 0.9843;
2 r 14.5940; phi 0.0159; x 0.7296; y 0.0116; t_rel 0.9837;
2 r 14.5791; phi 0.0165; x 0.7289; y 0.0120; t_rel 0.9830;
2 r 14.5643; phi 0.0172; x 0.7281; y 0.0125; t_rel 0.9824;
2 r 14.5495; phi 0.0178; x 0.7274; y 0.0129; t_rel 0.9817;
2 r 14.5347; phi 0.0184; x 0.7266; y 0.0134; t_rel 0.9811;
2 r 14.5199; phi 0.0190; x 0.7259; y 0.0138; t_rel 0.9805;
2 r 14.5052; phi 0.0197; x 0.7251; y 0.0143; t_rel 0.9798;
2 r 14.4906; phi 0.0203; x 0.7244; y 0.0147; t_rel 0.9792;
2 r 14.4759; phi 0.0209; x 0.7236; y 0.0151; t_rel 0.9786;
2 r 14.4613; phi 0.0216; x 0.7229; y 0.0156; t_rel 0.9779;
2 r 14.4468; phi 0.0222; x 0.7222; y 0.0160; t_rel 0.9773;
2 r 14.4322; phi 0.0228; x 0.7214; y 0.0165; t_rel 0.9767;
2 r 14.4177; phi 0.0234; x 0.7207; y 0.0169; t_rel 0.9761;
2 r 14.4033; phi 0.0241; x 0.7200; y 0.0173; t_rel 0.9754;
2 r 14.3888; phi 0.0247; x 0.7192; y 0.0178; t_rel 0.9748;
2 r 14.3745; phi 0.0253; x 0.7185; y 0.0182; t_rel 0.9742;
2 r 14.3601; phi 0.0260; x 0.7178; y 0.0186; t_rel 0.9736;
2 r 14.3458; phi 0.0266; x 0.7170; y 0.0191; t_rel 0.9729;
2 r 14.3315; phi 0.0272; x 0.7163; y 0.0195; t_rel 0.9723;
2 r 14.3172; phi 0.0278; x 0.7156; y 0.0199; t_rel 0.9717;
2 r 14.3030; phi 0.0285; x 0.7149; y 0.0204; t_rel 0.9711;
2 r 14.2888; phi 0.0291; x 0.7141; y 0.0208; t_rel 0.9705;
2 r 14.2746; phi 0.0297; x 0.7134; y 0.0212; t_rel 0.9698;
2 r 14.2605; phi 0.0303; x 0.7127; y 0.0216; t_rel 0.9692;
2 r 14.2464; phi 0.0310; x 0.7120; y 0.0221; t_rel 0.9686;
2 r 14.2323; phi 0.0316; x 0.7113; y 0.0225; t_rel 0.9680;
2 r 14.2182; phi 0.0322; x 0.7105; y 0.0229; t_rel 0.9674;
2 r 14.2042; phi 0.0329; x 0.7098; y 0.0233; t_rel 0.9668;
2 r 14.1903; phi 0.0335; x 0.7091; y 0.0238; t_rel 0.9662;
2 r 14.1763; phi 0.0341; x 0.7084; y 0.0242; t_rel 0.9656;
2 r 14.1624; phi 0.0347; x 0.7077; y 0.0246; t_rel 0.9650;
2 r 14.1485; phi 0.0354; x 0.7070; y 0.0250; t_rel 0.9644;
2 r 14.1347; phi 0.0360; x 0.7063; y 0.0254; t_rel 0.9638;
2 r 14.1209; phi 0.0366; x 0.7056; y 0.0259; t_rel 0.9632;
2 r 14.1071; phi 0.0373; x 0.7049; y 0.0263; t_rel 0.9626;
2 r 14.0933; phi 0.0379; x 0.7042; y 0.0267; t_rel 0.9620;
2 r 14.0796; phi 0.0385; x 0.7035; y 0.0271; t_rel 0.9614;
2 r 14.0659; phi 0.0391; x 0.7028; y 0.0275; t_rel 0.9608;
2 r 14.0523; phi 0.0398; x 0.7021; y 0.0279; t_rel 0.9602;
2 r 14.0386; phi 0.0404; x 0.7014; y 0.0284; t_rel 0.9596;
2 r 14.0250; phi 0.0410; x 0.7007; y 0.0288; t_rel 0.9590;
2 r 14.0115; phi 0.0417; x 0.7000; y 0.0292; t_rel 0.9584;
2 r 13.9979; phi 0.0423; x 0.6993; y 0.0296; t_rel 0.9578;
2 r 13.9844; phi 0.0429; x 0.6986; y 0.0300; t_rel 0.9572;
2 r 13.9709; phi 0.0435; x 0.6979; y 0.0304; t_rel 0.9567;
2 r 13.9575; phi 0.0442; x 0.6972; y 0.0308; t_rel 0.9561;
2 r 13.9441; phi 0.0448; x 0.6965; y 0.0312; t_rel 0.9555;
2 r 13.9307; phi 0.0454; x 0.6958; y 0.0316; t_rel 0.9549;
2 r 13.9173; phi 0.0461; x 0.6951; y 0.0320; t_rel 0.9543;
