2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9989; phi 0.0000; x 0.7499; y 0.0000; t_rel 1.0000;
2 r 14.9596; phi 0.0006; x 0.7480; y 0.0005; t_rel 0.9986;
2 r 14.9205; phi 0.0013; x 0.7460; y 0.0010; t_rel 0.9972;
2 r 14.8816; phi 0.0019; x 0.7441; y 0.0014; t_rel 0.9958;
2 r 14.8428; phi 0.0025; x 0.7421; y 0.0019; t_rel 0.9944;
2 r 14.8043; phi 0.0032; x 0.7402; y 0.0023; t_rel 0.9931;
2 r 14.7660; phi 0.0038; x 0.7383; y 0.0028; t_rel 0.9917;
2 r 14.7279; phi 0.0044; x 0.7364; y 0.0033; t_rel 0.9904;
2 r 14.6900; phi 0.0050; x 0.7345; y 0.0037; t_rel 0.9890;
2 r 14.6523; phi 0.0057; x 0.7326; y 0.0042; t_rel 0.9877;
2 r 14.6148; phi 0.0063; x 0.7307; y 0.0046; t_rel 0.9863;
2 r 14.5775; phi 0.0069; x 0.7289; y 0.0051; t_rel 0.9850;
2 r 14.5404; phi 0.0076; x 0.7270; y 0.0055; t_rel 0.9837;
2 r 14.5035; phi 0.0082; x 0.7251; y 0.0059; t_rel 0.9824;
2 r 14.4667; phi 0.0088; x 0.7233; y 0.0064; t_rel 0.9811;
2 r 14.4302; phi 0.0094; x 0.7215; y 0.0068; t_rel 0.9798;
2 r 14.3938; phi 0.0101; x 0.7197; y 0.0073; t_rel 0.9785;
2 r 14.3577; phi 0.0107; x 0.7178; y 0.0077; t_rel 0.9772;
2 r 14.3217; phi 0.0113; x 0.7160; y 0.0081; t_rel 0.9759;
2 r 14.2859; phi 0.0120; x 0.7142; y 0.0085; t_rel 0.9746;
2 r 14.2503; phi 0.0126; x 0.7125; y 0.0090; t_rel 0.9734;
2 r 14.2149; phi 0.0132; x 0.7107; y 0.0094; t_rel 0.9721;
2 r 14.1796; phi 0.0138; x 0.7089; y 0.0098; t_rel 0.9708;
2 r 14.1446; phi 0.0145; x 0.7072; y 0.0102; t_rel 0.9696;
2 r 14.1097; phi 0.0151; x 0.7054; y 0.0107; t_rel 0.9683;
2 r 14.0749; phi 0.0157; x 0.7037; y 0.0111; t_rel 0.9671;
2 r 14.0404; phi 0.0164; x 0.7019; y 0.0115; t_rel 0.9659;
2 r 14.0060; phi 0.0170; x 0.7002; y 0.0119; t_rel 0.9646;
2 r 13.9718; phi 0.0176; x 0.6985; y 0.0123; t_rel 0.9634;
2 r 13.9378; phi 0.0182; x 0.6968; y 0.0127; t_rel 0.9622;
2 r 13.9039; phi 0.0189; x 0.6951; y 0.0131; t_rel 0.9610;
2 r 13.8703; phi 0.0195; x 0.6934; y 0.0135; t_rel 0.9598;
2 r 13.8367; phi 0.0201; x 0.6917; y 0.0139; t_rel 0.9586;
2 r 13.8034; phi 0.0208; x 0.6900; y 0.0143; t_rel 0.9574;
2 r 13.7702; phi 0.0214; x 0.6884; y 0.0147; t_rel 0.9562;
2 r 13.7372; phi 0.0220; x 0.6867; y 0.0151; t_rel 0.9550;
2 r 13.7043; phi 0.0227; x 0.6850; y 0.0155; t_rel 0.9538;
2 r 13.6716; phi 0.0233; x 0.6834; y 0.0159; t_rel 0.9526;
2 r 13.6391; phi 0.0239; x 0.6818; y 0.0163; t_rel 0.9515;
2 r 13.6067; phi 0.0245; x 0.6801; y 0.0167; t_rel 0.9503;
2 r 13.5744; phi 0.0252; x 0.6785; y 0.0171; t_rel 0.9492;
2 r 13.5424; phi 0.0258; x 0.6769; y 0.0175; t_rel 0.9480;
2 r 13.5105; phi 0.0264; x 0.6753; y 0.0178; t_rel 0.9469;
2 r 13.4787; phi 0.0271; x 0.6737; y 0.0182; t_rel 0.9457;
2 r 13.4471; phi 0.0277; x 0.6721; y 0.0186; t_rel 0.9446;
2 r 13.4156; phi 0.0283; x 0.6705; y 0.0190; t_rel 0.9434;
2 r 13.3843; phi 0.0289; x 0.6689; y 0.0194; t_rel 0.9423;
2 r 13.3532; phi 0.0296; x 0.6674; y 0.0197; t_rel 0.9412;
2 r 13.3222; phi 0.0302; x 0.6658; y 0.0201; t_rel 0.9401;
2 r 13.2913; phi 0.0308; x 0.6642; y 0.0205; t_rel 0.9390;
2 r 13.2606; phi 0.0315; x 0.6627; y 0.0209; t_rel 0.9378;
2 r 13.2300; phi 0.0321; x 0.6612; y 0.0212; t_rel 0.9367;
2 r 13.1996; phi 0.0327; x 0.6596; y 0.0216; t_rel 0.9356;
2 r 13.1693; phi 0.0333; x 0.6581; y 0.0219; t_rel 0.9345;
2 r 13.1392; phi 0.0340; x 0.6566; y 0.0223; t_rel 0.9335;
2 r 13.1092; phi 0.0346; x 0.6551; y 0.0227; t_rel 0.9324;
2 r 13.0793; phi 0.0352; x 0.6536; y 0.0230; t_rel 0.9313;
2 r 13.0496; phi 0.0359; x 0.6521; y 0.0234; t_rel 0.9302;
2 r 13.0201; phi 0.0365; x 0.6506; y 0.0237; t_rel 0.9291;
2 r 12.9906; phi 0.0371; x 0.6491; y 0.0241; t_rel 0.9281;
2 r 12.9613; phi 0.0377; x 0.6476; y 0.0245; t_rel 0.9270;
2 r 12.9322; phi 0.0384; x 0.6461; y 0.0248; t_rel 0.9260;
2 r 12.9031; phi 0.0390; x 0.6447; y 0.0252; t_rel 0.9249;
2 r 12.8742; phi 0.0396; x 0.6432; y 0.0255; t_rel 0.9239;
2 r 12.8455; phi 0.0403; x 0.6418; y 0.0258; t_rel 0.9228;
2 r 12.8168; phi 0.0409; x 0.6403; y 0.0262; t_rel 0.9218;
2 r 12.7883; phi 0.0415; x 0.6389; y 0.0265; t_rel 0.9207;
2 r 12.7600; phi 0.0421; x 0.6374; y 0.0269; t_rel 0.9197;
2 r 12.7317; phi 0.0428; x 0.6360; y 0.0272; t_rel 0.9187;
2 r 12.7036; phi 0.0434; x 0.6346; y 0.0276; t_rel 0.9176;
2 r 12.6756; phi 0.0440; x 0.6332; y 0.0279; t_rel 0.9166;
2 r 12.6478; phi 0.0447; x 0.6318; y 0.0282; t_rel 0.9156;
2 r 12.6200; phi 0.0453; x 0.6304; y 0.0286; t_rel 0.9146;
2 r 12.5924; phi 0.0459; x 0.6290; y 0.0289; t_rel 0.9136;
2 r 12.5650; phi 0.0465; x 0.6276; y 0.0292; t_rel 0.9126;
2 r 12.5376; phi 0.0472; x 0.6262; y 0.0296; t_rel 0.9116;
2 r 12.5104; phi 0.0478; x 0.6248; y 0.0299; t_rel 0.9106;
2 r 12.4832; phi 0.0484; x 0.6234; y 0.0302; t_rel 0.9096;
2 r 12.4563; phi 0.0491; x 0.6221; y 0.0305; t_rel 0.9086;
2 r 12.4294; phi 0.0497; x 0.6207; y 0.0309; t_rel 0.9076;
2 r 12.4026; phi 0.0503; x 0.6193; y 0.0312; t_rel 0.9067;
2 r 12.3760; phi 0.0509; x 0.6180; y 0.0315; t_rel 0.9057;
2 r 12.3495; phi 0.0516; x 0.6167; y 0.0318; t_rel 0.9047;
2 r 12.3231; phi 0.0522; x 0.6153; y 0.0321; t_rel 0.9038;
2 r 12.2968; phi 0.0528; x 0.6140; y 0.0325; t_rel 0.9028;
2 r 12.2706; phi 0.0535; x 0.6127; y 0.0328; t_rel 0.9018;
2 r 12.2446; phi 0.0541; x 0.6113; y 0.0331; t_rel 0.9009;
2 r 12.2186; phi 0.0547; x 0.6100; y 0.0334; t_rel 0.8999;
2 r 12.1928; phi 0.0553; x 0.6087; y 0.0337; t_rel 0.8990;
2 r 12.1671; phi 0.0560; x 0.6074; y 0.0340; t_rel 0.8980;
2 r 12.1415; phi 0.0566; x 0.6061; y 0.0343; t_rel 0.8971;
2 r 12.1160; phi 0.0572; x 0.6048; y 0.0347; t_rel 0.8962;
2 r 12.0906; phi 0.0579; x 0.6035; y 0.0350; t_rel 0.8952;
2 r 12.0654; phi 0.0585; x 0.6022; y 0.0353; t_rel 0.8943;
2 r 12.0402; phi 0.0591; x 0.6010; y 0.0356; t_rel 0.8934;
2 r 12.0151; phi 0.0597; x 0.5997; y 0.0359; t_rel 0.8925;
2 r 11.9902; phi 0.0604; x 0.5984; y 0.0362; t_rel 0.8915;
2 r 11.9654; phi 0.0610; x 0.5972; y 0.0365; t_rel 0.8906;
2 r 11.9406; phi 0.0616; x 0.5959; y 0.0368; t_rel 0.8897;
2 r 11.9160; phi 0.0623; x 0.5946; y 0.0371; t_rel 0.8888;
2 r 11.8915; phi 0.0629; x 0.5934; y 0.0374; t_rel 0.8879;
2 r 11.8671; phi 0.0635; x 0.5922; y 0.0377; t_rel 0.8870;
2 r 11.8427; phi 0.0641; x 0.5909; y 0.0380; t_rel 0.8861;
2 r 11.8185; phi 0.0648; x 0.5897; y 0.0383; t_rel 0.8852;
2 r 11.7944; phi 0.0654; x 0.5885; y 0.0385; t_rel 0.8843;
2 r 11.7704; phi 0.0660; x 0.5872; y 0.0388; t_rel 0.8834;
2 r 11.7465; phi 0.0667; x 0.5860; y 0.0391; t_rel 0.8825;
2 r 11.7227; phi 0.0673; x 0.5848; y 0.0394; t_rel 0.8817;
2 r 11.6990; phi 0.0679; x 0.5836; y 0.0397; t_rel 0.8808;
2 r 11.6754; phi 0.0685; x 0.5824; y 0.0400; t_rel 0.8799;
2 r 11.6519; phi 0.0692; x 0.5812; y 0.0403; t_rel 0.8790;
2 r 11.6285; phi 0.0698; x 0.5800; y 0.0406; t_rel 0.8782;
2 r 11.6052; phi 0.0704; x 0.5788; y 0.0408; t_rel 0.8773;
2 r 11.5819; phi 0.0711; x 0.5776; y 0.0411; t_rel 0.8765;
2 r 11.5588; phi 0.0717; x 0.5765; y 0.0414; t_rel 0.8756;
2 r 11.5358; phi 0.0723; x 0.5753; y 0.0417; t_rel 0.8747;
