2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9962; phi -0.0000; x 0.7498; y -0.0000; t_rel 0.9999;
2 r 14.8561; phi -0.0006; x 0.7428; y -0.0005; t_rel 0.9945;
2 r 14.7186; phi -0.0013; x 0.7359; y -0.0009; t_rel 0.9892;
2 r 14.5836; phi -0.0019; x 0.7292; y -0.0014; t_rel 0.9840;
2 r 14.4511; phi -0.0025; x 0.7226; y -0.0018; t_rel 0.9789;
2 r 14.3209; phi -0.0032; x 0.7160; y -0.0023; t_rel 0.9739;
2 r 14.1931; phi -0.0038; x 0.7097; y -0.0027; t_rel 0.9689;
2 r 14.0676; phi -0.0044; x 0.7034; y -0.0031; t_rel 0.9641;
2 r 13.9442; phi -0.0051; x 0.6972; y -0.0035; t_rel 0.9593;
2 r 13.8230; phi -0.0057; x 0.6911; y -0.0039; t_rel 0.9546;
2 r 13.7039; phi -0.0063; x 0.6852; y -0.0043; t_rel 0.9499;
2 r 13.5869; phi -0.0069; x 0.6793; y -0.0047; t_rel 0.9454;
2 r 13.4718; phi -0.0076; x 0.6736; y -0.0051; t_rel 0.9409;
2 r 13.3587; phi -0.0082; x 0.6679; y -0.0055; t_rel 0.9365;
2 r 13.2474; phi -0.0088; x 0.6623; y -0.0059; t_rel 0.9321;
2 r 13.1380; phi -0.0095; x 0.6569; y -0.0062; t_rel 0.9278;
2 r 13.0304; phi -0.0101; x 0.6515; y -0.0066; t_rel 0.9236;
2 r 12.9245; phi -0.0107; x 0.6462; y -0.0069; t_rel 0.9195;
2 r 12.8204; phi -0.0114; x 0.6410; y -0.0073; t_rel 0.9154;
2 r 12.7179; phi -0.0120; x 0.6358; y -0.0076; t_rel 0.9113;
2 r 12.6170; phi -0.0126; x 0.6308; y -0.0080; t_rel 0.9073;
2 r 12.5178; phi -0.0133; x 0.6258; y -0.0083; t_rel 0.9034;
2 r 12.4201; phi -0.0139; x 0.6209; y -0.0086; t_rel 0.8996;
2 r 12.3239; phi -0.0145; x 0.6161; y -0.0089; t_rel 0.8957;
2 r 12.2292; phi -0.0151; x 0.6114; y -0.0093; t_rel 0.8920;
2 r 12.1359; phi -0.0158; x 0.6067; y -0.0096; t_rel 0.8883;
2 r 12.0441; phi -0.0164; x 0.6021; y -0.0099; t_rel 0.8846;
2 r 11.9536; phi -0.0170; x 0.5976; y -0.0102; t_rel 0.8810;
2 r 11.8645; phi -0.0177; x 0.5931; y -0.0105; t_rel 0.8775;
2 r 11.7767; phi -0.0183; x 0.5887; y -0.0108; t_rel 0.8739;
2 r 11.6902; phi -0.0189; x 0.5844; y -0.0111; t_rel 0.8705;
2 r 11.6050; phi -0.0196; x 0.5801; y -0.0113; t_rel 0.8671;
2 r 11.5210; phi -0.0202; x 0.5759; y -0.0116; t_rel 0.8637;
2 r 11.4382; phi -0.0208; x 0.5718; y -0.0119; t_rel 0.8603;
2 r 11.3566; phi -0.0214; x 0.5677; y -0.0122; t_rel 0.8571;
2 r 11.2762; phi -0.0221; x 0.5637; y -0.0124; t_rel 0.8538;
2 r 11.1969; phi -0.0227; x 0.5597; y -0.0127; t_rel 0.8506;
2 r 11.1187; phi -0.0233; x 0.5558; y -0.0130; t_rel 0.8474;
2 r 11.0416; phi -0.0240; x 0.5519; y -0.0132; t_rel 0.8443;
2 r 10.9655; phi -0.0246; x 0.5481; y -0.0135; t_rel 0.8412;
2 r 10.8905; phi -0.0252; x 0.5444; y -0.0137; t_rel 0.8382;
2 r 10.8166; phi -0.0259; x 0.5406; y -0.0140; t_rel 0.8352;
2 r 10.7436; phi -0.0265; x 0.5370; y -0.0142; t_rel 0.8322;
2 r 10.6716; phi -0.0271; x 0.5334; y -0.0145; t_rel 0.8292;
2 r 10.6006; phi -0.0277; x 0.5298; y -0.0147; t_rel 0.8263;
2 r 10.5305; phi -0.0284; x 0.5263; y -0.0149; t_rel 0.8235;
2 r 10.4613; phi -0.0290; x 0.5228; y -0.0152; t_rel 0.8206;
2 r 10.3930; phi -0.0296; x 0.5194; y -0.0154; t_rel 0.8178;
2 r 10.3257; phi -0.0303; x 0.5160; y -0.0156; t_rel 0.8150;
2 r 10.2592; phi -0.0309; x 0.5127; y -0.0158; t_rel 0.8123;
2 r 10.1935; phi -0.0315; x 0.5094; y -0.0161; t_rel 0.8096;
2 r 10.1287; phi -0.0322; x 0.5062; y -0.0163; t_rel 0.8069;
2 r 10.0647; phi -0.0328; x 0.5030; y -0.0165; t_rel 0.8043;
2 r 10.0015; phi -0.0334; x 0.4998; y -0.0167; t_rel 0.8016;
3 r 9.9392; phi -0.0340; x 0.4967; y -0.0169; t_rel 0.7990;
3 r 9.8775; phi -0.0347; x 0.4936; y -0.0171; t_rel 0.7965;
3 r 9.8167; phi -0.0353; x 0.4905; y -0.0173; t_rel 0.7939;
3 r 9.7566; phi -0.0359; x 0.4875; y -0.0175; t_rel 0.7914;
3 r 9.6972; phi -0.0366; x 0.4845; y -0.0177; t_rel 0.7889;
3 r 9.6386; phi -0.0372; x 0.4816; y -0.0179; t_rel 0.7865;
3 r 9.5806; phi -0.0378; x 0.4787; y -0.0181; t_rel 0.7840;
3 r 9.5234; phi -0.0385; x 0.4758; y -0.0183; t_rel 0.7816;
3 r 9.4668; phi -0.0391; x 0.4730; y -0.0185; t_rel 0.7793;
3 r 9.4109; phi -0.0397; x 0.4702; y -0.0187; t_rel 0.7769;
3 r 9.3557; phi -0.0403; x 0.4674; y -0.0189; t_rel 0.7746;
3 r 9.3011; phi -0.0410; x 0.4647; y -0.0191; t_rel 0.7723;
3 r 9.2471; phi -0.0416; x 0.4620; y -0.0192; t_rel 0.7700;
3 r 9.1938; phi -0.0422; x 0.4593; y -0.0194; t_rel 0.7677;
3 r 9.1411; phi -0.0429; x 0.4566; y -0.0196; t_rel 0.7655;
3 r 9.0890; phi -0.0435; x 0.4540; y -0.0198; t_rel 0.7633;
3 r 9.0375; phi -0.0441; x 0.4514; y -0.0199; t_rel 0.7611;
3 r 8.9865; phi -0.0448; x 0.4489; y -0.0201; t_rel 0.7589;
3 r 8.9362; phi -0.0454; x 0.4463; y -0.0203; t_rel 0.7567;
3 r 8.8864; phi -0.0460; x 0.4438; y -0.0204; t_rel 0.7546;
3 r 8.8371; phi -0.0466; x 0.4414; y -0.0206; t_rel 0.7525;
3 r 8.7884; phi -0.0473; x 0.4389; y -0.0208; t_rel 0.7504;
3 r 8.7403; phi -0.0479; x 0.4365; y -0.0209; t_rel 0.7483;
3 r 8.6927; phi -0.0485; x 0.4341; y -0.0211; t_rel 0.7463;
3 r 8.6455; phi -0.0492; x 0.4318; y -0.0212; t_rel 0.7442;
3 r 8.5989; phi -0.0498; x 0.4294; y -0.0214; t_rel 0.7422;
3 r 8.5528; phi -0.0504; x 0.4271; y -0.0216; t_rel 0.7402;
3 r 8.5072; phi -0.0511; x 0.4248; y -0.0217; t_rel 0.7382;
3 r 8.4621; phi -0.0517; x 0.4225; y -0.0219; t_rel 0.7363;
3 r 8.4175; phi -0.0523; x 0.4203; y -0.0220; t_rel 0.7343;
3 r 8.3733; phi -0.0530; x 0.4181; y -0.0222; t_rel 0.7324;
3 r 8.3296; phi -0.0536; x 0.4159; y -0.0223; t_rel 0.7305;
3 r 8.2863; phi -0.0542; x 0.4137; y -0.0224; t_rel 0.7286;
3 r 8.2435; phi -0.0548; x 0.4116; y -0.0226; t_rel 0.7267;
3 r 8.2011; phi -0.0555; x 0.4094; y -0.0227; t_rel 0.7249;
3 r 8.1592; phi -0.0561; x 0.4073; y -0.0229; t_rel 0.7230;
3 r 8.1177; phi -0.0567; x 0.4052; y -0.0230; t_rel 0.7212;
3 r 8.0766; phi -0.0574; x 0.4032; y -0.0232; t_rel 0.7194;
3 r 8.0360; phi -0.0580; x 0.4011; y -0.0233; t_rel 0.7176;
3 r 7.9957; phi -0.0586; x 0.3991; y -0.0234; t_rel 0.7158;
3 r 7.9559; phi -0.0593; x 0.3971; y -0.0236; t_rel 0.7140;
3 r 7.9164; phi -0.0599; x 0.3951; y -0.0237; t_rel 0.7123;
3 r 7.8774; phi -0.0605; x 0.3931; y -0.0238; t_rel 0.7105;
3 r 7.8387; phi -0.0611; x 0.3912; y -0.0239; t_rel 0.7088;
3 r 7.8004; phi -0.0618; x 0.3893; y -0.0241; t_rel 0.7071;
3 r 7.7625; phi -0.0624; x 0.3874; y -0.0242; t_rel 0.7054;
3 r 7.7249; phi -0.0630; x 0.3855; y -0.0243; t_rel 0.7037;
3 r 7.6877; phi -0.0637; x 0.3836; y -0.0245; t_rel 0.7020;
3 r 7.6509; phi -0.0643; x 0.3818; y -0.0246; t_rel 0.7004;
3 r 7.6144; phi -0.0649; x 0.3799; y -0.0247; t_rel 0.6987;
3 r 7.5783; phi -0.0656; x 0.3781; y -0.0248; t_rel 0.6971;
3 r 7.5425; phi -0.0662; x 0.3763; y -0.0249; t_rel 0.6955;
3 r 7.5070; phi -0.0668; x 0.3745; y -0.0251; t_rel 0.6939;
3 r 7.4719; phi -0.0674; x 0.3727; y -0.0252; t_rel 0.6923;
3 r 7.4371; phi -0.0681; x 0.3710; y -0.0253; t_rel 0.6907;
3 r 7.4027; phi -0.0687; x 0.3693; y -0.0254; t_rel 0.6892;
3 r 7.3685; phi -0.0693; x 0.3675; y -0.0255; t_rel 0.6876;
3 r 7.3347; phi -0.0700; x 0.3658; y -0.0256; t_rel 0.6861;
3 r 7.3012; phi -0.0706; x 0.3642; y -0.0258; t_rel 0.6845;
3 r 7.2680; phi -0.0712; x 0.3625; y -0.0259; t_rel 0.6830;
3 r 7.2351; phi -0.0719; x 0.3608; y -0.0260; t_rel 0.6815;
3 r 7.2025; phi -0.0725; x 0.3592; y -0.0261; t_rel 0.6800;
3 r 7.1701; phi -0.0731; x 0.3575; y -0.0262; t_rel 0.6785;
3 r 7.1381; phi -0.0737; x 0.3559; y -0.0263; t_rel 0.6770;
3 r 7.1064; phi -0.0744; x 0.3543; y -0.0264; t_rel 0.6756;
3 r 7.0749; phi -0.0750; x 0.3528; y -0.0265; t_rel 0.6741;
3 r 7.0438; phi -0.0756; x 0.3512; y -0.0266; t_rel 0.6727;
3 r 7.0128; phi -0.0763; x 0.3496; y -0.0267; t_rel 0.6712;
3 r 6.9822; phi -0.0769; x 0.3481; y -0.0268; t_rel 0.6698;
3 r 6.9519; phi -0.0775; x 0.3465; y -0.0269; t_rel 0.6684;
3 r 6.9218; phi -0.0782; x 0.3450; y -0.0270; t_rel 0.6670;
3 r 6.8919; phi -0.0788; x 0.3435; y -0.0271; t_rel 0.6656;
3 r 6.8623; phi -0.0794; x 0.3420; y -0.0272; t_rel 0.6642;
3 r 6.8330; phi -0.0800; x 0.3406; y -0.0273; t_rel 0.6628;
3 r 6.8039; phi -0.0807; x 0.3391; y -0.0274; t_rel 0.6615;
3 r 6.7751; phi -0.0813; x 0.3376; y -0.0275; t_rel 0.6601;
3 r 6.7465; phi -0.0819; x 0.3362; y -0.0276; t_rel 0.6587;
3 r 6.7182; phi -0.0826; x 0.3348; y -0.0277; t_rel 0.6574;
3 r 6.6901; phi -0.0832; x 0.3333; y -0.0278; t_rel 0.6561;
3 r 6.6622; phi -0.0838; x 0.3319; y -0.0279; t_rel 0.6548;
3 r 6.6346; phi -0.0845; x 0.3305; y -0.0280; t_rel 0.6534;
3 r 6.6072; phi -0.0851; x 0.3292; y -0.0281; t_rel 0.6521;
3 r 6.5800; phi -0.0857; x 0.3278; y -0.0282; t_rel 0.6508;
3 r 6.5531; phi -0.0863; x 0.3264; y -0.0283; t_rel 0.6496;
3 r 6.5263; phi -0.0870; x 0.3251; y -0.0283; t_rel 0.6483;
3 r 6.4998; phi -0.0876; x 0.3237; y -0.0284; t_rel 0.6470;
3 r 6.4735; phi -0.0882; x 0.3224; y -0.0285; t_rel 0.6457;
3 r 6.4474; phi -0.0889; x 0.3211; y -0.0286; t_rel 0.6445;
3 r 6.4216; phi -0.0895; x 0.3198; y -0.0287; t_rel 0.6432;
3 r 6.3959; phi -0.0901; x 0.3185; y -0.0288; t_rel 0.6420;
3 r 6.3704; phi -0.0908; x 0.3172; y -0.0289; t_rel 0.6408;
3 r 6.3452; phi -0.0914; x 0.3159; y -0.0290; t_rel 0.6395;
3 r 6.3201; phi -0.0920; x 0.3147; y -0.0290; t_rel 0.6383;
3 r 6.2953; phi -0.0927; x 0.3134; y -0.0291; t_rel 0.6371;
3 r 6.2706; phi -0.0933; x 0.3122; y -0.0292; t_rel 0.6359;
3 r 6.2462; phi -0.0939; x 0.3109; y -0.0293; t_rel 0.6347;
3 r 6.2219; phi -0.0945; x 0.3097; y -0.0294; t_rel 0.6335;
3 r 6.1978; phi -0.0952; x 0.3085; y -0.0294; t_rel 0.6323;
3 r 6.1739; phi -0.0958; x 0.3073; y -0.0295; t_rel 0.6312;
3 r 6.1502; phi -0.0964; x 0.3061; y -0.0296; t_rel 0.6300;
3 r 6.1266; phi -0.0971; x 0.3049; y -0.0297; t_rel 0.6288;
3 r 6.1033; phi -0.0977; x 0.3037; y -0.0298; t_rel 0.6277;
3 r 6.0801; phi -0.0983; x 0.3025; y -0.0298; t_rel 0.6265;
3 r 6.0571; phi -0.0990; x 0.3014; y -0.0299; t_rel 0.6254;
3 r 6.0343; phi -0.0996; x 0.3002; y -0.0300; t_rel 0.6243;
3 r 6.0117; phi -0.1002; x 0.2991; y -0.0301; t_rel 0.6231;
3 r 5.9892; phi -0.1008; x 0.2979; y -0.0301; t_rel 0.6220;
3 r 5.9669; phi -0.1015; x 0.2968; y -0.0302; t_rel 0.6209;
3 r 5.9447; phi -0.1021; x 0.2957; y -0.0303; t_rel 0.6198;
3 r 5.9228; phi -0.1027; x 0.2946; y -0.0304; t_rel 0.6187;
3 r 5.9009; phi -0.1034; x 0.2935; y -0.0304; t_rel 0.6176;
3 r 5.8793; phi -0.1040; x 0.2924; y -0.0305; t_rel 0.6165;
3 r 5.8578; phi -0.1046; x 0.2913; y -0.0306; t_rel 0.6154;
3 r 5.8365; phi -0.1053; x 0.2902; y -0.0307; t_rel 0.6144;
3 r 5.8153; phi -0.1059; x 0.2891; y -0.0307; t_rel 0.6133;
3 r 5.7942; phi -0.1065; x 0.2881; y -0.0308; t_rel 0.6122;
3 r 5.7734; phi -0.1071; x 0.2870; y -0.0309; t_rel 0.6112;
3 r 5.7527; phi -0.1078; x 0.2860; y -0.0309; t_rel 0.6101;
3 r 5.7321; phi -0.1084; x 0.2849; y -0.0310; t_rel 0.6091;
3 r 5.7117; phi -0.1090; x 0.2839; y -0.0311; t_rel 0.6080;
3 r 5.6914; phi -0.1097; x 0.2829; y -0.0311; t_rel 0.6070;
3 r 5.6712; phi -0.1103; x 0.2818; y -0.0312; t_rel 0.6059;
3 r 5.6512; phi -0.1109; x 0.2808; y -0.0313; t_rel 0.6049;
3 r 5.6314; phi -0.1116; x 0.2798; y -0.0313; t_rel 0.6039;
3 r 5.6117; phi -0.1122; x 0.2788; y -0.0314; t_rel 0.6029;
3 r 5.5921; phi -0.1128; x 0.2778; y -0.0315; t_rel 0.6019;
3 r 5.5727; phi -0.1134; x 0.2768; y -0.0315; t_rel 0.6009;
3 r 5.5534; phi -0.1141; x 0.2759; y -0.0316; t_rel 0.5999;
3 r 5.5342; phi -0.1147; x 0.2749; y -0.0317; t_rel 0.5989;
3 r 5.5152; phi -0.1153; x 0.2739; y -0.0317; t_rel 0.5979;
3 r 5.4963; phi -0.1160; x 0.2730; y -0.0318; t_rel 0.5969;
3 r 5.4775; phi -0.1166; x 0.2720; y -0.0319; t_rel 0.5959;
3 r 5.4589; phi -0.1172; x 0.2711; y -0.0319; t_rel 0.5949;
3 r 5.4404; phi -0.1179; x 0.2701; y -0.0320; t_rel 0.5939;
3 r 5.4220; phi -0.1185; x 0.2692; y -0.0320; t_rel 0.5930;
3 r 5.4037; phi -0.1191; x 0.2683; y -0.0321; t_rel 0.5920;
3 r 5.3856; phi -0.1197; x 0.2674; y -0.0322; t_rel 0.5911;
3 r 5.3676; phi -0.1204; x 0.2664; y -0.0322; t_rel 0.5901;
3 r 5.3497; phi -0.1210; x 0.2655; y -0.0323; t_rel 0.5892;
3 r 5.3319; phi -0.1216; x 0.2646; y -0.0323; t_rel 0.5882;
3 r 5.3142; phi -0.1223; x 0.2637; y -0.0324; t_rel 0.5873;
3 r 5.2967; phi -0.1229; x 0.2628; y -0.0325; t_rel 0.5863;
3 r 5.2793; phi -0.1235; x 0.2620; y -0.0325; t_rel 0.5854;
3 r 5.2619; phi -0.1242; x 0.2611; y -0.0326; t_rel 0.5845;
3 r 5.2448; phi -0.1248; x 0.2602; y -0.0326; t_rel 0.5836;
3 r 5.2277; phi -0.1254; x 0.2593; y -0.0327; t_rel 0.5826;
3 r 5.2107; phi -0.1260; x 0.2585; y -0.0328; t_rel 0.5817;
3 r 5.1938; phi -0.1267; x 0.2576; y -0.0328; t_rel 0.5808;
3 r 5.1771; phi -0.1273; x 0.2568; y -0.0329; t_rel 0.5799;
3 r 5.1604; phi -0.1279; x 0.2559; y -0.0329; t_rel 0.5790;
3 r 5.1439; phi -0.1286; x 0.2551; y -0.0330; t_rel 0.5781;
3 r 5.1275; phi -0.1292; x 0.2542; y -0.0330; t_rel 0.5772;
3 r 5.1112; phi -0.1298; x 0.2534; y -0.0331; t_rel 0.5763;
3 r 5.0949; phi -0.1305; x 0.2526; y -0.0331; t_rel 0.5754;
3 r 5.0788; phi -0.1311; x 0.2518; y -0.0332; t_rel 0.5746;
3 r 5.0628; phi -0.1317; x 0.2509; y -0.0332; t_rel 0.5737;
3 r 5.0469; phi -0.1324; x 0.2501; y -0.0333; t_rel 0.5728;
3 r 5.0311; phi -0.1330; x 0.2493; y -0.0334; t_rel 0.5719;
4 r 5.0154; phi -0.1336; x 0.2485; y -0.0334; t_rel 0.5711;
4 r 4.9998; phi -0.1342; x 0.2477; y -0.0335; t_rel 0.5702;
4 r 4.9843; phi -0.1349; x 0.2470; y -0.0335; t_rel 0.5693;
4 r 4.9689; phi -0.1355; x 0.2462; y -0.0336; t_rel 0.5685;
4 r 4.9535; phi -0.1361; x 0.2454; y -0.0336; t_rel 0.5676;
4 r 4.9383; phi -0.1368; x 0.2446; y -0.0337; t_rel 0.5668;
4 r 4.9232; phi -0.1374; x 0.2438; y -0.0337; t_rel 0.5659;
4 r 4.9081; phi -0.1380; x 0.2431; y -0.0338; t_rel 0.5651;
4 r 4.8932; phi -0.1387; x 0.2423; y -0.0338; t_rel 0.5643;
4 r 4.8783; phi -0.1393; x 0.2416; y -0.0339; t_rel 0.5634;
4 r 4.8636; phi -0.1399; x 0.2408; y -0.0339; t_rel 0.5626;
4 r 4.8489; phi -0.1405; x 0.2401; y -0.0340; t_rel 0.5618;
4 r 4.8343; phi -0.1412; x 0.2393; y -0.0340; t_rel 0.5609;
4 r 4.8198; phi -0.1418; x 0.2386; y -0.0341; t_rel 0.5601;
4 r 4.8054; phi -0.1424; x 0.2378; y -0.0341; t_rel 0.5593;
4 r 4.7911; phi -0.1431; x 0.2371; y -0.0342; t_rel 0.5585;
